image_id,path_geometry,path_nuclei,path_junction,geometry_source,condition,well,replicate,dataset,pixel_size_um
Control_s1,Control/DeepLearning-training_D01_s1_w28606C63A-8807-44B0-BA8D-2C7D6F68CD16.tif,Control/DeepLearning-training_D01_s1_w41364E118-F147-42AF-9791-4D9D748C297A.tif,Control/DeepLearning-training_D01_s1_w28606C63A-8807-44B0-BA8D-2C7D6F68CD16.tif,junction_channel,Control,D01,1,ve_strat,
Control_s2,Control/DeepLearning-training_D01_s2_w2D57685C6-7F46-4576-8D23-3AABDA7557B5.tif,Control/DeepLearning-training_D01_s2_w4A7E19D0A-4511-4549-B0BD-E3800323A00D.tif,Control/DeepLearning-training_D01_s2_w2D57685C6-7F46-4576-8D23-3AABDA7557B5.tif,junction_channel,Control,D01,2,ve_strat,
Control_s3,Control/DeepLearning-training_D01_s3_w2D95330EA-A1E8-4DFF-A332-4092A177381C.tif,Control/DeepLearning-training_D01_s3_w4C7A051C0-E492-44D9-887C-06022B784668.tif,Control/DeepLearning-training_D01_s3_w2D95330EA-A1E8-4DFF-A332-4092A177381C.tif,junction_channel,Control,D01,3,ve_strat,
Control_s5,Control/DeepLearning-training_D01_s5_w22754B108-EBB7-4C03-BD9B-EFE7C0CD4CF9.tif,Control/DeepLearning-training_D01_s5_w4068E9BD7-48F9-4CFB-AEE5-601085529F84.tif,Control/DeepLearning-training_D01_s5_w22754B108-EBB7-4C03-BD9B-EFE7C0CD4CF9.tif,junction_channel,Control,D01,5,ve_strat,
Control_s6,Control/DeepLearning-training_D01_s6_w22DCAE885-EBA5-47F2-8F01-4E39A0D90870.tif,Control/DeepLearning-training_D01_s6_w4362E6207-DFA6-42CF-B1E5-E8143FC2DFAE.tif,Control/DeepLearning-training_D01_s6_w22DCAE885-EBA5-47F2-8F01-4E39A0D90870.tif,junction_channel,Control,D01,6,ve_strat,
Histamine_s1,Histamine/DeepLearning-training_E05_s1_w27DEFAC5D-5104-40F5-BB24-D87425E06C10.tif,Histamine/DeepLearning-training_E05_s1_w4593584EB-D0C5-4964-B7F6-FC536A161F42.tif,Histamine/DeepLearning-training_E05_s1_w27DEFAC5D-5104-40F5-BB24-D87425E06C10.tif,junction_channel,Histamine,E05,1,ve_strat,
Histamine_s2,Histamine/DeepLearning-training_E05_s2_w2C180F5A5-53C1-477E-BCC4-47506262A985.tif,Histamine/DeepLearning-training_E05_s2_w480078C3B-1507-42C2-8E76-A612A6C2D76E.tif,Histamine/DeepLearning-training_E05_s2_w2C180F5A5-53C1-477E-BCC4-47506262A985.tif,junction_channel,Histamine,E05,2,ve_strat,
Histamine_s4,Histamine/DeepLearning-training_E05_s4_w2E1348153-AE9E-4322-8D84-0886A24AE402.tif,Histamine/DeepLearning-training_E05_s4_w4D44544E4-4CE3-43E1-884D-6855C18019AE.tif,Histamine/DeepLearning-training_E05_s4_w2E1348153-AE9E-4322-8D84-0886A24AE402.tif,junction_channel,Histamine,E05,4,ve_strat,
Histamine_s5,Histamine/DeepLearning-training_E05_s5_w24F2631EB-62AA-4D3D-BBCC-16566C8E61F6.tif,Histamine/DeepLearning-training_E05_s5_w43D202A3A-E338-4BA6-B512-F2194BCAF102.tif,Histamine/DeepLearning-training_E05_s5_w24F2631EB-62AA-4D3D-BBCC-16566C8E61F6.tif,junction_channel,Histamine,E05,5,ve_strat,
Histamine_s6,Histamine/DeepLearning-training_E05_s6_w2DA49A762-4597-4EF5-9F1F-A501C0B52008.tif,Histamine/DeepLearning-training_E05_s6_w47254F1DF-3EA4-4B22-A4D3-42761421F622.tif,Histamine/DeepLearning-training_E05_s6_w2DA49A762-4597-4EF5-9F1F-A501C0B52008.tif,junction_channel,Histamine,E05,6,ve_strat,
