image_id,condition,replicate,statistic,mean,ci_lo,ci_hi,n_hypotheses_total,ess
060721_EGM2_18dyn03,high_shear,rep1,reticular_fraction,0.00103496956534,0,0.003861003861,24,4
060721_EGM2_18dyn03,high_shear,rep1,area_degree_spearman,0.377585306657,0.332478444338,0.409344272776,24,4
060721_EGM2_18dyn03,high_shear,rep1,all_reticular_3clique_enrichment_z,0,0,0,24,1.0404379864
EGM2_regular_18-20dyn-01,high_shear,rep 1,reticular_fraction,0.15009035152,0.149350649351,0.150655021834,32,4
EGM2_regular_18-20dyn-01,high_shear,rep 1,area_degree_spearman,0.608617142207,0.588847260738,0.629172417474,32,4
EGM2_regular_18-20dyn-01,high_shear,rep 1,all_reticular_3clique_enrichment_z,-0.00936117331978,-0.0397591030461,0.0377120586488,32,4
EGM2_regular_18-20dyn-02,high_shear,rep 1,reticular_fraction,0.168527741843,0.167010309278,0.170478170478,29,4
EGM2_regular_18-20dyn-02,high_shear,rep 1,area_degree_spearman,0.791878796434,0.78686198859,0.798391168466,29,4
EGM2_regular_18-20dyn-02,high_shear,rep 1,all_reticular_3clique_enrichment_z,-0.416864390899,-0.473218455369,-0.332901798426,29,4
EGM2_regular_18-20dyn-03,high_shear,rep 1,reticular_fraction,0.087414244211,0.0873015873016,0.088,32,4
EGM2_regular_18-20dyn-03,high_shear,rep 1,area_degree_spearman,0.763592179165,0.754662928823,0.767165736043,32,4
EGM2_regular_18-20dyn-03,high_shear,rep 1,all_reticular_3clique_enrichment_z,-0.459276530605,-0.485092022043,-0.451190918599,32,4
EGM2_regular_18-20dyn-04,high_shear,rep 1,reticular_fraction,0.0943773489256,0.094298245614,0.0951327433628,28,4
EGM2_regular_18-20dyn-04,high_shear,rep 1,area_degree_spearman,0.814487556278,0.798923376071,0.817862919275,28,4
EGM2_regular_18-20dyn-04,high_shear,rep 1,all_reticular_3clique_enrichment_z,1.54051639299,1.41602001347,1.66291027075,28,4
EGM2_regular_18-20dyn-05,high_shear,rep 1,reticular_fraction,0.0929325049076,0.0922131147541,0.0933609958506,32,4
EGM2_regular_18-20dyn-05,high_shear,rep 1,area_degree_spearman,0.710104048154,0.70565261229,0.716332806444,32,4
EGM2_regular_18-20dyn-05,high_shear,rep 1,all_reticular_3clique_enrichment_z,1.61747422113,1.56140481556,1.69400069564,32,4
EGM2_regular_18-20dyn-06,high_shear,rep 1,reticular_fraction,0.100500005305,0.100427350427,0.101075268817,32,4
EGM2_regular_18-20dyn-06,high_shear,rep 1,area_degree_spearman,0.672840601162,0.665499567094,0.674958227231,32,4
