observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(2, 3, 4)","(0, 0, 0)","(2, 3, 4)",3,15,0,15,5,False,27,25,-2,0,[],0,0,0,0,0,0
"(-3, -7, -3)","(8, 12, 4)","(-11, -19, -7)",1,12,4,8,1,False,25,32,7,0,[],0,0,0,0,0,1
"(1, 6, 3)","(-8, -12, -4)","(9, 18, 7)",-2,13,4,9,2,False,32,27,-5,0,[],0,0,0,0,0,2
"(-8, -17, -7)","(0, 0, 0)","(-8, -17, -7)",2,9,0,9,2,False,27,46,19,0,[],0,0,0,0,0,3
"(19, 33, 12)","(6, 9, 3)","(13, 24, 9)",-2,14,3,11,2,False,46,5,-41,0,[],0,0,0,0,0,4
"(-19, -33, -12)","(-6, -9, -3)","(-13, -24, -9)",2,14,3,11,2,False,5,46,41,0,[],0,0,0,0,0,5
"(3, 5, 0)","(0, 0, 0)","(3, 5, 0)",-2,6,0,6,6,False,46,37,-9,0,[],0,0,0,0,0,6
"(1, 3, 0)","(-1, -1, 0)","(2, 4, 0)",-2,7,1,6,6,False,37,33,-4,0,[],0,0,0,0,0,7
"(2, 2, 1)","(2, 3, 1)","(0, -1, 0)",1,5,1,4,4,False,33,32,-1,0,[],0,0,0,0,0,8
"(-5, -8, -1)","(0, 0, 0)","(-5, -8, -1)",2,3,0,3,2,False,32,43,11,0,[],0,0,0,0,0,9
"(5, 9, 2)","(2, 3, 1)","(3, 6, 1)",-2,3,1,2,1,False,43,35,-8,0,[],0,0,0,0,0,10
"(29, 53, 24)","(45, 69, 24)","(-16, -16, 0)",0,29,27,2,2,False,35,-21,-56,0,[],0,0,0,0,0,11
"(-30, -55, -25)","(-23, -35, -12)","(-7, -20, -13)",0,30,13,17,4,False,-21,39,60,0,[],0,0,0,0,0,12
"(5, 11, 5)","(6, 9, 3)","(-1, 2, 2)",-1,7,3,4,2,False,39,28,-11,0,[],0,0,0,0,0,13
"(-5, -11, -5)","(-5, -8, -3)","(0, -3, -2)",1,8,4,4,2,False,28,38,10,0,[],0,0,0,0,0,14
"(3, 4, 4)","(8, 12, 4)","(-5, -8, 0)",3,8,4,4,4,False,38,36,-2,0,[],0,0,0,0,0,15
"(7, 17, 8)","(4, 6, 2)","(3, 11, 6)",-2,14,8,6,0,False,36,21,-15,0,[],0,0,0,0,0,16
"(-12, -26, -12)","(-7, -11, -4)","(-5, -15, -8)",2,13,5,8,0,False,21,47,26,0,[],0,0,0,0,0,17
"(5, 8, 2)","(4, 6, 2)","(1, 2, 0)",-1,3,2,1,1,False,47,36,-11,0,[],0,0,0,0,0,18
"(-1, -1, 0)","(4, 6, 2)","(-5, -7, -2)",0,6,2,4,2,False,36,38,2,0,[],0,0,0,0,0,19
"(56, 97, 41)","(64, 96, 32)","(-8, 1, 9)",0,45,32,13,2,False,38,-75,-113,0,[],0,0,0,0,0,20
"(-60, -105, -42)","(-56, -84, -28)","(-4, -21, -14)",3,45,30,15,1,False,-75,55,130,0,[],0,0,0,0,0,21
"(21, 36, 11)","(0, 0, 0)","(21, 36, 11)",-4,14,0,14,3,False,55,8,-47,0,[],0,0,0,0,0,22
"(-21, -35, -11)","(0, 0, 0)","(-21, -35, -11)",3,15,0,15,4,False,8,53,45,0,[],0,0,0,0,0,23
"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",0,2,0,2,2,False,53,53,0,0,[],0,0,0,0,0,24
"(1, 2, 0)","(0, 0, 0)","(1, 2, 0)",-1,1,0,1,1,False,53,50,-3,0,[],0,0,0,0,0,25
"(-1, -3, 0)","(0, 0, 0)","(-1, -3, 0)",2,2,0,2,2,False,50,55,5,0,[],0,0,0,0,0,26
"(14, 23, 7)","(0, 0, 0)","(14, 23, 7)",-2,10,0,10,3,False,55,24,-31,0,[],0,0,0,0,0,27
"(-7, -8, -2)","(-5, -7, -2)","(-2, -1, 0)",-1,12,5,7,1,False,24,36,12,0,[],0,0,0,0,0,28
"(9, 13, 6)","(2, 3, 1)","(7, 10, 5)",2,20,3,17,2,False,36,27,-9,0,[],0,0,0,0,0,29
"(47, 84, 34)","(51, 77, 26)","(-4, 7, 8)",-3,56,27,29,3,False,27,-71,-98,0,[],0,0,0,0,0,30
"(-54, -95, -40)","(-43, -65, -22)","(-11, -30, -18)",1,47,23,24,6,False,-71,38,109,0,[],0,0,0,0,0,31
