observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-2, -5, 0)","(0, 0, 0)","(-2, -5, 0)",3,9,0,9,5,False,29,35,6,0,[],0,0,0,0,0,0
"(-5, -8, -2)","(0, 0, 0)","(-5, -8, -2)",1,3,0,3,1,False,35,46,11,0,[],0,0,0,0,0,1
"(3, 6, 1)","(0, 0, 0)","(3, 6, 1)",-2,3,0,3,2,False,46,37,-9,0,[],0,0,0,0,0,2
"(-3, -6, -1)","(0, 0, 0)","(-3, -6, -1)",2,3,0,3,2,False,37,46,9,0,[],0,0,0,0,0,3
"(1, 3, 0)","(0, 0, 0)","(1, 3, 0)",-2,2,0,2,2,False,46,41,-5,0,[],0,0,0,0,0,4
"(-1, -3, 0)","(0, 0, 0)","(-1, -3, 0)",2,2,0,2,2,False,41,46,5,0,[],0,0,0,0,0,5
"(3, 5, 0)","(0, 0, 0)","(3, 5, 0)",-2,6,0,6,6,False,46,37,-9,0,[],0,0,0,0,0,6
"(1, 3, 0)","(-1, -1, 0)","(2, 4, 0)",-2,7,1,6,6,False,37,33,-4,0,[],0,0,0,0,0,7
"(0, -1, 0)","(0, 0, 0)","(0, -1, 0)",1,4,0,4,4,False,33,36,3,0,[],0,0,0,0,0,8
"(-3, -5, 0)","(0, 0, 0)","(-3, -5, 0)",2,2,0,2,2,False,36,43,7,0,[],0,0,0,0,0,9
"(5, 9, 2)","(2, 3, 1)","(3, 6, 1)",-2,3,1,2,1,False,43,35,-8,0,[],0,0,0,0,0,10
"(-2, -3, -1)","(-5, -6, -1)","(3, 3, 0)",0,6,4,2,2,False,35,41,6,0,[],0,0,0,0,0,11
"(1, 1, 0)","(1, 1, 0)","(0, 0, 0)",0,5,1,4,4,False,41,39,-2,0,[],0,0,0,0,0,12
"(0, 1, 0)","(0, 0, 0)","(0, 1, 0)",-1,2,0,2,2,False,39,38,-1,0,[],0,0,0,0,0,13
"(0, -1, 0)","(1, 1, 0)","(-1, -2, 0)",1,3,1,2,2,False,38,38,0,0,[],0,0,0,0,0,14
"(-2, -4, 1)","(2, 3, 1)","(-4, -7, 0)",3,5,1,4,4,False,38,46,8,0,[],0,0,0,0,0,15
"(4, 7, 1)","(-2, -3, -1)","(6, 10, 2)",-2,4,1,3,1,False,46,37,-9,0,[],0,0,0,0,0,16
"(-4, -8, -2)","(1, 1, 0)","(-5, -9, -2)",2,5,1,4,2,False,37,47,10,0,[],0,0,0,0,0,17
"(3, 5, 1)","(2, 3, 1)","(1, 2, 0)",-1,2,1,1,1,False,47,40,-7,0,[],0,0,0,0,0,18
"(-2, -3, -1)","(0, 0, 0)","(-2, -3, -1)",0,3,0,3,2,False,40,44,4,0,[],0,0,0,0,0,19
"(3, 5, 2)","(4, 6, 2)","(-1, -1, 0)",0,4,2,2,2,False,44,37,-7,0,[],0,0,0,0,0,20
"(-4, -8, -1)","(0, 0, 0)","(-4, -8, -1)",3,4,2,2,1,False,37,55,18,0,[],0,0,0,0,0,21
"(3, 8, 1)","(0, 0, 0)","(3, 8, 1)",-4,4,0,4,3,False,55,44,-11,0,[],0,0,0,0,0,22
"(-3, -7, -1)","(0, 0, 0)","(-3, -7, -1)",3,5,0,5,4,False,44,53,9,0,[],0,0,0,0,0,23
"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",0,2,0,2,2,False,53,53,0,0,[],0,0,0,0,0,24
"(1, 2, 0)","(0, 0, 0)","(1, 2, 0)",-1,1,0,1,1,False,53,50,-3,0,[],0,0,0,0,0,25
"(-1, -3, 0)","(0, 0, 0)","(-1, -3, 0)",2,2,0,2,2,False,50,55,5,0,[],0,0,0,0,0,26
"(3, 6, 1)","(0, 0, 0)","(3, 6, 1)",-2,4,0,4,3,False,55,46,-9,0,[],0,0,0,0,0,27
"(-2, -2, -1)","(-1, -1, 0)","(-1, -1, -1)",-1,5,3,2,1,False,46,48,2,0,[],0,0,0,0,0,28
"(1, 0, 1)","(2, 3, 1)","(-1, -3, 0)",2,5,3,2,2,False,48,55,7,0,[],0,0,0,0,0,29
"(4, 8, 1)","(2, 3, 1)","(2, 5, 0)",-3,4,1,3,3,False,55,43,-12,0,[],0,0,0,0,0,30
"(0, -1, 0)","(1, 1, 0)","(-1, -2, 0)",1,10,3,7,7,False,43,44,1,0,[],0,0,0,0,0,31
"(-5, -10, -1)","(-1, -1, 0)","(-4, -9, -1)",4,6,1,5,4,False,44,60,16,0,[],0,0,0,0,0,32
"(-2, -3, -1)","(0, 0, 0)","(-2, -3, -1)",0,4,0,4,3,False,60,58,-2,0,[],0,0,0,0,0,33
"(1, 2, 0)","(0, 0, 0)","(1, 2, 0)",-1,1,0,1,1,False,58,55,-3,0,[],0,0,0,0,0,34
"(7, 13, 3)","(2, 3, 1)","(5, 10, 2)",-3,7,1,6,4,False,55,46,-9,0,[],0,0,0,0,0,35
"(0, 0, 0)","(-1, -1, 0)","(1, 1, 0)",0,7,1,6,6,False,46,49,3,0,[],0,0,0,0,0,36
"(3, 4, 0)","(-2, -3, -1)","(5, 7, 1)",-1,8,1,7,6,False,49,42,-7,0,[],0,0,0,0,0,37
"(12, 20, 6)","(11, 15, 4)","(1, 5, 2)",-2,16,9,7,3,False,42,10,-32,0,[],0,0,0,0,0,38
"(-16, -25, -7)","(-6, -7, -1)","(-10, -18, -6)",2,21,7,14,6,False,10,50,40,0,[],0,0,0,0,0,39
"(-1, -2, 0)","(0, 0, 0)","(-1, -2, 0)",1,5,0,5,5,False,50,53,3,0,[],0,0,0,0,0,40
"(5, 8, 1)","(2, 3, 1)","(3, 5, 0)",-2,8,1,7,5,False,53,36,-17,0,[],0,0,0,0,0,41
"(-4, -6, -2)","(-5, -7, -2)","(1, 1, 0)",0,7,5,2,2,False,36,44,8,0,[],0,0,0,0,0,42
"(1, 0, 1)","(3, 4, 1)","(-2, -4, 0)",2,5,2,3,3,False,44,43,-1,0,[],0,0,0,0,0,43
"(-7, -11, -1)","(0, 0, 0)","(-7, -11, -1)",3,8,0,8,7,False,43,60,17,0,[],0,0,0,0,0,44
"(7, 11, 3)","(1, 1, 0)","(6, 10, 3)",-1,9,1,8,5,False,60,44,-16,0,[],0,0,0,0,0,45
"(2, 4, -1)","(0, 0, 0)","(2, 4, -1)",-3,10,2,8,7,False,44,37,-7,0,[],0,0,0,0,0,46
"(5, 9, 2)","(3, 6, 3)","(2, 3, -1)",-2,11,6,5,4,False,37,26,-11,0,[],0,0,0,0,0,47
"(-8, -14, -2)","(-8, -12, -4)","(0, -2, 2)",4,11,4,7,5,False,26,44,18,0,[],0,0,0,0,0,48
"(-4, -6, -2)","(0, 0, 0)","(-4, -6, -2)",0,4,0,4,2,False,44,52,8,0,[],0,0,0,0,0,49
"(4, 6, 2)","(0, 0, 0)","(4, 6, 2)",0,4,0,4,2,False,52,51,-1,0,[],0,0,0,0,0,50
"(-1, -2, 0)","(3, 5, 2)","(-4, -7, -2)",1,6,3,3,1,False,51,49,-2,0,[],0,0,0,0,0,51
"(0, 2, -1)","(-1, -2, -1)","(1, 4, 0)",-3,5,2,3,3,False,49,44,-5,0,[],0,0,0,0,0,52
"(-2, -6, -1)","(0, 0, 0)","(-2, -6, -1)",3,7,0,7,6,False,44,54,10,0,[],0,0,0,0,0,53
"(9, 15, 4)","(-1, -1, 0)","(10, 16, 4)",-2,14,1,13,9,False,54,33,-21,0,[],0,0,0,0,0,54
"(-8, -13, -3)","(0, 0, 0)","(-8, -13, -3)",2,15,0,15,10,False,33,50,17,0,[],0,0,0,0,0,55
"(-2, -3, -2)","(0, 0, 0)","(-2, -3, -2)",-1,7,0,7,5,False,50,49,-1,0,[],0,0,0,0,0,56
"(-1, -2, 1)","(0, 0, 0)","(-1, -2, 1)",2,6,0,6,5,False,49,58,9,0,[],0,0,0,0,0,57
"(0, 1, 0)","(0, 0, 0)","(0, 1, 0)",-1,5,0,5,5,False,58,56,-2,0,[],0,0,0,0,0,58
"(3, 5, 1)","(1, 2, 1)","(2, 3, 0)",-1,4,2,2,2,False,56,56,0,0,[],0,0,0,0,0,59
"(3, 3, 2)","(4, 6, 2)","(-1, -3, 0)",2,8,2,6,6,False,56,52,-4,0,[],0,0,0,0,0,60
"(-1, -1, 0)","(1, 1, 0)","(-2, -2, 0)",0,11,5,6,6,False,52,59,7,0,[],0,0,0,0,0,61
"(3, 5, 1)","(1, 2, 1)","(2, 3, 0)",-1,9,6,3,3,False,59,53,-6,0,[],0,0,0,0,0,62
"(5, 7, 2)","(1, 0, -1)","(4, 7, 3)",0,10,6,4,1,False,53,47,-6,0,[],0,0,0,0,0,63
"(-3, -5, -1)","(-1, -2, -1)","(-2, -3, 0)",1,13,2,11,9,False,47,58,11,0,[],0,0,0,0,0,64
"(-1, -1, 0)","(0, 1, 1)","(-1, -2, -1)",0,10,3,7,6,False,58,69,11,0,[],0,0,0,0,0,65
"(3, 5, 2)","(4, 6, 2)","(-1, -1, 0)",0,11,2,9,9,False,69,61,-8,0,[],0,0,0,0,0,66
"(-6, -10, -4)","(-4, -6, -2)","(-2, -4, -2)",0,11,2,9,7,False,61,64,3,0,[],0,0,0,0,0,67
"(11, 17, 6)","(7, 11, 4)","(4, 6, 2)",0,11,5,6,2,False,64,49,-15,0,[],0,0,0,0,0,68
"(-10, -12, -6)","(-8, -12, -4)","(-2, 0, -2)",-4,14,6,8,6,False,49,56,7,0,[],0,0,0,0,0,69
"(7, 9, 2)","(5, 5, 0)","(2, 4, 2)",0,20,6,14,12,False,56,34,-22,0,[],0,0,0,0,0,70
"(-5, -8, -2)","(-4, -5, -1)","(-1, -3, -1)",1,13,4,9,6,False,34,46,12,1,[-1],0,0,0,0,0,71
"(-1, -2, 0)","(-3, -4, -1)","(2, 2, 1)",1,8,5,3,2,False,46,57,11,1,[-2],0,0,0,0,0,72
"(0, 2, 1)","(-2, -2, 0)","(2, 4, 1)",-1,10,2,8,5,False,57,61,4,0,[],0,0,0,0,0,73
"(8, 11, 4)","(1, 1, 0)","(7, 10, 4)",1,13,3,10,4,False,61,41,-20,0,[],0,0,0,0,0,74
"(-5, -10, -3)","(-6, -8, -2)","(1, -2, -1)",2,15,9,6,1,False,41,60,19,1,[4],0,0,0,0,0,75
"(-5, -6, -2)","(1, 0, -1)","(-6, -6, -1)",-1,12,4,8,5,False,60,60,0,0,[],0,0,0,0,0,76
"(7, 12, 2)","(0, 0, 0)","(7, 12, 2)",-3,11,0,11,9,False,60,45,-15,0,[],0,0,0,0,0,77
"(0, 0, 2)","(2, 3, 1)","(-2, -3, 1)",2,10,3,7,6,False,45,46,1,0,[],0,0,0,0,0,78
"(-5, -9, -3)","(-3, -4, -1)","(-2, -5, -2)",1,12,4,8,4,False,46,52,6,0,[],0,0,0,0,0,79
"(-2, -3, -1)","(0, 0, 0)","(-2, -3, -1)",0,8,0,8,7,False,52,56,4,0,[],0,0,0,0,0,80
"(2, 6, 3)","(0, 0, 0)","(2, 6, 3)",-1,12,0,12,7,False,56,54,-2,0,[],0,0,0,0,0,81
"(3, 2, -1)","(-2, -3, -1)","(5, 5, 0)",0,13,1,12,8,False,54,64,10,0,[],0,0,0,0,0,82
