observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(4, 6, 4)","(8, 12, 4)","(-4, -6, 0)",2,6,4,2,2,False,35,35,0,0,[],0,0,0,0,0,0
"(-3, -6, -3)","(-6, -9, -3)","(3, 3, 0)",0,8,3,5,5,False,35,40,5,0,[],0,0,0,0,0,1
"(-2, -4, 1)","(0, 0, 0)","(-2, -4, 1)",3,7,0,7,4,False,40,42,2,0,[],0,0,0,0,0,2
"(2, 5, -2)","(0, 0, 0)","(2, 5, -2)",-5,6,0,6,4,False,42,33,-9,0,[],0,0,0,0,0,3
"(12, 22, 10)","(20, 30, 10)","(-8, -8, 0)",0,10,10,0,0,False,33,10,-23,0,[],0,0,0,0,0,4
"(149, 261, 113)","(199, 298, 99)","(-50, -37, 14)",1,115,100,15,1,False,10,-287,-297,0,[],0,0,0,0,0,5
"(39, 74, 33)","(27, 40, 13)","(12, 34, 20)",-2,45,22,23,1,False,-287,-373,-86,0,[],0,0,0,0,0,6
"(-201, -358, -156)","(-262, -393, -131)","(61, 35, -25)",1,160,131,29,4,False,-373,29,402,0,[],0,0,0,0,0,7
"(36, 62, 25)","(24, 37, 13)","(12, 25, 12)",-1,29,15,14,2,False,29,-43,-72,0,[],0,0,0,0,0,8
"(-36, -63, -23)","(-27, -41, -14)","(-9, -22, -9)",4,33,15,18,3,False,-43,37,80,0,[],0,0,0,0,0,9
"(-4, -9, -3)","(0, 0, 0)","(-4, -9, -3)",2,8,0,8,5,False,37,45,8,0,[],0,0,0,0,0,10
"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",0,0,0,0,0,True,45,45,0,0,[],0,0,0,0,0,11
"(3, 8, 1)","(0, 0, 0)","(3, 8, 1)",-4,6,0,6,5,False,45,31,-14,0,[],0,0,0,0,0,12
"(104, 180, 75)","(149, 224, 75)","(-45, -44, 0)",-1,77,76,1,1,False,31,-177,-208,0,[],0,0,0,0,0,13
