frame,kind,participants,dV,dE,dF,evidence,run
0,division,"{""parent"": 5, ""children"": [5, 11]}",2.0,3.0,1.0,"{""source"": ""heuristic_asymmetric""}",tracker
0,rupture,"{""gap"": -3, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
0,rupture,"{""gap"": -2, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
0,rupture,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
0,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [9, 10]}",,,,"{""connectivity_change"": true}",tracker
1,extrusion,"{""cell"": 11, ""sides"": 3, ""neighbours"": [0, 4, 5]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",tracker
1,entry,"{""cell"": 12, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
1,reseal,"{""gap"": -3, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
1,reseal,"{""gap"": -2, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
1,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
1,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
1,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
1,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
2,exit,"{""cell"": 12, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
2,gap_appearance,"{""gap"": -2, ""cells"": [9]}",,,,{},tracker
2,gap_appearance,"{""gap"": -1, ""cells"": [9]}",,,,{},tracker
2,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
3,gap_disappearance,"{""gap"": -2, ""cells"": [9]}",,,,{},tracker
3,gap_disappearance,"{""gap"": -1, ""cells"": [9]}",,,,{},tracker
