frame,kind,participants,dV,dE,dF,evidence,run
0,division,"{""parent"": 5, ""children"": [5, 11]}",2.0,3.0,1.0,"{""source"": ""heuristic_asymmetric""}",tracker
0,rupture,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",2.0,3.0,1.0,{},tracker
0,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
0,contact_death,"{""cells"": [9, 10]}",,,,"{""connectivity_change"": true}",tracker
1,extrusion,"{""cell"": 11, ""sides"": 3, ""neighbours"": [0, 4, 5]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",tracker
1,entry,"{""cell"": 12, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
1,reseal,"{""gap"": -1, ""cells"": [1, 2], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
1,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
1,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
1,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
2,exit,"{""cell"": 12, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
2,gap_appearance,"{""gap"": -1, ""cells"": [9]}",,,,{},tracker
2,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
2,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
3,gap_disappearance,"{""gap"": -1, ""cells"": [9]}",,,,{},tracker
3,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
3,contact_birth,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
3,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
3,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
4,gap_nucleation,"{""gap"": -2, ""cells"": [1, 3, 4], ""sides"": 3}",2.0,3.0,1.0,{},tracker
4,rupture,"{""gap"": -1, ""cells"": [1, 3], ""caps"": []}",2.0,3.0,1.0,{},tracker
5,rupture,"{""gap"": -3, ""cells"": [6, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
5,reseal,"{""gap"": -2, ""cells"": [1, 3], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
5,contact_death,"{""cells"": [-1, 1]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
5,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
6,exit,"{""cell"": 10, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
6,gap_appearance,"{""gap"": -4, ""cells"": [1, 2, 3]}",,,,{},tracker
6,gap_appearance,"{""gap"": -3, ""cells"": [2, 3]}",,,,{},tracker
6,contact_birth,"{""cells"": [-1, 1]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
6,contact_birth,"{""cells"": [2, 3]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
6,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
7,reseal,"{""gap"": -4, ""cells"": [6, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
7,reseal,"{""gap"": -3, ""cells"": [2, 3], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
7,gap_disappearance,"{""gap"": -1, ""cells"": [1, 3, 4]}",,,,{},tracker
7,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
7,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
7,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
7,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
8,gap_appearance,"{""gap"": -2, ""cells"": [3, 4]}",,,,{},tracker
8,gap_disappearance,"{""gap"": -1, ""cells"": [1, 2, 3]}",,,,{},tracker
8,contact_death,"{""cells"": [2, 3]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
8,contact_birth,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
8,contact_birth,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
9,entry,"{""cell"": 13, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
9,gap_disappearance,"{""gap"": -1, ""cells"": [3, 4]}",,,,{},tracker
9,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
9,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
9,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
9,contact_birth,"{""cells"": [2, 3]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
10,exit,"{""cell"": 13, ""sides"": 1}",,,,"{""neighbours"": [0]}",tracker
10,contact_death,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
10,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
10,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
10,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
10,contact_death,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
12,gap_appearance,"{""gap"": -1, ""cells"": [4, 5]}",,,,{},tracker
12,contact_birth,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
12,contact_birth,"{""cells"": [6, 7]}",,,,"{""connectivity_change"": true}",tracker
13,rupture,"{""gap"": -3, ""cells"": [2, 3], ""caps"": []}",2.0,3.0,1.0,{},tracker
13,rupture,"{""gap"": -2, ""cells"": [6, 7], ""caps"": []}",2.0,3.0,1.0,{},tracker
13,contact_death,"{""cells"": [1, 3]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",tracker
13,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
14,gap_appearance,"{""gap"": -4, ""cells"": [1, 3, 4, 6, 7, 8]}",,,,{},tracker
14,reseal,"{""gap"": -3, ""cells"": [6, 7], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
14,reseal,"{""gap"": -2, ""cells"": [2, 3], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
14,reseal,"{""gap"": -1, ""cells"": [4, 5], ""caps"": []}",-2.0,-3.0,-1.0,{},tracker
14,contact_birth,"{""cells"": [1, 3]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
14,contact_birth,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
14,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
14,contact_birth,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
15,gap_appearance,"{""gap"": -2, ""cells"": [3, 6]}",,,,{},tracker
15,gap_disappearance,"{""gap"": -1, ""cells"": [1, 3, 4, 6, 7, 8]}",,,,{},tracker
15,contact_death,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [1, 4]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [2, 3]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
15,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
15,contact_birth,"{""cells"": [3, 6]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
16,gap_disappearance,"{""gap"": -1, ""cells"": [3, 6]}",,,,{},tracker
16,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
16,contact_birth,"{""cells"": [1, 2]}",,,,"{""connectivity_change"": true}",tracker
16,contact_birth,"{""cells"": [4, 5]}",,,,"{""connectivity_change"": true}",tracker
17,gap_appearance,"{""gap"": -1, ""cells"": [7, 8]}",,,,{},tracker
17,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
17,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
18,gap_disappearance,"{""gap"": -1, ""cells"": [7, 8]}",,,,{},tracker
18,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
18,contact_birth,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
19,rupture,"{""gap"": -1, ""cells"": [4, 6], ""caps"": []}",2.0,3.0,1.0,{},tracker
19,contact_birth,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
19,contact_birth,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
19,contact_birth,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
19,contact_birth,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
20,gap_appearance,"{""gap"": -2, ""cells"": [3, 4]}",,,,{},tracker
20,gap_disappearance,"{""gap"": -1, ""cells"": [4, 6]}",,,,{},tracker
20,contact_death,"{""cells"": [3, 6]}",,,,"{""connectivity_change"": true}",tracker
20,contact_death,"{""cells"": [3, 7]}",,,,"{""connectivity_change"": true}",tracker
20,contact_death,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
20,contact_death,"{""cells"": [4, 6]}",,,,"{""connectivity_change"": true}",tracker
20,contact_birth,"{""cells"": [3, 4]}",1.0,1.0,0.0,"{""connectivity_change"": false}",tracker
21,rupture,"{""gap"": -3, ""cells"": [4, 5], ""caps"": []}",2.0,3.0,1.0,{},tracker
21,gap_appearance,"{""gap"": -2, ""cells"": [6]}",,,,{},tracker
21,gap_disappearance,"{""gap"": -1, ""cells"": [3, 4]}",,,,{},tracker
21,contact_death,"{""cells"": [1, 3]}",,,,"{""connectivity_change"": true}",tracker
21,contact_death,"{""cells"": [3, 4]}",,,,"{""connectivity_change"": true}",tracker
21,contact_death,"{""cells"": [7, 8]}",,,,"{""connectivity_change"": true}",tracker
21,contact_birth,"{""cells"": [3, 8]}",,,,"{""connectivity_change"": true}",tracker
21,contact_birth,"{""cells"": [5, 6]}",,,,"{""connectivity_change"": true}",tracker
