observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(-9, -13, -4)","(-2, -4, -2)","(-7, -9, -2)",0,48,46,2,0,False,53,54,1,26,"[1, 1, 0, -1, 0, 1, -1, 2, -1, -1, 0, 1, 1, 3, 2, 1, -1, 1, -1, 0, 0, 1, 1, 2, 3, 0]",6,4,2,2,2,0
"(-14, -19, -5)","(-14, -19, -5)","(0, 0, 0)",0,41,41,0,0,True,54,61,7,21,"[2, 3, 1, 1, -1, 0, 0, 2, 2, -1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",7,3,3,3,3,1
"(1, 1, 0)","(-4, -6, -2)","(5, 7, 2)",0,45,43,2,0,False,61,56,-5,21,"[1, -1, 0, 1, 0, 0, 0, -1, -2, 0, -3, -1, 1, 1, 2, -2, 0, 1, 2, -1, -1]",6,1,1,1,1,2
"(-10, -16, -6)","(-11, -17, -6)","(1, 1, 0)",0,50,50,0,0,False,56,56,0,23,"[-5, 0, 1, 3, 1, 0, 2, -3, 0, 0, 0, 2, 1, -1, 0, 0, 0, -1, -2, -1, 1, 1, -3]",8,1,1,1,1,3
"(0, -1, -1)","(-7, -10, -3)","(7, 9, 2)",0,30,28,2,0,False,56,51,-5,16,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, -1, 0, 3]",10,3,3,3,3,4
"(-3, -4, -1)","(-2, -3, -1)","(-1, -1, 0)",0,39,39,0,0,False,51,54,3,26,"[-1, -1, -1, 0, 1, -1, 1, -1, 0, 0, 1, 1, 0, 0, 0, 1, 3, 1, 0, -1, -1, 1, 0, 0, 1, 1]",9,2,1,1,1,5
"(-4, -6, -2)","(-11, -15, -4)","(7, 9, 2)",0,39,37,2,0,False,54,54,0,24,"[0, -1, -1, -1, -1, 1, 2, 0, 0, 2, 0, 2, 2, -2, 0, 0, 1, 1, -2, 2, 0, -1, 0, 0]",9,3,2,2,2,6
"(-5, -8, -3)","(-5, -8, -3)","(0, 0, 0)",0,33,33,0,0,True,54,51,-3,22,"[-1, -1, 2, 1, 0, 1, 0, 0, -1, 1, 0, 1, -2, -2, 0, 1, -2, 1, 0, 0, 0, 1]",8,4,3,3,3,7
"(-2, -1, 1)","(-5, -4, 1)","(3, 3, 0)",0,46,40,6,0,False,51,61,10,19,"[-3, 0, 1, 1, 0, 0, 2, 2, 1, 3, 0, 0, 0, -1, 0, 0, 0, 2, 0]",10,2,2,2,2,8
"(0, -2, -2)","(-4, -7, -3)","(4, 5, 1)",0,35,34,1,0,False,61,47,-14,20,"[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -1, -2, -1, 7, 0, -1, 0, 0]",11,5,5,5,5,9
"(-10, -14, -4)","(-10, -14, -4)","(0, 0, 0)",0,37,37,0,0,True,47,53,6,18,"[3, -1, 0, 0, 0, -1, 1, 0, 0, -1, 1, 1, 1, 0, 0, 1, 2, 0]",8,3,2,2,2,10
"(-7, -11, -4)","(-7, -11, -4)","(0, 0, 0)",0,40,40,0,0,True,53,52,-1,27,"[-3, 1, 1, 0, -1, 1, -1, -1, 1, 1, 0, -1, 0, -1, 1, 1, -1, 1, 0, 2, 0, -2, 1, 0, 1, -1, 0]",7,4,3,3,3,11
"(-6, -9, -3)","(0, -1, -1)","(-6, -8, -2)",0,37,33,4,0,False,52,51,-1,13,"[-1, 1, 3, -1, 1, -1, 0, -1, 0, 1, 0, 2, -1]",3,2,1,1,1,12
