frame,appearance,contact_birth,contact_death,disappearance,division,extrusion,t1
0,0,10,6,2,1,3,26
1,0,7,8,0,0,5,21
2,2,11,7,0,1,3,21
3,0,15,6,0,0,6,23
4,2,5,4,0,0,3,16
5,0,7,5,0,0,1,26
6,2,5,4,0,0,4,24
7,0,5,3,0,0,3,22
8,3,6,12,3,2,1,19
9,1,6,3,0,1,4,20
10,0,9,4,0,1,5,18
11,0,7,2,0,0,4,27
12,1,10,7,3,1,2,13
13,0,7,4,0,1,4,20
14,0,8,4,2,0,4,24
15,0,8,5,2,1,4,21
16,3,6,8,0,2,2,24
17,1,9,3,4,0,4,16
18,1,3,3,0,0,3,26
19,1,4,2,1,2,0,22
20,0,5,1,2,0,3,12
21,0,5,3,4,0,1,28
22,4,5,4,0,3,2,11
23,0,7,4,0,2,6,12
24,0,6,2,0,2,4,16
25,1,6,1,0,3,3,11
26,2,3,2,0,0,1,13
27,3,6,4,0,2,4,16
28,2,12,1,0,5,5,11
