frame,kind,participants,dV,dE,dF,evidence,run
0,division,"{""parent"": 44, ""children"": [307, 321]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
0,rupture,"{""gap"": -5, ""cells"": [8, 43], ""caps"": []}",2.0,3.0,1.0,{},gt_ids
0,gap_nucleation,"{""gap"": -4, ""cells"": [74, 85, 145], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
0,gap_nucleation,"{""gap"": -3, ""cells"": [73, 85, 145], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
0,gap_nucleation,"{""gap"": -2, ""cells"": [73, 94, 145], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
0,gap_nucleation,"{""gap"": -1, ""cells"": [7, 191, 205], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
0,t1,"{""lost"": [18, 192], ""gained"": [185, 204], ""cells"": [18, 185, 192, 204]}",0.0,0.0,0.0,"{""side_change"": {""18"": -1, ""192"": -1, ""185"": 1, ""204"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
0,t1,"{""lost"": [52, 98], ""gained"": [34, 46], ""cells"": [34, 46, 52, 98]}",0.0,0.0,0.0,"{""side_change"": {""52"": -1, ""98"": -1, ""34"": 1, ""46"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
0,t1,"{""lost"": [78, 94], ""gained"": [26, 77], ""cells"": [26, 77, 78, 94]}",0.0,0.0,0.0,"{""side_change"": {""78"": -1, ""94"": 0, ""26"": 1, ""77"": 1}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
0,contact_death,"{""cells"": [74, 145]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",gt_ids
1,division,"{""parent"": 177, ""children"": [22, 709]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
1,extrusion,"{""cell"": 98, ""sides"": 4, ""neighbours"": [34, 36, 46, 59]}",-3.0,-4.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 1}",gt_ids
1,gap_closure,"{""gap"": -5, ""cells"": [7, 191, 205], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
1,gap_closure,"{""gap"": -3, ""cells"": [73, 85, 145], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
1,t1,"{""lost"": [109, 145], ""gained"": [0, 94], ""cells"": [0, 94, 109, 145]}",0.0,0.0,0.0,"{""side_change"": {""109"": -1, ""145"": -1, ""0"": 2, ""94"": 1}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
1,contact_death,"{""cells"": [65, 76]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",gt_ids
1,contact_birth,"{""cells"": [-1, 24]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
1,contact_birth,"{""cells"": [34, 36]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
1,contact_birth,"{""cells"": [74, 145]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
2,division,"{""parent"": 150, ""children"": [69, 96]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
2,division,"{""parent"": 165, ""children"": [980, 984]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
2,division,"{""parent"": 199, ""children"": [1026, 1028]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
2,division,"{""parent"": 236, ""children"": [12, 28]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
2,division,"{""parent"": 321, ""children"": [10, 19]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
2,division,"{""parent"": 33, ""children"": [1, 33]}",2.0,3.0,1.0,"{""source"": ""heuristic_asymmetric""}",gt_ids
