observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(21, 32, 11)","(11, 19, 8)","(10, 13, 3)",0,66,51,15,0,False,12,18,6,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18,17,15,15,15,0
"(7, 7, 0)","(7, 8, 1)","(0, -1, -1)",0,69,52,17,0,False,18,6,-12,18,"[-3, 0, -1, -1, -1, 1, 1, 1, 0, 0, 0, -2, 0, 0, 1, 1, -2, -2]",6,5,4,4,4,1
"(-4, -7, -3)","(3, 3, 0)","(-7, -10, -3)",0,42,31,11,0,False,6,1,-5,19,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18,14,12,12,12,2
"(8, 16, 8)","(-10, -10, 0)","(18, 26, 8)",0,65,49,16,0,False,1,16,15,24,"[0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 0, 0, -1, 1, 0, 0, 0, 1, -1]",13,12,10,10,10,3
"(12, 16, 4)","(3, 5, 2)","(9, 11, 2)",0,78,62,16,0,False,16,12,-4,29,"[-4, 0, -1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, -1, -1, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0]",19,15,14,14,14,4
"(-5, -5, 0)","(4, 6, 2)","(-9, -11, -2)",0,65,51,14,0,False,12,15,3,29,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",23,18,18,18,17,5
"(-1, -2, -1)","(-2, -2, 0)","(1, 0, -1)",0,49,40,9,0,False,15,16,1,20,"[-4, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0, 1, 1, 0, -1, 0, 1, 0, 0, 0]",12,10,10,10,10,6
"(-8, -13, -5)","(13, 15, 2)","(-21, -28, -7)",0,46,37,9,0,False,16,8,-8,18,"[3, 1, 0, 0, 1, 0, 0, -1, -1, -1, -1, 1, 0, 1, 0, -1, -1, 0]",7,6,6,6,6,7
"(-2, -2, 0)","(3, 4, 1)","(-5, -6, -1)",0,48,35,13,0,False,8,11,3,15,"[0, 0, 0, 0, 0, 0, 2, 0, 0, -2, 0, 0, 1, 0, 0]",12,10,8,8,8,8
"(11, 16, 5)","(7, 10, 3)","(4, 6, 2)",0,62,48,14,0,False,11,13,2,22,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, -1, -3, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1]",17,13,12,12,12,9
