observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(18, 29, 11)","(36, 58, 22)","(-18, -29, -11)",0,132,69,63,0,False,137,146,9,21,"[0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",18,16,13,13,13,0
"(1, -1, -2)","(19, 27, 8)","(-18, -28, -10)",0,99,55,44,0,False,146,133,-13,23,"[1, 0, -1, 0, -3, -1, 0, 1, 1, 0, -2, 0, 1, 1, -1, -1, 5, 5, 5, 0, 5, 0, 4]",7,6,5,5,5,1
"(0, -1, -1)","(25, 35, 10)","(-25, -36, -11)",0,89,44,45,0,False,133,130,-3,19,"[-2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 1]",15,14,10,10,10,2
"(-12, -16, -4)","(22, 34, 12)","(-34, -50, -16)",0,95,61,34,0,False,130,127,-3,28,"[9, 9, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, 0, -1, 1, 0, 0, 1, -1, 0, -1, 0, 0]",15,14,11,11,11,3
"(22, 32, 10)","(46, 68, 22)","(-24, -36, -12)",0,149,89,60,0,False,127,128,1,30,"[-7, -5, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4]",21,15,11,11,11,4
"(9, 14, 5)","(13, 18, 5)","(-4, -4, 0)",0,95,61,34,0,False,128,135,7,39,"[-6, -8, -7, 0, 0, 0, 0, -2, 1, 1, 0, 0, 0, 0, -4, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, -5, -8, 0, 0]",27,19,18,18,18,5
"(-15, -22, -7)","(-1, 2, 3)","(-14, -24, -10)",0,80,48,32,0,False,135,131,-4,27,"[6, 7, 6, 8, 0, -1, 0, 1, 0, 7, -1, 0, 0, 0, 0, 8, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, -1]",13,11,11,11,11,6
"(12, 17, 5)","(7, 9, 2)","(5, 8, 3)",0,72,43,29,0,False,131,137,6,26,"[1, 0, 0, 1, 0, 2, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, -1, -9, -1, 1, 0, -8, -10, -9, -1, -9]",11,7,7,7,7,7
"(-24, -35, -11)","(14, 19, 5)","(-38, -54, -16)",0,84,46,38,0,False,137,131,-6,22,"[9, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -2, 11, 0, 0, 0, 0, 0]",16,14,13,13,13,8
"(22, 31, 9)","(16, 22, 6)","(6, 9, 3)",0,85,54,31,0,False,131,126,-5,30,"[-2, -6, -4, -5, -4, 0, 0, 0, 0, -2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -3, -1, -2, -1]",17,13,12,12,12,9
"(1, 3, 2)","(25, 37, 12)","(-24, -34, -10)",0,114,66,48,0,False,126,141,15,27,"[-10, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, -1, 2, -8, 2, 0, 0, 1, -1, -8, 1]",16,13,13,13,13,10
"(-2, -4, -2)","(10, 12, 2)","(-12, -16, -4)",0,82,46,36,0,False,141,140,-1,32,"[-5, 0, 1, 0, 0, -1, 0, 0, 0, 0, 1, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, -4, -4, 0, -2]",22,18,18,18,18,11
"(-10, -14, -4)","(7, 10, 3)","(-17, -24, -7)",0,84,49,35,0,False,140,143,3,31,"[0, 2, 2, -1, 3, -1, -1, -1, 2, 0, 0, -2, -1, 0, 2, 1, -1, 0, 0, 1, -1, 1, 0, 0, 1, -2, -1, -1, 1, 0, 2]",9,9,8,8,8,12
"(-9, -13, -4)","(7, 10, 3)","(-16, -23, -7)",0,84,47,37,0,False,143,138,-5,25,"[5, 6, 5, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0, -1]",15,14,14,14,14,13
"(6, 9, 3)","(20, 32, 12)","(-14, -23, -9)",0,101,62,39,0,False,138,139,1,21,"[-3, -2, -3, -2, -3, -1, -2, 0, 0, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, -2, 0]",10,7,4,4,4,14
"(-3, -4, -1)","(1, 3, 2)","(-4, -7, -3)",0,78,57,21,0,False,139,132,-7,31,"[7, 8, 8, 0, 11, 0, -1, 0, 0, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 10, 0, -1, 0, -2, 1, -1, 0, 2, -2]",16,14,13,13,13,15
"(7, 9, 2)","(4, 4, 0)","(3, 5, 2)",0,67,41,26,0,False,132,130,-2,27,"[-5, -5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, 0, 0, -3, 0, -3, -3, -3]",17,12,12,12,12,16
"(-11, -16, -5)","(6, 9, 3)","(-17, -25, -8)",0,67,43,24,0,False,130,128,-2,24,"[2, 0, 0, 5, 1, 0, 6, 0, 5, 0, 0, 0, -1, -1, 5, 0, 0, 0, 0, 5, 1, -1, 1, 0]",12,10,10,10,10,17
"(-6, -10, -4)","(-4, -6, -2)","(-2, -4, -2)",0,58,32,26,0,False,128,119,-9,13,"[5, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,8,7,7,7,18
"(-12, -15, -3)","(-4, -3, 1)","(-8, -12, -4)",0,59,41,18,0,False,119,133,14,25,"[0, 1, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, -2, 0, 0, -1, 0, -1, 0, -1, 0, -1, 0, 0, -1]",15,10,10,10,10,19
"(3, 2, -1)","(7, 7, 0)","(-4, -5, -1)",0,66,47,19,0,False,133,126,-7,30,"[-5, -3, -3, -5, -4, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -2, -2, -2]",18,11,11,11,11,20
"(-1, -1, 0)","(17, 29, 12)","(-18, -30, -12)",0,132,64,68,0,False,126,133,7,22,"[-6, -6, -7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -3, 0, 0, -4]",14,13,7,7,7,21
"(5, 7, 2)","(15, 19, 4)","(-10, -12, -2)",0,64,42,22,0,False,133,131,-2,27,"[-2, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, 2, 0, 1, 1]",14,9,9,9,9,22
