frame,appearance,contact_birth,contact_death,disappearance,division,entry,exit,extrusion,t1
0,5,21,15,3,12,16,17,2,18
1,4,22,16,5,5,10,16,0,21
2,1,12,8,1,3,5,6,3,23
3,6,14,8,2,4,5,16,1,30
4,4,13,7,6,6,15,8,1,35
5,2,5,7,3,4,14,9,3,36
6,1,5,11,1,1,7,11,4,24
7,0,8,5,2,3,9,4,1,26
8,2,10,10,1,2,6,17,3,23
9,3,14,8,2,5,13,7,3,27
10,1,10,13,2,3,13,10,3,27
11,1,8,5,2,2,9,11,1,32
12,1,8,9,1,4,7,11,4,29
13,2,14,14,2,2,6,10,2,28
14,6,13,12,6,3,14,14,0,19
15,2,12,10,3,2,5,7,0,31
16,1,12,10,2,0,9,6,0,27
17,3,16,17,1,1,7,10,5,22
18,3,12,10,1,1,5,11,1,15
19,0,7,15,0,2,6,7,4,25
20,2,18,11,0,0,6,6,3,29
21,1,8,14,6,2,14,10,1,23
22,2,7,5,5,0,13,8,0,25
23,2,8,9,2,1,4,13,2,28
24,1,7,3,0,2,5,3,0,31
25,1,3,4,3,1,3,4,0,20
26,1,6,7,2,2,7,5,3,16
27,3,11,12,0,0,5,7,3,21
28,2,9,7,0,1,5,5,1,32
29,0,5,17,4,0,8,11,1,34
30,1,17,8,0,0,4,11,1,28
31,2,13,11,0,0,9,5,2,23
32,0,10,11,0,0,4,0,1,23
33,1,7,7,9,1,14,10,1,27
34,0,4,9,1,0,3,8,1,24
35,0,13,11,0,1,4,0,1,27
36,1,6,9,3,0,6,6,0,20
37,0,9,4,0,1,2,8,1,23
38,2,14,13,1,0,7,5,3,36
39,0,5,7,2,2,10,4,0,20
40,1,7,8,0,1,8,4,0,22
41,0,12,8,2,1,4,11,2,28
42,0,11,12,2,0,6,5,2,23
43,0,7,13,0,0,11,2,2,21
44,0,7,6,0,0,1,6,0,25
45,0,11,11,3,0,9,5,2,23
46,0,7,5,1,0,4,10,0,19
47,0,7,7,0,0,2,6,0,26
48,0,6,9,0,0,4,2,0,17
49,1,10,13,2,0,6,5,1,20
50,1,3,3,0,0,3,6,0,15
51,0,8,8,0,0,5,6,0,28
52,0,7,2,0,0,0,14,0,11
53,0,2,4,0,0,7,0,0,19
54,1,10,15,0,0,8,2,2,18
55,0,8,10,0,1,1,3,1,20
56,0,9,5,0,0,1,8,0,15
57,0,7,4,2,1,7,1,1,22
58,0,1,3,0,0,2,2,0,19
59,0,12,7,1,0,5,5,1,24
60,0,5,6,0,0,8,4,0,24
61,0,9,9,0,0,2,3,1,20
62,0,3,2,0,0,3,2,0,25
63,0,11,12,0,0,3,4,2,18
64,0,9,10,0,0,3,0,1,15
65,0,4,6,0,0,4,6,1,16
66,0,4,9,0,0,7,1,1,14
67,0,5,7,1,0,12,1,2,12
68,0,5,7,3,0,5,8,1,15
69,0,4,6,1,0,7,4,5,17
