frame,appearance,contact_birth,contact_death,disappearance,division,entry,exit,extrusion,t1
0,4,9,13,12,24,22,25,2,21
1,0,13,7,4,10,17,23,2,23
2,1,10,5,9,10,16,19,0,19
3,1,9,8,9,14,8,16,2,28
4,4,19,14,23,24,20,13,2,30
5,0,10,7,2,5,17,15,0,39
6,3,5,7,6,6,8,15,3,27
7,0,9,4,0,3,16,13,1,26
8,2,11,6,2,6,9,25,1,22
9,2,11,7,5,6,15,9,0,30
10,6,14,7,13,15,13,16,3,27
11,0,9,3,1,2,16,19,0,32
12,0,8,7,1,3,14,20,0,31
13,0,10,9,1,3,15,21,0,25
14,3,13,10,9,15,12,15,3,21
15,0,10,12,1,3,9,11,1,31
16,0,9,5,0,0,14,12,0,27
17,0,8,8,0,3,8,16,0,24
18,1,11,6,0,0,11,14,2,13
19,0,4,9,0,2,7,11,1,25
20,0,12,5,0,0,9,10,0,30
21,10,13,9,21,16,18,19,4,22
22,0,9,2,1,4,10,11,0,27
23,0,9,8,0,0,6,16,0,30
24,0,6,7,0,0,11,6,0,30
25,1,5,7,0,0,6,8,1,18
26,1,5,4,0,2,6,8,1,21
27,0,6,3,0,0,6,8,0,25
28,0,4,4,0,1,11,10,0,33
29,0,5,11,0,1,5,14,0,36
30,0,13,4,0,0,5,12,0,29
31,0,7,4,0,1,11,8,0,25
32,0,2,4,0,0,9,6,0,22
33,0,9,1,0,2,6,12,0,34
34,0,3,8,1,3,3,11,1,22
35,0,9,6,0,0,9,5,0,26
36,0,9,10,0,0,10,12,0,17
37,0,7,3,0,0,0,6,0,24
38,0,9,3,0,0,9,9,0,37
39,0,5,6,0,0,14,8,0,19
40,0,2,7,0,1,13,8,0,20
41,0,10,4,0,0,4,13,1,28
42,0,6,6,0,1,10,13,1,23
43,0,5,7,0,0,16,8,1,20
44,0,5,6,0,1,5,10,1,22
45,0,9,6,0,0,9,9,1,22
46,0,5,2,0,1,5,13,0,18
47,0,5,5,0,0,5,9,0,25
48,0,5,6,0,0,8,6,0,16
49,0,6,6,0,1,8,10,0,19
50,0,3,4,0,0,8,10,0,14
51,0,5,5,0,0,9,10,0,26
52,0,7,2,0,0,0,14,0,11
53,0,3,5,0,0,9,2,0,17
54,0,3,8,0,2,11,8,0,17
55,0,4,7,0,0,5,7,0,19
56,0,8,4,0,0,2,9,0,14
57,0,8,3,0,1,10,6,1,21
58,0,1,4,0,0,3,3,0,18
59,0,10,3,0,0,8,9,1,23
60,0,4,7,0,0,16,12,0,21
61,0,3,4,0,0,6,8,0,19
62,0,3,2,0,0,5,4,0,23
63,0,6,3,0,0,7,10,0,15
64,0,2,3,0,0,6,4,0,15
65,0,3,3,0,0,8,11,0,16
66,0,2,9,0,0,10,5,0,13
67,0,6,3,0,0,10,2,0,13
68,0,4,3,0,0,2,9,0,17
69,0,3,1,0,0,2,5,0,24
