n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
655,997,380,275,617,78,49,0.6930188251390814,523,915,65,458,850,509,724,185,0.36345776031434185,0.255524861878453,0.300081103000811,0.124282982791587,0.07103825136612021,0.09040333796940195,0.26366976393083846,0.1946218317326672,-0.06508353992579695,2.6740659944784557,48,126,3,0.0625,0.023809523809523808,0.034482758620689655,1.6881650340819931,1.4142135623730951,2.1538825359871203,0.3333333333333333,0.3333333333333333,2,0.31882221979764036,0.6930188251390814,0.4600484261501211,0.29874213836477986,0.07692307692307693,2.6055145915686304,1.4473531517610017,1.1581614398076288,0.7713217124156816,0.6944147644487615,0.7308505910791859,63.13477647065839,13.0,0,0,True,True,1.0,2202,3.0,0.5,1.4609668850898743,0.3003412969283277,0.35967302452316074,0.2578125,10.510274648666382,cellpose_sam_filled,0001,haec,"[1200, 1200]"
700,996,426,274,570,98,41,0.7053964485028691,678,1006,96,582,910,651,777,260,0.39938556067588327,0.33462033462033464,0.36414565826330536,0.1415929203539823,0.09542743538767395,0.11401425178147268,0.5615746612599134,0.21824800771777042,0.31591640110934566,6.741997525930882,85,140,3,0.03529411764705882,0.02142857142857143,0.026666666666666665,2.49071198499986,2.23606797749979,2.923606797749979,0.6666666666666666,0.6666666666666666,1,0.3543618951205451,0.7053964485028691,0.5023584905660378,0.3354330708661417,0.1084967320261438,2.6307273496346424,1.1704449174089389,1.4602824322257038,0.7710137972405519,0.735747103786598,0.752967730862326,50.99019513592785,10.198039027185569,0,0,True,True,1.0,2337,3.0,0.5,1.1170511301606894,0.3595959595959596,0.3731656184486373,0.3469785575048733,1.5840630531311035,cellpose_sam_filled,0003,haec,"[1200, 1200]"
660,939,403,257,536,99,38,0.7066168209157387,598,873,66,532,807,573,698,204,0.35602094240837695,0.2922636103151863,0.3210070810385523,0.11036789297658862,0.07560137457044673,0.08973487423521415,0.3349133943554066,0.22854955524618553,-0.0008012966833990105,2.423741764404275,81,106,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.35618083655915284,0.7066168209157387,0.5040650406504065,0.33695652173913043,0.108876560332871,2.628857994721115,1.3025758370876181,1.3262821576334967,0.789227895392279,0.7292638094150146,0.7580618842608821,58.69412236331676,10.44030650891055,0,0,True,True,1.0,2132,3.0,0.5,1.0504879243671894,0.31544359255202625,0.342042755344418,0.2926829268292683,1.6154530048370361,cellpose_sam_filled,0005,haec,"[1200, 1200]"
772,1207,447,325,760,121,36,0.6826623136332722,785,1059,82,703,977,758,830,266,0.35092348284960423,0.3204819277108434,0.3350125944584383,0.10445859872611465,0.07743153918791312,0.08893709327548807,0.48822000562957624,0.24579245317739523,0.2732866220789294,4.325570950851693,101,153,3,0.0297029702970297,0.0196078431372549,0.023622047244094484,1.74535599249993,2.0,2.212461179749811,0.0,0.0,3,0.3083881295543938,0.6826623136332722,0.4517433046993431,0.29177545691906004,0.06857451403887689,3.1203233910695496,1.2757654487196368,1.8445579423499128,0.7381617744135898,0.7079970866715222,0.7227648356487786,76.05918747922567,10.63014581273465,0,0,True,True,1.0,2768,3.0,0.5,1.1278767362236977,0.3591111111111111,0.3506944444444444,0.3679417122040073,1.6640777587890625,cellpose_sam_filled,0007,haec,"[1200, 1200]"
422,665,288,134,377,51,23,0.7357044451874526,317,525,34,283,491,286,420,127,0.44405594405594406,0.30238095238095236,0.3597733711048159,0.10725552050473186,0.06476190476190476,0.08076009501187649,0.4599288078202822,0.23199232390703597,0.11967999017006123,2.3157185322166063,20,58,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.38984890563750935,0.7357044451874526,0.5298988040478381,0.360450563204005,0.14783526927138332,1.9891591082982425,1.0438242458157767,0.9453348624824658,0.8286020517531771,0.7589896102892897,0.7922696539435807,77.87810988975015,15.556349186104045,0,0,True,True,1.0,1285,3.0,0.5,0.9367904202081263,0.31890660592255127,0.445859872611465,0.24822695035460993,1.3394594192504883,cellpose_sam_filled,0009,haec,"[1200, 1200]"
510,843,352,158,491,70,24,0.7090466145665105,351,572,32,319,540,336,467,125,0.37202380952380953,0.2676659528907923,0.31133250311332505,0.09116809116809117,0.055944055944055944,0.06933911159263272,0.5128457875532191,0.2034629778870088,0.17631745628080317,8.26536703940237,18,68,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.36893482383948517,0.7090466145665105,0.5203252032520326,0.3516483516483517,0.11083743842364532,2.3086767450758754,1.1793367206132173,1.1293400244626581,0.8029145829452476,0.7310357206964638,0.7652910780845965,91.0659101969557,12.0,0,0,True,True,1.0,1508,3.0,0.5,0.9829637720249593,0.2831858407079646,0.34782608695652173,0.23880597014925373,1.4483141899108887,cellpose_sam_filled,0011,haec,"[1200, 1200]"
565,834,411,154,423,64,12,0.7310063011373055,235,429,25,210,404,228,360,103,0.4517543859649123,0.2861111111111111,0.3503401360544217,0.10638297872340426,0.05827505827505827,0.0753012048192771,0.5274766175468317,0.19321610267914943,0.24780545628561979,4.8482194362705675,14,47,1,0.07142857142857142,0.02127659574468085,0.032786885245901634,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,0.0,1,0.4295119224695247,0.7310063011373055,0.5875625446747677,0.4159919028340081,0.16486261448792672,2.5693323296724664,1.169823670919162,1.3995086587533045,0.7692579169551113,0.7164893677799742,0.7419365651772771,70.40596565632774,11.180339887498949,0,0,True,True,1.0,1192,3.0,0.5,0.9797699069604278,0.37727272727272726,0.46111111111111114,0.3192307692307692,1.4045956134796143,cellpose_sam_filled,0014,haec,"[1200, 1200]"
473,792,350,123,442,50,19,0.733308054269103,198,362,22,176,340,192,295,82,0.4270833333333333,0.27796610169491526,0.33675564681724846,0.1111111111111111,0.06077348066298342,0.07857142857142856,0.7162148616915915,0.22937721741859887,0.45716133563578887,4.022359744899245,15,26,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.4057831130342862,0.733308054269103,0.5533596837944664,0.3825136612021858,0.1437613019891501,2.470741600732582,1.1090738832404563,1.361667717492126,0.7648939387393615,0.7071153451419326,0.7348706932914597,51.97114584074513,10.63014581273465,0,0,True,True,1.0,1081,3.0,0.5,0.9143510721623898,0.3473389355742297,0.4217687074829932,0.29523809523809524,1.2020437717437744,cellpose_sam_filled,0016,haec,"[1200, 1200]"
433,661,285,148,376,50,33,0.713693892024954,212,492,14,198,478,194,419,84,0.4329896907216495,0.20047732696897375,0.27406199021207184,0.0660377358490566,0.028455284552845527,0.039772727272727265,0.38142685992717856,0.23280872149561355,0.07002797888191087,1.8399974315848704,15,56,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.37185147939142943,0.713693892024954,0.5210237659963437,0.3522867737948084,0.12090163934426229,2.3726906465753776,1.3740917156348653,0.9985989309405121,0.7904241064472906,0.687632500272572,0.735453976689376,54.56189146281496,14.0,0,0,True,True,1.0,1200,3.0,0.5,0.9164658589288592,0.2679425837320574,0.4,0.2014388489208633,1.2911858558654785,cellpose_sam_filled,0018,haec,"[1200, 1200]"
871,1132,519,352,613,127,49,0.6928635988087837,924,1199,115,809,1084,897,974,327,0.36454849498327757,0.33572895277207393,0.34954569748797437,0.12445887445887446,0.09591326105087573,0.10833725859632595,0.4238692721728516,0.2733085827455942,0.07691009789526,7.124377994300021,141,208,11,0.07801418439716312,0.052884615384615384,0.06303724928366762,2.043518969510825,2.0,3.0,0.45454545454545453,0.45454545454545453,6,0.3590576213497341,0.6928635988087837,0.5182226660009985,0.3497304582210243,0.08563685636856369,3.156889626598623,1.274736647290426,1.8821529793081968,0.7530903328050713,0.7287263537774868,0.7407080474384143,59.53990258641679,9.848857801796104,0,0,True,True,1.0,2864,3.0,0.5,1.2079374413006008,0.3535502958579882,0.3588588588588589,0.34839650145772594,2.1195755004882812,cellpose_sam_filled,0020,haec,"[1200, 1200]"
902,1333,555,347,778,106,39,0.694195092013495,784,1164,118,666,1046,778,934,309,0.397172236503856,0.33083511777301927,0.360981308411215,0.15051020408163265,0.1013745704467354,0.12114989733059549,0.4340231976163325,0.21054561602811486,0.207285880691143,5.615388863416232,90,196,7,0.07777777777777778,0.03571428571428571,0.04895104895104895,2.153009687409354,2.8284271247461903,3.0,0.5714285714285714,0.5714285714285714,3,0.3447680322751586,0.694195092013495,0.4966442953020134,0.33035714285714285,0.08653378706854643,3.2321519772005844,1.3254087334794349,1.9067432437211498,0.7253371407132584,0.7130440416905789,0.7191380598265675,52.69724850502159,11.0,0,0,True,True,1.0,2840,3.0,0.5,1.4151127552613616,0.38582677165354334,0.38950715421303655,0.38221528861154447,1.6342957019805908,cellpose_sam_filled,0022,haec,"[1200, 1200]"
907,1260,516,391,744,131,38,0.7052093097488727,930,1062,116,814,946,918,835,276,0.3006535947712418,0.33053892215568864,0.31488876212207645,0.12473118279569892,0.10922787193973635,0.11646586345381527,0.4979598783724763,0.2056425269872611,0.29957309131188314,8.33778558684963,159,149,3,0.018867924528301886,0.020134228187919462,0.01948051948051948,2.8856180831641267,2.8284271247461903,2.982842712474619,0.3333333333333333,0.3333333333333333,2,0.33584495046646823,0.7052093097488727,0.47623442547300415,0.3125378558449425,0.09888438133874239,3.2562482756332303,1.1831633772680332,2.073084898365197,0.7410749672266089,0.7212564240523943,0.7310313982237823,33.54101966249684,9.848857801796104,0,0,True,True,1.0,2897,3.0,0.5,1.173069654032588,0.348297213622291,0.31512605042016806,0.3892733564013841,1.796426773071289,cellpose_sam_filled,0024,haec,"[1200, 1200]"
971,1263,545,426,718,129,26,0.7018208930374719,1075,1196,148,927,1048,1055,930,353,0.3345971563981043,0.3795698924731183,0.3556675062972292,0.13767441860465116,0.12374581939799331,0.13033905768383972,0.47133253167215744,0.1965787852778751,0.2773877884736889,10.131645516913979,172,176,15,0.0872093023255814,0.08522727272727272,0.08620689655172414,2.2800038677571624,2.23606797749979,3.0,0.4666666666666667,0.4666666666666667,8,0.34242827816062865,0.7018208930374719,0.4879140555058192,0.32267613972764947,0.09456148946594807,3.3795821664163395,1.1669932271268044,2.2125889392895353,0.7223053379878162,0.721834032694759,0.7220696084343478,42.1070065428546,10.63014581273465,0,0,True,True,1.0,3127,3.0,0.5,1.2018693666905165,0.37175216522318455,0.32517482517482516,0.43390357698289267,2.3136796951293945,cellpose_sam_filled,0027,haec,"[1200, 1200]"
725,1059,429,296,630,114,50,0.6989925505478376,676,923,70,606,853,657,740,228,0.3470319634703196,0.3081081081081081,0.3264137437365784,0.10355029585798817,0.07583965330444203,0.08755472170106317,0.38168541833931996,0.20524551278372088,0.18624616510630937,3.1351282424425486,94,116,1,0.010638297872340425,0.008620689655172414,0.009523809523809525,2.23606797749979,2.23606797749979,2.23606797749979,1.0,1.0,0,0.3361746683688591,0.6989925505478376,0.48094170403587444,0.3166051660516605,0.09515039901780234,2.6523886986088714,1.264076795956107,1.3883119026527644,0.7721930482620655,0.7111082880765607,0.7403928833094506,48.83646178829912,11.180339887498949,0,0,True,True,1.0,2385,3.0,0.5,1.0380544639192522,0.3363006923837784,0.3512396694214876,0.3225806451612903,1.5974187850952148,cellpose_sam_filled,0029,haec,"[1200, 1200]"
871,1122,505,366,617,123,46,0.691387938621534,748,1075,108,640,967,737,890,276,0.37449118046132973,0.3101123595505618,0.3392747387830363,0.1443850267379679,0.10046511627906977,0.11848601206801976,0.29924268760015427,0.20514153387592765,-0.09207339179282358,3.15201505634595,88,178,3,0.03409090909090909,0.016853932584269662,0.022556390977443608,2.3570226039551585,2.8284271247461903,2.8284271247461903,0.6666666666666666,0.6666666666666666,1,0.35037722930644727,0.691387938621534,0.5067737079779228,0.3393817204301075,0.0855119825708061,3.0339750625957658,1.3325442832970065,1.7014307792987595,0.7383246518074713,0.7237217881083654,0.730950293536981,112.92918134831227,11.045361017187261,0,0,True,True,1.0,2591,3.0,0.5,1.1206013960763812,0.3417825020441537,0.3647469458987784,0.32153846153846155,1.172365427017212,cellpose_sam_filled,0031,haec,"[1200, 1200]"
754,941,465,289,476,80,27,0.7141269455590303,574,735,66,508,669,560,608,200,0.35714285714285715,0.32894736842105265,0.3424657534246575,0.11498257839721254,0.08979591836734693,0.10084033613445378,0.5876983520032777,0.2951229959101142,0.2768251664169812,10.129688755600807,60,97,2,0.03333333333333333,0.020618556701030927,0.025477707006369425,1.8251407699364424,1.8251407699364424,2.194975256743455,0.5,0.5,1,0.39182186393504315,0.7141269455590303,0.5486725663716814,0.3780487804878049,0.1284953395472703,2.984972879329855,1.222453328346236,1.7625195509836193,0.7383886038842067,0.7131672378763314,0.7255588051959109,61.1310068623117,11.180339887498949,0,0,True,True,1.0,1943,3.0,0.5,1.0575866089202464,0.3462414578587699,0.35023041474654376,0.34234234234234234,1.583707571029663,cellpose_sam_filled,0033,haec,"[1200, 1200]"
904,1145,551,353,594,106,28,0.7133487707985378,889,1098,129,760,969,882,883,318,0.36054421768707484,0.36013590033975085,0.36033994334277625,0.14510686164229472,0.11748633879781421,0.12984398590840465,0.43297337737172503,0.2352953597165695,0.22304242630912108,3.1007990762372617,117,190,10,0.08547008547008547,0.05263157894736842,0.06514657980456026,1.9714776642118867,2.118033988749895,3.0,0.6,0.6,4,0.3836556102586572,0.7133487707985378,0.5378233284529038,0.3678237650200267,0.12089715536105033,3.2847333979697373,1.175365227434227,2.1093681705355105,0.7244131930392553,0.7332016189361824,0.7287809118724315,60.74537019394976,11.045361017187261,0,0,True,True,1.0,2680,3.0,0.5,1.1479859189130366,0.35840707964601765,0.3351724137931035,0.38510301109350237,1.7628159523010254,cellpose_sam_filled,0035,haec,"[1200, 1200]"
831,980,527,304,453,84,28,0.7167181881244759,716,959,106,610,853,700,748,297,0.42428571428571427,0.39705882352941174,0.4102209944751381,0.14804469273743018,0.1105318039624609,0.1265671641791045,0.37138569354956696,0.2248929443333918,0.1267473242419356,3.5427399724421202,110,142,12,0.10909090909090909,0.08450704225352113,0.09523809523809523,2.1684927026236775,2.23606797749979,2.9056349186104047,0.5,0.5,6,0.41712919397194786,0.7167181881244759,0.5819988956377692,0.4104361370716511,0.135423197492163,2.9743364892141697,1.1282226433402813,1.8461138458738884,0.738940334744215,0.7368861024033437,0.737911788910235,68.30812543175226,10.63014581273465,0,0,True,True,1.0,2226,3.0,0.5,1.36402134783566,0.4404003639672429,0.44,0.4408014571948998,1.4885039329528809,cellpose_sam_filled,0037,haec,"[1200, 1200]"
629,880,424,205,456,78,40,0.7027886455804039,461,854,69,392,785,444,706,205,0.4617117117117117,0.29036827195467424,0.3565217391304348,0.14967462039045554,0.08079625292740047,0.1049429657794677,0.34507628321969336,0.23828143416787761,0.10696820640718833,2.28829373678588,39,125,3,0.07692307692307693,0.024,0.03658536585365854,1.6666666666666667,1.0,2.8,0.6666666666666666,0.6666666666666666,1,0.39494020639640987,0.7027886455804039,0.5619615639496355,0.39078341013824885,0.11283185840707964,2.6148124803617305,1.3397467419742195,1.2750657383875108,0.784152062481625,0.7270169959248286,0.7545044330312299,87.96590248499699,10.770329614269007,0,0,True,True,1.0,1839,3.0,0.5,1.0274808038957417,0.37749120750293086,0.4749262536873156,0.3132295719844358,1.526850700378418,cellpose_sam_filled,0040,haec,"[1200, 1200]"
807,1061,502,305,559,100,25,0.733911918388429,663,810,99,564,711,657,664,225,0.3424657534246575,0.338855421686747,0.3406510219530658,0.1493212669683258,0.12222222222222222,0.13441955193482688,0.448154067995853,0.22682826737324205,0.1878203758320581,7.615753192669174,68,101,3,0.04411764705882353,0.0297029702970297,0.03550295857988165,2.1573786516665265,2.23606797749979,2.23606797749979,1.0,1.0,0,0.3944580118104832,0.733911918388429,0.5374732334047109,0.36749633967789164,0.15237507711289328,3.020410721867783,1.0965289300420413,1.9238817918257416,0.746496980434947,0.7519744076776967,0.7492256831180292,59.54829972383762,11.40175425099138,0,0,True,True,1.0,2139,3.0,0.5,1.0757238501682878,0.3736040609137055,0.3552123552123552,0.39400428265524623,1.6661560535430908,cellpose_sam_filled,0042,haec,"[1200, 1200]"
