n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
369,997,78,291,919,126,59,0.5843672483423951,1046,915,1,1045,914,1028,724,16,0.01556420233463035,0.022099447513812154,0.0182648401826484,0.0009560229445506692,0.001092896174863388,0.0010198878123406424,0.8862090825211276,0.8862090825211276,0.8862090825211276,0.8862090825211276,678,126,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.06673593758522228,0.5843672483423951,0.11420204978038068,0.06055900621118013,0.0007326007326007326,5.668682648700176,1.4843805295617976,4.184302119138378,0.3227751647315506,0.23807673627974746,0.2740304798214366,86.00581375697809,26.870057685088806,0,0,True,True,1.0,3169,3.0,0.5,0.8892324971966445,0.01772324471710975,0.013612565445026177,0.025390625,3.700178623199463,classical,0001,haec,"[1200, 1200]"
345,939,74,271,865,115,47,0.6009793556421118,968,873,1,967,872,954,698,13,0.013626834381551363,0.01862464183381089,0.015738498789346248,0.0010330578512396695,0.001145475372279496,0.0010863661053775121,0.29822497337721904,0.29822497337721904,0.29822497337721904,0.29822497337721904,624,106,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.06927176373444903,0.6009793556421118,0.11526479750778816,0.06115702479338843,0.000779423226812159,5.611858954174518,1.599945716948044,4.011913237226474,0.3274556910384842,0.2247515395719315,0.2665527237705166,80.65358020571685,25.632011235952593,0,0,True,True,1.0,2975,3.0,0.5,0.9324589567258954,0.014367816091954021,0.011111111111111112,0.02032520325203252,3.688180685043335,classical,0005,haec,"[1200, 1200]"
187,665,32,155,633,67,24,0.5746070130969391,503,525,0,503,525,492,420,1,0.0020325203252032522,0.002380952380952381,0.0021929824561403508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,58,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.043162968119957866,0.5746070130969391,0.07511737089201878,0.03902439024390244,0.0,5.381500365454942,1.613055858553761,3.7684445069011807,0.24579638330337045,0.15343813165450026,0.1889342549728317,121.93850909372314,42.7551166528639,0,0,True,True,1.0,1816,3.0,0.5,0.8003545426763594,0.0026315789473684206,0.0020920502092050207,0.0035460992907801418,3.400177478790283,classical,0009,haec,"[1200, 1200]"
372,834,119,253,715,65,31,0.6295935640454021,1053,429,3,1050,426,1048,360,26,0.02480916030534351,0.07222222222222222,0.03693181818181818,0.002849002849002849,0.006993006993006993,0.004048582995951417,0.7716931434141219,0.7909133580501927,0.7716931434141219,0.9955122730221954,682,47,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.12424814945506277,0.6295935640454021,0.19734660033167495,0.10947562097516099,0.005,5.385577593881735,1.4122333458918164,3.9733442479899193,0.29011665338993226,0.22371653507318578,0.252626315001382,75.02666192761077,24.166091947189145,0,0,True,True,1.0,2444,3.0,0.5,0.8917120252735913,0.03971405877680699,0.025025025025025027,0.09615384615384616,3.4057319164276123,classical,0014,haec,"[1200, 1200]"
192,661,40,152,621,72,27,0.6076270000144646,519,492,1,518,491,504,419,6,0.011904761904761904,0.014319809069212411,0.013001083423618635,0.0019267822736030828,0.0020325203252032522,0.0019782393669634025,1.2738305832555812,1.2738305832555812,1.2738305832555812,1.2738305832555812,328,56,1,0.003048780487804878,0.017857142857142856,0.005208333333333334,1.0,1.0,1.0,0.0,0.0,1,0.05698729191225928,0.6076270000144646,0.09378663540445487,0.04920049200492005,0.004711425206124852,5.3961187237815125,1.8461376786320698,3.5499810451494422,0.2852583899526457,0.16710480090130472,0.21075121681973308,82.0792300158816,37.57658845611187,0,0,True,True,1.0,1783,3.0,0.5,0.8186577390879393,0.010484927916120578,0.008247422680412371,0.014388489208633094,3.2425014972686768,classical,0018,haec,"[1200, 1200]"
566,1333,188,378,1145,134,65,0.6064313939231536,1617,1164,10,1607,1154,1614,934,80,0.04956629491945477,0.08565310492505353,0.06279434850863422,0.006184291898577613,0.00859106529209622,0.007191657677094571,1.0370556005502285,0.6779526570740706,0.8506408167545798,2.6805697537278212,1052,196,3,0.0028517110266159697,0.015306122448979591,0.004807692307692308,2.433521026581923,2.23606797749979,2.76919121002155,0.0,0.0,3,0.12007277731179872,0.6064313939231536,0.1979989468141127,0.10987726475745178,0.0021108179419525065,5.611292478495475,1.4469567498519127,4.164335728643562,0.3483550376970528,0.28230927300664604,0.3118738630721789,55.47071299343465,18.027756377319946,0,0,True,True,1.0,4287,3.0,0.5,1.0352474311366677,0.06244175209692451,0.04451827242524917,0.10452418096723869,3.5352184772491455,classical,0022,haec,"[1200, 1200]"
536,1263,163,373,1100,135,74,0.6145224192974424,1538,1196,10,1528,1186,1532,930,62,0.04046997389033943,0.06666666666666667,0.050365556458164096,0.006501950585175552,0.008361204013377926,0.0073152889539136795,0.36768410009776337,0.4041390697984696,0.27962119171954875,0.6740373107886304,1003,176,2,0.0019940179461615153,0.011363636363636364,0.0033927056827820186,1.2071067811865475,1.2071067811865475,1.3935028842544404,0.5,0.5,1,0.11135870410837478,0.6145224192974424,0.1812117843246248,0.09963325183374083,0.00446677833612507,5.53214790341497,1.4769058398324924,4.055242063582477,0.3517814615923418,0.27834274602480485,0.3107825944047016,86.70063436907483,20.615528128088304,0,0,True,True,1.0,4188,3.0,0.5,1.136642866767943,0.04362578768783325,0.03169014084507042,0.06998444790046657,3.6592562198638916,classical,0027,haec,"[1200, 1200]"
526,1122,149,377,973,139,70,0.6129250899228523,1498,1075,8,1490,1067,1492,890,44,0.029490616621983913,0.04943820224719101,0.03694374475230898,0.0053404539385847796,0.0074418604651162795,0.0062184220753983685,0.6394647425023319,0.40645188780548824,0.5936152458967324,2.381823679880001,973,178,4,0.0041109969167523125,0.02247191011235955,0.006950477845351868,1.516123775561495,1.4142135623730951,2.1127898152307854,0.0,0.0,4,0.11083232815352548,0.6129250899228523,0.1808252427184466,0.09939959973315543,0.00182370820668693,5.577423524185131,1.3900162587736018,4.1874072654115295,0.34129015009739144,0.27778549046051326,0.3062806724189902,74.63243262818116,20.808652046684813,0,0,True,True,1.0,3911,3.0,0.5,0.9864698690362275,0.03622124326970142,0.02656137832017229,0.05692307692307692,3.5984063148498535,classical,0031,haec,"[1200, 1200]"
533,1145,180,353,965,124,64,0.6217068495864944,1526,1098,9,1517,1089,1520,883,65,0.04276315789473684,0.07361268403171008,0.0540990428630878,0.005897771952817824,0.00819672131147541,0.006859756097560976,0.8631719538083057,0.9035810422147819,0.8631719538083057,1.412871074248562,994,190,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.13338168405908102,0.6217068495864944,0.21454112038140644,0.12016021361815754,0.007202881152460984,5.4717018256081404,1.4556256394331077,4.016076186175033,0.34286517117032733,0.2773291389331134,0.3066345535319799,74.27651041883968,19.79898987322333,0,0,True,True,1.0,3924,3.0,0.5,0.9915944738313556,0.051960784313725486,0.03761533002129169,0.08399366085578447,3.549863576889038,classical,0035,haec,"[1200, 1200]"
364,880,110,254,770,95,50,0.6117606575114416,1021,854,3,1018,851,1011,706,44,0.043521266073194856,0.06232294617563739,0.0512521840419336,0.002938295788442703,0.00351288056206089,0.0032,1.1879860002922766,0.7052504480783963,0.7178190349066792,2.1884762147217733,659,125,2,0.0030349013657056147,0.016,0.00510204081632653,1.118033988749895,1.118033988749895,2.1242645786248002,0.0,0.0,2,0.10818918380427424,0.6117606575114416,0.17684887459807075,0.09700176366843033,0.001610305958132045,5.454461410018875,1.5535516565836205,3.9009097534352546,0.32394287998578664,0.23828521921427273,0.27458890895045424,70.60453243241541,28.0,0,0,True,True,1.0,2895,3.0,0.5,0.9333317442797124,0.05013550135501355,0.038461538461538464,0.07198443579766536,3.471770763397217,classical,0040,haec,"[1200, 1200]"
