n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
89,997,2,87,995,153,9,0.5438778556448663,200,915,0,200,915,185,724,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,126,2,0.017699115044247787,0.015873015873015872,0.016736401673640166,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,2,0.002003233354124738,0.5438778556448663,0.003683241252302026,0.0018450184501845018,0.0,5.538300333671247,3.3251033153615843,2.2131970183096623,0.5102794184461609,0.13423992229237494,0.2125610983252075,266.925083122587,150.04865874333194,0,0,True,True,1.0,2199,3.0,0.5,0.8475247942842543,0.0,0.0,0.0,5.9540793895721436,neural,0001,haec,"[1200, 1200]"
106,996,4,102,992,164,10,0.557999519199953,252,1006,0,252,1006,233,777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,140,1,0.006756756756756757,0.007142857142857143,0.006944444444444445,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,1,0.004050813206533234,0.557999519199953,0.007259528130671506,0.0036429872495446266,0.0,5.63844043736467,3.1919396055348304,2.44650083182984,0.5403791610688162,0.15547765481907094,0.2414775073198763,211.0,92.13576938409967,0,0,True,True,1.0,2353,3.0,0.5,0.8613424100913107,0.0,0.0,0.0,1.6690294742584229,neural,0003,haec,"[1200, 1200]"
115,939,0,115,939,197,7,0.0,272,873,0,272,873,247,698,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,106,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,5.815311991795938,2.97230431552031,2.843007676275628,0.4819800060028167,0.14727965688056244,0.2256170356832235,284.94560884491625,90.71934643586789,0,0,True,True,1.0,2199,3.0,0.5,0.8448010911233723,0.0,0.0,0.0,1.6910324096679688,neural,0005,haec,"[1200, 1200]"
169,1207,4,165,1203,209,11,0.5188098683226773,410,1059,0,410,1059,377,830,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243,153,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0030163364437364956,0.5188098683226773,0.005813953488372093,0.0029154518950437317,0.0,5.919313133082171,3.08856043587941,2.830752697202761,0.5135035505025028,0.17034231609613984,0.2558219282694749,232.47580519271247,92.0869154657707,0,0,True,True,1.0,2837,3.0,0.5,0.9326422265730798,0.0,0.0,0.0,1.8931162357330322,neural,0007,haec,"[1200, 1200]"
91,665,8,83,657,127,3,0.5781009765091615,206,525,0,206,525,183,420,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,58,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.012234941301781195,0.5781009765091615,0.021164021164021163,0.0106951871657754,0.0,5.361339759169288,2.556018464748338,2.80532129442095,0.518476422076549,0.1584720559267699,0.24274823631592124,149.26486525636233,78.26237921249263,0,0,True,True,1.0,1471,3.0,0.5,0.7568554729223251,0.0,0.0,0.0,1.6842374801635742,neural,0009,haec,"[1200, 1200]"
80,843,4,76,839,110,6,0.6168233366667764,155,572,0,155,572,138,467,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,68,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.005346247771759708,0.6168233366667764,0.00866738894907909,0.004352557127312296,0.0010845986984815619,5.17080488256147,3.2301124258353395,1.9406924567261299,0.5067269042952529,0.11923652246754024,0.19304755302198873,231.94827009486403,114.1612893976358,0,0,True,True,1.0,1642,3.0,0.5,0.7540104230865836,0.0,0.0,0.0,1.6046769618988037,neural,0011,haec,"[1200, 1200]"
133,834,1,132,833,107,2,0.601581508515815,227,429,0,227,429,196,360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,47,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0012442223547379837,0.601581508515815,0.002068252326783868,0.0010351966873706005,0.0,5.583279094031181,3.8778290929903187,1.7054500010408624,0.39094863969872085,0.08774295279774215,0.14331978491842773,269.75729832573575,116.49892703368559,0,0,True,True,1.0,1621,3.0,0.5,1.030980016104877,0.0,0.0,0.0,1.7638254165649414,neural,0014,haec,"[1200, 1200]"
112,792,1,111,791,57,1,0.6585956416464891,172,362,0,172,362,154,295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,26,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.001457070003642675,0.6585956416464891,0.0022123893805309734,0.0011074197120708748,0.0,5.338186545190841,4.293717324612098,1.0444692205787434,0.3616993059546439,0.06175969862715978,0.105504617390165,215.11159894343214,116.81181447096864,0,0,True,True,1.0,1436,3.0,0.5,0.7387727773748338,0.0,0.0,0.0,1.6475934982299805,neural,0016,haec,"[1200, 1200]"
80,661,2,78,659,93,7,0.5174668055177438,159,492,0,159,492,136,419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,56,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.002793343079717915,0.5174668055177438,0.005398110661268556,0.0027063599458728013,0.0,5.354438136936624,3.238288840482159,2.1161492964544646,0.4402547513141933,0.101857123820369,0.1654384815163278,209.61393083476108,94.86832980505137,0,0,True,True,1.0,1388,3.0,0.5,0.7264668671414256,0.0,0.0,0.0,1.5236520767211914,neural,0018,haec,"[1200, 1200]"
228,1132,3,225,1129,261,19,0.6586798087374824,557,1199,0,557,1199,512,974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,208,1,0.0030120481927710845,0.004807692307692308,0.0037037037037037043,2.23606797749979,2.23606797749979,2.23606797749979,0.0,0.0,1,0.0029059403326653637,0.6586798087374824,0.004411764705882353,0.002210759027266028,0.0,6.0186255825535655,3.0738187861716617,2.944806796381904,0.4694957226474561,0.18427009190324253,0.264663639593584,129.75746606650424,48.83646178829912,0,0,True,True,1.0,3111,3.0,0.5,0.8878785981796682,0.0,0.0,0.0,1.827153205871582,neural,0020,haec,"[1200, 1200]"
