n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,variant,image_id,dataset,n_vertex_merges,decode_s,proposal_s
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,base,0000,flywing,0,1.2321884632110596,0.5346508026123047
788,833,775,6,21,0.9207877461706784,0.9297392841361025,0.9120069354139575,0.908772697440385,2263,2307,1476,1414,0.9162629757785467,0.8970189701897019,0.9363507779349364,0.9229607250755287,0.782795621638479,0.9160756501182034,0.9968271657088592,vw0.3,0000,flywing,0,0.8248913288116455,0.5346508026123047
789,833,776,9,20,0.9224043715846995,0.9303350970017636,0.9146077156480278,0.9082167832167832,2268,2307,1480,1414,0.9136143745680719,0.8932432432432432,0.9349363507779349,0.926626323751891,0.7854204184861393,0.91725768321513,0.9965467328680672,vw0.6,0000,flywing,0,0.9722816944122314,0.5346508026123047
789,833,775,10,20,0.921967213114754,0.9298941798941799,0.9141742522756827,0.9077797202797203,2268,2307,1480,1414,0.9143054595715274,0.893918918918919,0.9356435643564357,0.9251700680272109,0.7868380526219781,0.9149940968122786,0.9965241222064204,vw1.0,0000,flywing,0,0.8479974269866943,0.5346508026123047
789,833,777,6,22,0.9240534033705404,0.9332449160035367,0.9150411790203727,0.9107221006564553,2262,2307,1474,1414,0.9099722991689752,0.8914518317503393,0.9292786421499293,0.9299847792998478,0.7863743567258688,0.919526627218935,0.9971294305445525,smooth1,0000,flywing,0,0.8401563167572021,0.5346508026123047
788,833,775,11,20,0.9228077848239669,0.9311562224183584,0.9146077156480278,0.9090511587232182,2266,2307,1479,1414,0.9083995852056688,0.8884381338742393,0.9292786421499293,0.9307458143074582,0.791033113075477,0.9160756501182034,0.9961873387604891,smooth1_vw0.6,0000,flywing,0,0.8432927131652832,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9155709342560554,0.8963414634146342,0.9356435643564357,0.9176114890400605,0.779622358597432,0.9115566037735849,0.9970401383629798,dist0.2,0000,flywing,0,0.8472201824188232,0.5346508026123047
789,833,777,7,18,0.924792304328815,0.9329510366122629,0.9167750325097529,0.9110382513661203,2267,2307,1479,1414,0.914621500172831,0.8945233265720081,0.9356435643564357,0.9312169312169312,0.7867334895315012,0.919526627218935,0.9962658946500501,dist0.2_vw0.6,0000,flywing,0,1.0113685131072998,0.5346508026123047
789,833,776,12,20,0.9232451344850207,0.9315975286849073,0.9150411790203727,0.909925666812418,2266,2307,1478,1414,0.9080221300138313,0.8883626522327469,0.9285714285714286,0.9299314546839299,0.7916076402522239,0.91725768321513,0.9962433811053301,dist0.2_smooth1_vw0.6,0000,flywing,0,0.855210542678833,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,seed0.4,0000,flywing,0,0.8378851413726807,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,seed0.5,0000,flywing,0,0.8263034820556641,0.5346508026123047
788,833,775,11,20,0.9228077848239669,0.9311562224183584,0.9146077156480278,0.9090511587232182,2266,2307,1479,1414,0.9083995852056688,0.8884381338742393,0.9292786421499293,0.9307458143074582,0.791033113075477,0.9160756501182034,0.9961873387604891,seed0.4_smooth1_vw0.6,0000,flywing,0,1.013875961303711,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,nucmerge,0000,flywing,0,0.8404183387756348,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,nucmerge_a0.6,0000,flywing,0,0.8398756980895996,0.5346508026123047
788,833,773,7,22,0.9155361050328227,0.9244365885992046,0.906805374945817,0.9030846641872676,2263,2307,1476,1414,0.9141868512110727,0.8949864498644986,0.9342291371994342,0.9174867524602573,0.7794851496363071,0.9115566037735849,0.9970401919488783,nucmerge_b0.6,0000,flywing,0,0.833550214767456,0.5346508026123047
788,833,775,11,20,0.9228077848239669,0.9311562224183584,0.9146077156480278,0.9090511587232182,2266,2307,1479,1414,0.9083995852056688,0.8884381338742393,0.9292786421499293,0.9307458143074582,0.791033113075477,0.9160756501182034,0.9961873387604891,nucmerge_smooth1_vw0.6,0000,flywing,0,0.8400678634643555,0.5346508026123047
788,833,775,11,20,0.9228077848239669,0.9311562224183584,0.9146077156480278,0.9090511587232182,2266,2307,1479,1414,0.9083995852056688,0.8884381338742393,0.9292786421499293,0.9307458143074582,0.791033113075477,0.9160756501182034,0.9961873387604891,nucmerge_a0.6_smooth1_vw0.6,0000,flywing,0,0.9993553161621094,0.5346508026123047
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,base,0001,flywing,0,0.7894270420074463,0.2377026081085205
716,780,696,7,30,0.8882017126546148,0.9076324744773943,0.8695854680950164,0.872269705603039,2057,2147,1342,1309,0.8970199924556771,0.8859910581222057,0.9083269671504965,0.8940285954583683,0.7651045523320823,0.87,0.9950510965984674,vw0.3,0001,flywing,0,0.7886369228363037,0.2377026081085205
716,780,696,6,32,0.887937187723055,0.9075875486381323,0.8691197019096414,0.8724768463547852,2056,2147,1341,1309,0.8958490566037737,0.8851603281133482,0.9067990832696715,0.8938500421229991,0.766447394655509,0.87,0.9933740831850224,vw0.6,0001,flywing,0,0.7798094749450684,0.2377026081085205
715,780,696,8,29,0.8883067396999286,0.9088693957115009,0.8686539357242664,0.8728309959591158,2052,2147,1338,1309,0.893842085379675,0.8841554559043349,0.9037433155080213,0.8943364327979713,0.7689863445448085,0.8710888610763454,0.9925744712824363,vw1.0,0001,flywing,0,0.781712532043457,0.2377026081085205
715,780,694,6,29,0.8862389697114238,0.9081133919843597,0.8653935724266418,0.869792906450845,2046,2147,1332,1309,0.8928436198409693,0.8851351351351351,0.9006875477463713,0.8914334181509754,0.7668750993361519,0.8664169787765293,0.9953663369797431,smooth1,0001,flywing,0,0.9222390651702881,0.2377026081085205
715,780,695,8,30,0.8879885605338418,0.9092240117130308,0.8677224033535166,0.8734538534728831,2049,2147,1335,1309,0.8857791225416035,0.8771535580524344,0.894576012223071,0.8958155422715628,0.7707135964600037,0.86875,0.992774092228996,smooth1_vw0.6,0001,flywing,0,0.7929754257202148,0.2377026081085205
717,780,696,4,29,0.8866175421915854,0.9053398058252428,0.8686539357242664,0.8706998813760379,2060,2147,1344,1309,0.8970976253298152,0.8854166666666666,0.9090909090909091,0.8932773109243698,0.7646880864378612,0.8689138576779026,0.9958940068937532,dist0.2,0001,flywing,0,0.7979104518890381,0.2377026081085205
716,780,696,7,32,0.8876725368871966,0.9075425790754258,0.8686539357242664,0.8717339667458432,2055,2147,1340,1309,0.8954322385805965,0.8850746268656716,0.906035141329259,0.8912310286677909,0.7665993741740152,0.87,0.9933035868584679,dist0.2_vw0.6,0001,flywing,0,0.806419849395752,0.2377026081085205
716,780,697,8,30,0.889947594092425,0.9107752315943443,0.8700512342803912,0.8754160722776985,2051,2147,1336,1309,0.8884688090737239,0.8794910179640718,0.8976317799847212,0.8978723404255319,0.7721526994501617,0.8723404255319149,0.9927273398702007,dist0.2_smooth1_vw0.6,0001,flywing,0,0.7941462993621826,0.2377026081085205
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,seed0.4,0001,flywing,0,0.9251818656921387,0.2377026081085205
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,seed0.5,0001,flywing,0,0.779402494430542,0.2377026081085205
715,780,695,8,30,0.8879885605338418,0.9092240117130308,0.8677224033535166,0.8734538534728831,2049,2147,1335,1309,0.8857791225416035,0.8771535580524344,0.894576012223071,0.8958155422715628,0.7707135964600037,0.86875,0.992774092228996,seed0.4_smooth1_vw0.6,0001,flywing,0,0.778996467590332,0.2377026081085205
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,nucmerge,0001,flywing,0,0.7842614650726318,0.2377026081085205
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,nucmerge_a0.6,0001,flywing,0,0.7849092483520508,0.2377026081085205
716,780,695,6,28,0.886563614744352,0.9057337220602527,0.8681881695388914,0.8696890576786138,2058,2147,1343,1309,0.896681749622926,0.885331347728965,0.9083269671504965,0.8915054667788057,0.7636830712573669,0.867665418227216,0.9959524763175278,nucmerge_b0.6,0001,flywing,0,0.9194583892822266,0.2377026081085205
715,780,695,8,30,0.8879885605338418,0.9092240117130308,0.8677224033535166,0.8734538534728831,2049,2147,1335,1309,0.8857791225416035,0.8771535580524344,0.894576012223071,0.8958155422715628,0.7707135964600037,0.86875,0.992774092228996,nucmerge_smooth1_vw0.6,0001,flywing,0,0.7839109897613525,0.2377026081085205
715,780,695,8,30,0.8879885605338418,0.9092240117130308,0.8677224033535166,0.8734538534728831,2049,2147,1335,1309,0.8857791225416035,0.8771535580524344,0.894576012223071,0.8958155422715628,0.7707135964600037,0.86875,0.992774092228996,nucmerge_a0.6_smooth1_vw0.6,0001,flywing,0,0.7857754230499268,0.2377026081085205
