variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
base,1906.9,1673.3,1610.1,127.4,78.8,0.818,0.774,0.869,0.72,5326.3,4744.4,3410.6,3045.1,0.653,0.62,0.691,0.813,0.777,0.814,0.904,0.0
dist0.2,2115.7,1673.3,1583.3,331.5,86.9,0.697,0.63,0.784,0.599,5943.4,4744.4,3811.6,3045.1,0.618,0.559,0.693,0.664,0.698,0.717,0.88,0.0
dist0.2_smooth1_vw0.6,2106.3,1673.3,1584.8,325.3,85.0,0.705,0.637,0.791,0.606,5922.0,4744.4,3799.0,3045.1,0.623,0.564,0.698,0.671,0.702,0.721,0.88,0.0
dist0.2_vw0.6,2108.9,1673.3,1584.5,326.6,85.0,0.704,0.636,0.791,0.604,5926.8,4744.4,3802.0,3045.1,0.622,0.564,0.697,0.671,0.701,0.72,0.879,0.0
nucmerge,1758.7,1673.3,1572.0,75.7,109.1,0.838,0.823,0.855,0.738,4920.2,4744.4,3151.9,3045.1,0.661,0.65,0.673,0.828,0.794,0.842,0.908,0.0
nucmerge_a0.6,1825.0,1673.3,1592.0,106.4,91.0,0.83,0.801,0.862,0.73,5108.6,4744.4,3274.3,3045.1,0.657,0.635,0.681,0.818,0.787,0.832,0.905,0.0
nucmerge_a0.6_smooth1_vw0.6,1811.5,1673.3,1594.1,95.4,89.6,0.84,0.813,0.87,0.741,5074.1,4744.4,3252.7,3045.1,0.663,0.642,0.684,0.831,0.794,0.84,0.907,0.0
nucmerge_b0.6,1788.8,1673.3,1600.2,76.8,90.1,0.855,0.833,0.879,0.754,5002.9,4744.4,3204.5,3045.1,0.666,0.649,0.683,0.85,0.804,0.856,0.909,0.0
nucmerge_smooth1_vw0.6,1749.4,1673.3,1572.5,70.9,108.4,0.845,0.832,0.86,0.745,4896.2,4744.4,3137.2,3045.1,0.665,0.655,0.675,0.836,0.798,0.846,0.908,0.0
seed0.4,1869.9,1673.3,1602.1,116.7,83.7,0.823,0.785,0.866,0.725,5227.7,4744.4,3348.3,3045.1,0.657,0.628,0.688,0.816,0.782,0.822,0.905,0.0
seed0.4_smooth1_vw0.6,1854.1,1673.3,1604.7,105.3,82.2,0.833,0.798,0.873,0.737,5189.8,4744.4,3325.4,3045.1,0.662,0.636,0.691,0.827,0.789,0.831,0.907,0.0
seed0.5,1809.2,1673.3,1572.2,100.8,103.0,0.817,0.792,0.845,0.721,5061.1,4744.4,3243.1,3045.1,0.658,0.639,0.679,0.809,0.78,0.819,0.904,0.0
smooth1,1898.6,1673.3,1611.8,122.7,78.0,0.824,0.78,0.873,0.728,5309.3,4744.4,3400.9,3045.1,0.655,0.623,0.692,0.82,0.782,0.819,0.907,0.0
smooth1_vw0.6,1890.8,1673.3,1612.8,115.7,76.9,0.828,0.786,0.876,0.732,5288.5,4744.4,3387.6,3045.1,0.659,0.627,0.694,0.825,0.784,0.823,0.906,0.0
vw0.3,1900.5,1673.3,1611.6,119.7,77.5,0.823,0.78,0.873,0.726,5311.0,4744.4,3402.4,3045.1,0.657,0.624,0.694,0.819,0.781,0.818,0.905,0.0
vw0.6,1895.3,1673.3,1611.7,117.5,77.2,0.825,0.782,0.875,0.729,5300.0,4744.4,3395.9,3045.1,0.659,0.627,0.696,0.821,0.782,0.82,0.905,0.0
vw1.0,1893.0,1673.3,1611.9,117.2,76.9,0.826,0.783,0.875,0.729,5294.5,4744.4,3390.5,3045.1,0.659,0.627,0.695,0.823,0.782,0.821,0.904,0.0
