n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,variant,image_id,dataset,n_vertex_merges,decode_s,proposal_s
2327,1957,1907,162,99,0.8239598400408407,0.7665030869083426,0.890728476821192,0.7468343672983768,6317,5436,3954,3428,0.698184773774045,0.6517450682852808,0.7517502917152858,0.8311990686845169,0.7750442319587839,0.8022717711400925,0.9269325825618738,base,L0_1,hcec,0,11.353515148162842,15.744641542434692
2320,1957,1912,152,96,0.8327650869416978,0.7758894536213469,0.8986387049300957,0.7545756363326805,6296,5436,3941,3428,0.6996878816664405,0.6541486932250697,0.7520420070011669,0.8417377812257564,0.7799469302835758,0.8084566596194503,0.9296979252526513,vw0.3,L0_1,hcec,0,10.674724578857422,15.744641542434692
2312,1957,1912,147,95,0.8358234440365406,0.7798311295204715,0.9004782928623988,0.7584619319635092,6277,5436,3929,3428,0.7021883920076119,0.6574191906337491,0.7535005834305718,0.8443670150987224,0.7823357568941429,0.8112006788290199,0.9299588213851413,vw0.6,L0_1,hcec,0,10.688076496124268,15.744641542434692
2298,1957,1909,137,95,0.8388146625556697,0.784775641025641,0.9008462104488595,0.761953639551792,6240,5436,3903,3428,0.7060428318101214,0.66307968229567,0.7549591598599766,0.8493044822256569,0.7843816726993441,0.8137254901960784,0.929953133573537,vw1.0,L0_1,hcec,0,10.505126953125,15.744641542434692
2320,1957,1909,152,94,0.8288441868394136,0.7722363405336722,0.8944076526857984,0.7536182530223055,6296,5436,3939,3428,0.6985204289398669,0.6532114749936532,0.7505834305717619,0.8383210260396424,0.7786351429349223,0.8061655405405406,0.9291340909573399,smooth1,L0_1,hcec,0,10.924501419067383,15.744641542434692
2301,1957,1908,142,95,0.8371137550286741,0.7827757323515288,0.8995584988962473,0.7593811436874947,6247,5436,3909,3428,0.7011039934578166,0.6579687899718598,0.750291715285881,0.8456454121306376,0.7828620438516533,0.8119148936170213,0.9304433675858245,smooth1_vw0.6,L0_1,hcec,0,10.775049209594727,15.744641542434692
2586,1957,1877,407,102,0.6982295922454538,0.6184191854689939,0.8016924208977189,0.6201873048907389,7047,5436,4422,3428,0.6563057324840764,0.5825418362731796,0.751458576429405,0.6797360248447205,0.694810937118065,0.7040510127531883,0.9038807327689521,dist0.2,L0_1,hcec,0,10.422817468643188,15.744641542434692
2570,1957,1879,406,97,0.7053815261044176,0.6260336469917308,0.8077630610743194,0.6226324237560192,7014,5436,4402,3428,0.6607918263090676,0.5876874148114494,0.7546674445740957,0.6845767298028604,0.6985206340875832,0.7095921450151057,0.9040900158089993,dist0.2_vw0.6,L0_1,hcec,0,10.376201391220093,15.744641542434692
2569,1957,1879,400,97,0.7069311701871336,0.6273699215965788,0.8096026490066225,0.6246188412774836,7015,5436,4405,3428,0.660538746329631,0.5872871736662884,0.7546674445740957,0.6872825666795516,0.6989923060063068,0.7098602191159804,0.9037859751551262,dist0.2_smooth1_vw0.6,L0_1,hcec,0,10.403916835784912,15.744641542434692
2271,1957,1893,149,99,0.8274496297571896,0.7777597928132082,0.8839220014716703,0.7527307129956137,6178,5436,3871,3428,0.703932045485683,0.6636528028933092,0.7494165694282381,0.8341767224601012,0.7806552638250789,0.8107066381156317,0.9276583237685356,seed0.4,L0_1,hcec,0,10.455840349197388,15.744641542434692
2195,1957,1862,128,120,0.8255304225846046,0.788609715242881,0.8660779985283297,0.7522983976884685,5970,5436,3741,3428,0.7088854791463244,0.6792301523656776,0.7412485414235706,0.8276269185360094,0.782133894097286,0.8131004366812227,0.9282259002682172,seed0.5,L0_1,hcec,0,10.27817416191101,15.744641542434692
2244,1957,1892,129,98,0.8387767478125271,0.7926969051907647,0.8905445180279618,0.7639730057103304,6107,5436,3826,3428,0.7060931899641577,0.6693674856246733,0.7470828471411902,0.8469347910972277,0.7880405518178966,0.819402338674751,0.930653371618493,seed0.4_smooth1_vw0.6,L0_1,hcec,0,10.478410243988037,15.744641542434692
2145,1957,1846,101,144,0.8340735476994138,0.8064239093095157,0.8636865342163356,0.7535923363491218,5822,5436,3643,3428,0.7042851081883751,0.6835026077408729,0.7263710618436406,0.831726907630522,0.7841452317719916,0.8182624113475178,0.9272388366929813,nucmerge,L0_1,hcec,0,11.432477712631226,15.744641542434692
2227,1957,1875,136,123,0.8291409173992514,0.7868825375846688,0.8761957321559971,0.7494784422809457,6053,5436,3791,3428,0.701205153068292,0.6676338696913743,0.7383313885647608,0.8289213749506124,0.7806469491785266,0.81203984408835,0.9267564373004581,nucmerge_a0.6,L0_1,hcec,0,11.68486213684082,15.744641542434692
2202,1957,1897,100,104,0.8601698625339288,0.820718462823726,0.9036055923473142,0.783703444658157,5985,5436,3750,3428,0.7113402061855669,0.6808,0.7447491248541424,0.8695652173913043,0.8002475943479339,0.8386383731211318,0.9308304145267701,nucmerge_b0.6,L0_1,hcec,0,11.6860191822052,15.744641542434692
2124,1957,1842,85,141,0.8420112530142002,0.8182607186252386,0.8671817512877116,0.7644698118255596,5761,5436,3600,3428,0.7083096186681844,0.6913888888888889,0.7260793465577596,0.8433105664925673,0.7899116361409311,0.8226887003126395,0.9301538894854343,nucmerge_smooth1_vw0.6,L0_1,hcec,0,11.614459037780762,15.744641542434692
2205,1957,1876,117,120,0.8418380743982494,0.8029721155451661,0.8846578366445916,0.7638111888111887,5989,5436,3746,3428,0.7056035684415948,0.6756540309663641,0.7383313885647608,0.844330304227578,0.7878557655387147,0.820647419072616,0.9300077107463894,nucmerge_a0.6_smooth1_vw0.6,L0_1,hcec,0,11.493111610412598,15.744641542434692
2142,1976,1945,91,42,0.9095064759163635,0.8800786369593709,0.9409703976177964,0.8383718966390812,6104,5709,3983,3729,0.7850103734439834,0.7599799146372082,0.8117457763475463,0.9174099768747935,0.8452637158964735,0.8950759318913943,0.9178282552097106,base,L12_1,hcec,0,8.88239073753357,15.31431794166565
2106,1976,1948,71,42,0.9212430821626224,0.8962889330682571,0.9476265545629707,0.8516063233044365,6036,5709,3942,3729,0.7892061008994916,0.7678843226788432,0.8117457763475463,0.9312851007598282,0.8581456044171637,0.9128397375820057,0.9245417715646591,vw0.3,L12_1,hcec,0,9.579091548919678,15.31431794166565
2092,1976,1949,66,39,0.9276377616403246,0.9054369579719813,0.9509546330355579,0.8568017057569296,5996,5709,3915,3729,0.793825222396651,0.7749680715197956,0.8136229552158756,0.9370468029004614,0.8618785017007172,0.9197734780556867,0.9248229680983164,vw0.6,L12_1,hcec,0,10.10605263710022,15.31431794166565
2092,1976,1945,66,44,0.9253501879057054,0.9029838306384398,0.9488526887370818,0.8535607675906184,5999,5709,3916,3729,0.795029431000654,0.776046986721144,0.8149637972646823,0.933201711089174,0.860560048897363,0.916156382477626,0.9239902955424104,vw1.0,L12_1,hcec,0,9.723044872283936,15.31431794166565
2135,1976,1946,89,46,0.9082910321489001,0.8784159711994763,0.9402697495183044,0.8387369132049982,6111,5709,3991,3729,0.7844559585492228,0.758707090954648,0.8120139447573076,0.915785997357992,0.8484079017384493,0.8988452655889145,0.9205718097018344,smooth1,L12_1,hcec,0,9.55551266670227,15.31431794166565
2098,1976,1948,64,41,0.9257522802830108,0.9016937894387247,0.9511297950604309,0.8553673278283817,6022,5709,3930,3729,0.7933150541846193,0.7730279898218829,0.8146956288549209,0.9331797235023042,0.8607345666000114,0.916274694261524,0.9246420555228005,smooth1_vw0.6,L12_1,hcec,0,9.189801692962646,15.31431794166565
2489,1976,1937,462,57,0.7484481688392303,0.6718205878256025,0.8448064459625153,0.6626861042183624,7179,5709,4689,3729,0.7217866476597767,0.6478993388782256,0.8146956288549209,0.7304147465437788,0.7352135755973054,0.7662183544303798,0.8825407944051414,dist0.2,L12_1,hcec,0,8.582112789154053,15.31431794166565
2485,1976,1938,461,58,0.7568743203355599,0.6799720865317516,0.8533893851812927,0.6655798789007917,7165,5709,4680,3729,0.7251754073017006,0.6514957264957265,0.8176454813622955,0.7402427025254181,0.7370453829885618,0.7681331747919143,0.8827572568406722,dist0.2_vw0.6,L12_1,hcec,0,8.698275804519653,15.31431794166565
2476,1976,1937,455,58,0.7583845615127229,0.682301876225147,0.8535645472061657,0.6702963366259626,7142,5709,4663,3729,0.728551000953289,0.6555865322753592,0.8197908286403862,0.7392868825646058,0.7392884283576253,0.7701789264413519,0.8832770816662667,dist0.2_smooth1_vw0.6,L12_1,hcec,0,8.994616031646729,15.31431794166565
2109,1976,1929,80,49,0.907679180887372,0.8848777241723507,0.931686810299527,0.8383692229125882,6011,5709,3923,3729,0.7895974908520649,0.7700739230180984,0.8101367658889783,0.916583912611718,0.8467908565773392,0.8947124304267161,0.9185827793121153,seed0.4,L12_1,hcec,0,9.175677061080933,15.31431794166565
2062,1976,1891,67,67,0.8924564129121354,0.8797005274800068,0.905587668593449,0.8300327191320819,5877,5709,3835,3729,0.7911158117398203,0.7801825293350717,0.8023598820058997,0.9027406417112299,0.8406094740171839,0.8807638565440149,0.9175736437795323,seed0.5,L12_1,hcec,0,8.690255165100098,15.31431794166565
2066,1976,1936,53,48,0.9276507991063757,0.9104402091415078,0.9455246102644946,0.8579764867416115,5929,5709,3868,3729,0.7982098196656575,0.7838676318510859,0.8130866183963529,0.9353562005277045,0.863485000694219,0.9192782526115859,0.9255930923970642,seed0.4_smooth1_vw0.6,L12_1,hcec,0,8.920518636703491,15.31431794166565
