wt_id,well_id,plate,well,condition,treatment,date,week,ter_ohm,grid_r,grid_c,file,source,cell_radius_px,n_raw_masks,n_cells,cell_density_per_kpx,cell_area_px,cell_area_cv,gap_area_frac,n_gaps,n_edges,edges_per_cell,edge_length_px,G_eff,permeability_index,gap_fraction,G_eff_len,permeability_index_len,in_plane_G,in_plane_G_len,tissue_frac
LORD-2_B1_2017-02-16,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-02-16,3,320.0,1,1,LORD-2_B1_2017-02-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.709922968110668,976,976.0,0.6761250277100421,633.4907873028615,0.3503201956339877,0.5716810238807963,21.0,1703.0,1.7448770491803278,16.794853332233632,1913.0,0.0030940323409462,0.1097752221641401,1905.3188398404943,0.0030816090487614,2.0644597142904786e-12,2.119929232158313e-12,0.4283189761192036
LORD-2_B1_2017-02-16,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-02-16,3,320.0,2,1,LORD-2_B1_2017-02-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.593339873985734,832,832.0,0.5763688760806917,613.6549691236936,0.3188085134193956,0.6463083751448452,17.0,1398.0,1.6802884615384617,16.491773461754278,1568.0,0.0030711319543401,0.1084183673469387,1581.2932761483878,0.003097168564772,2.990940828340172e-13,2.9926061628771095e-13,0.3536916248551548
LORD-2_B1_2017-03-09,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-03-09,6,920.0,1,1,LORD-2_B1_2017-03-09_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.575766059431594,1320,1320.0,0.9144313899357128,602.3206239064534,0.2752315221885659,0.4492191146942761,40.0,2765.0,2.0946969696969697,16.167471768807562,3165.0,0.0039808154952032,0.1263823064770932,3124.932664169665,0.0039304203383864,0.2604892243288197,0.2500570181698463,0.5507808853057239
LORD-2_B1_2017-03-09,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-03-09,6,920.0,2,1,LORD-2_B1_2017-03-09_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.727325035155395,1365,1365.0,0.9456051873198849,619.2421488444011,0.2843767939811801,0.4144414118456222,46.0,2981.0,2.183882783882784,16.306684711088145,3441.0,0.004070910104526,0.1336820691659401,3420.7570987712747,0.0040469615340067,2.424923983819376,2.249803144860532,0.5855585881543778
LORD-2_B1_2017-03-16,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-03-16,7,825.0,1,1,LORD-2_B1_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,14.036873567421145,1192,1192.0,0.8257592551540678,653.0430355328042,0.3038404652325364,0.4607436693948802,47.0,2476.0,2.077181208053691,16.872833875562446,2946.0,0.003784553812829,0.1595383570943652,2947.31761600316,0.003786246477007,1.1235891175277046,1.0613282828587092,0.5392563306051198
LORD-2_B1_2017-03-16,LORD-2_B1,LORD-2,B1,Aphidicolin,A,2017-03-16,7,825.0,2,1,LORD-2_B1_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.842779759955802,1345,1345.0,0.9317501662602528,635.6899262609091,0.2959784261798586,0.40769580551643,49.0,2943.0,2.18810408921933,16.474394899407955,3433.0,0.004015190820925,0.1427323041071948,3431.622299139738,0.0040135794804507,2.4227002662899344,2.202031439282744,0.59230419448357
LORD-2_C3_2017-02-23,LORD-2_C3,LORD-2,C3,Aphidicolin,A,2017-02-23,4,608.0,1,1,LORD-2_C3_2017-02-23_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,14.228319915327,1183,1183.0,0.8195244956772334,667.9630030344224,0.3179276915116212,0.4525879568071647,51.0,2440.0,2.062552831783601,17.10463607351487,2950.0,0.0037332309942911,0.1728813559322033,2910.786983052184,0.0036836068416642,1.0645717907056436,1.0011444824454718,0.5474120431928353
LORD-2_C3_2017-02-23,LORD-2_C3,LORD-2,C3,Aphidicolin,A,2017-02-23,4,608.0,2,1,LORD-2_C3_2017-02-23_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.552298857686369,993,993.0,0.6879017956107293,603.2896921670689,0.2976440769756581,0.5849959374848291,15.0,1754.0,1.7663645518630413,16.456847017610713,1904.0,0.0031782773327158,0.078781512605042,1888.7879670724567,0.0031528844443555,9.093836794704656e-13,9.19084253148128e-13,0.4150040625151708
LORD-2_C3_2017-03-16,LORD-2_C3,LORD-2,C3,Aphidicolin,A,2017-03-16,7,1065.0,1,1,LORD-2_C3_2017-03-16_Blue_r001_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,14.036873567421145,1514,1514.0,1.0488250942141433,650.0281004811216,0.2898804263811887,0.3182342162710472,73.0,3493.0,2.3071334214002643,16.737899863123207,4223.0,0.0042910450576445,0.1728628936774804,4169.146130699373,0.0042363234427505,8.234783530714843,7.942084067552749,0.6817657837289528
LORD-2_C3_2017-03-16,LORD-2_C3,LORD-2,C3,Aphidicolin,A,2017-03-16,7,1065.0,2,1,LORD-2_C3_2017-03-16_Blue_r002_c001.tif,cellpose:runs/cellpose_ft/cpsam_qbam/models/cpsam_qbam,13.546425705142862,1568,1568.0,1.0862336510751496,606.9994791867782,0.2881663393147687,0.3406567395222316,60.0,3587.0,2.287627551020408,16.141582428497234,4187.0,0.0043991481110039,0.1433006926200143,4170.93610507365,0.0043822702860647,3.7271703004659793,3.659311447088381,0.6593432604777684
