wt_id,well_id,condition,week,ter_ohm,file,n_hypotheses,ess,temperature,n_cells_map,n_cells_mean,n_cells_ci90_lo,n_cells_ci90_hi,cell_density_per_kpx_map,cell_density_per_kpx_mean,cell_density_per_kpx_ci90_lo,cell_density_per_kpx_ci90_hi,cell_area_cv_map,cell_area_cv_mean,cell_area_cv_ci90_lo,cell_area_cv_ci90_hi,permeability_index_map,permeability_index_mean,permeability_index_ci90_lo,permeability_index_ci90_hi,G_eff_map,G_eff_mean,G_eff_ci90_lo,G_eff_ci90_hi,in_plane_G_map,in_plane_G_mean,in_plane_G_ci90_lo,in_plane_G_ci90_hi,gap_fraction_map,gap_fraction_mean,gap_fraction_ci90_lo,gap_fraction_ci90_hi
LORD-2_C1_2017-03-09,LORD-2_C1,HPI4,6,100.0,LORD-2_C1_2017-03-09_Blue_r001_c001.tif,16,4.000000000000001,0.3560607287079358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORD-7_C3_2017-02-23,LORD-7_C3,HPI4,4,106.0,LORD-7_C3_2017-02-23_Blue_r001_c001.tif,18,4.000000000000001,2.0182009413681934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORD-2_C4_2017-03-16,LORD-2_C4,HPI4,7,110.0,LORD-2_C4_2017-03-16_Blue_r001_c001.tif,3,2.9999993331116106,6974.732398196914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORD-4_B1_2017-02-16,LORD-4_B1,HPI4,3,111.0,LORD-4_B1_2017-02-16_Blue_r001_c001.tif,30,4.0,0.22493716116711682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORD-7_B1_2017-02-16,LORD-7_B1,HPI4,3,114.0,LORD-7_B1_2017-02-16_Blue_r001_c001.tif,31,4.000000000000001,1.761242156310423,,,37.0,,,,0.141143798828125,,,,0.35244006737650035,,,,0.0008863492213626544,,,,20.0,,,,0.0,,,,0.0,
LORD-4_C3_2017-03-23,LORD-4_C3,HPI4,8,121.0,LORD-4_C3_2017-03-23_Blue_r001_c001.tif,25,4.000000000000001,2.054785660878295,,,21.0,,,,0.080108642578125,,,,0.5829815626110626,,,,0.00027752203842732094,,,,4.0,,,,0.0,,,,0.0,
LORD-4_C4_2017-02-16,LORD-4_C4,Control,3,132.0,LORD-4_C4_2017-02-16_Blue_r001_c001.tif,72,4.0,0.0015426673659739813,170,169.61393206663416,168.0,171.0,0.64849853515625,0.6470258028664938,0.640869140625,0.652313232421875,0.28284072146956873,0.2893007706968056,0.2803228220670228,0.31795506186291184,0.002894959600713212,0.002887220483351273,0.0028553574619435422,0.002925866642713709,281.0,280.22942773774525,277.0,284.0,0.4318331132387,0.43172784812648923,0.4298048245229592,0.43183311323871054,0.10676156583629894,0.10705907802500042,0.1056338028169014,0.10830324909747292
LORD-3_C3_2017-03-09,LORD-3_C3,Control,6,143.0,LORD-3_C3_2017-03-09_Blue_r001_c001.tif,72,4.000000000000002,0.004927894699173414,227,227.47491626681963,227.0,229.0,0.865936279296875,0.8677479410813127,0.865936279296875,0.873565673828125,0.27689138629228205,0.2752947993939425,0.26553609861970723,0.2812618880678114,0.0037949039387359137,0.0037972585710521712,0.0037724390108413025,0.0038296460072676755,437.0,437.8725608948605,436.0,442.0,0.5274916946521698,0.5274916946521457,0.5274916946521698,0.5274916946521941,0.09153318077803203,0.09135219735107272,0.09049773755656108,0.09174311926605505
LORD-6_B1_2017-02-16,LORD-6_B1,Control,3,242.0,LORD-6_B1_2017-02-16_Blue_r001_c001.tif,72,4.000000000000002,0.0012565591592445626,118,117.3660986561337,117.0,118.0,0.45013427734375,0.44771613562062723,0.446319580078125,0.45013427734375,0.30499464347875715,0.3164203852103458,0.30499464347875715,0.34056206543923584,0.0021644131799543526,0.00214451766965628,0.002114077989722856,0.0021644131799543526,129.0,127.7500133451529,126.0,129.0,1.1368683772161603e-13,1.1383250928497074e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
LORD-5_B2_2017-02-16,LORD-5_B2,Control,3,264.0,LORD-5_B2_2017-02-16_Blue_r001_c001.tif,72,4.000000000000001,0.0011057100458877333,234,233.5641501008113,232.0,235.0,0.89263916015625,0.890976524737592,0.885009765625,0.896453857421875,0.2772119769172702,0.2810375687425209,0.2772119769172702,0.29687186137867094,0.0038704511681195244,0.0038655429997778265,0.0038439374441389166,0.0038808983811017906,524.0,523.2048927514097,520.0,525.0,2.9151192213115555,2.9137415280783325,2.861860631009648,2.9320460000879893,0.15267175572519084,0.1529049581132414,0.1523809523809524,0.15384615384615385
