statistic,kind,n,n_wells,spearman,p_spearman,ci95_lo,ci95_hi,pearson_log_ter,p_pearson,partial_rho_condition,p_partial_condition,partial_rho_week,p_partial_week,partial_rho_condition_week,p_partial_condition_week,partial_rho_given_density_areacv,p_partial_given_density_areacv,rho_Control,p_Control,rho_Aphidicolin,p_Aphidicolin,rho_HPI4,p_HPI4,lowo_spearman_min,lowo_spearman_max,lowo_pred_r2,lowo_pred_spearman
n_cells,other,66,29,0.5243458204998406,6.217297919736009e-06,0.29351194259323343,0.6998509466226088,0.5380234562910519,3.1776014121251537e-06,0.3415952073490162,0.00573554550601646,0.44801909811648244,0.0002938457833511388,-0.013150738633846047,0.9212528497259358,-0.03321355335917346,0.7944446483121855,0.07908352050794516,0.6834320369138882,0.6309934403268539,0.00018514183797246284,0.14285714285714288,0.7599453002180928,0.47911443873622606,0.5906750678895848,0.16269531438587714,0.46579060008013945
cell_density_per_kpx,control,66,29,0.5243458204998406,6.217297919736009e-06,0.29351194259323343,0.6998509466226088,0.5380234562910517,3.177601412125187e-06,0.3415952073490162,0.00573554550601646,0.44801909811648244,0.0002938457833511388,-0.013150738633846047,0.9212528497259358,,,0.07908352050794516,0.6834320369138882,0.6309934403268539,0.00018514183797246284,0.14285714285714288,0.7599453002180928,0.47911443873622606,0.5906750678895848,0.16269531438587737,0.46579060008013945
cell_area_px,other,66,29,-0.21841827852097434,0.07809033407078989,-0.4663803053031866,0.06028281477485492,-0.5016010554828699,1.7832683543657373e-05,-0.24139259233130145,0.05465591715925058,-0.11622609925091731,0.3723909900573201,-0.0227720419322986,0.8640704322261147,0.06900965563365015,0.587926734028355,-0.0800689849379507,0.6796930287206365,-0.3150517318416167,0.08992761749773359,0.28571428571428575,0.5345092286010408,-0.2676027604494689,-0.14409835511090013,0.07878930036621368,-0.05529867340170705
cell_area_cv,control,66,29,-0.19349316865248117,0.11955060968313826,-0.42041069686622823,0.07851153254004566,-0.3268359671419027,0.0073955612714272576,-0.2240625369887232,0.0750961049509771,-0.07659944912630368,0.5573734938382895,-0.023748947240617036,0.8582979744645827,,,0.17294900746597353,0.3696237512953233,-0.4558905356945428,0.011344996270156877,-0.5357142857142858,0.21521745567801284,-0.2580947124090298,-0.11648751681033682,-0.00931989234525421,-0.0011898921796516806
gap_area_frac,control,66,29,-0.5316521759889298,4.359832219876451e-06,-0.6983553003536113,-0.31558542793703664,-0.546326336906158,2.0836073371345263e-06,-0.32342927238204494,0.009136283548142651,-0.45915120581676977,0.00019764550367041235,0.017830215168390787,0.8933735159897308,-0.07670895297725006,0.5468643935702432,-0.0672579473478786,0.7288497311013825,-0.5838246782149733,0.0007068008110699464,-0.3571428571428572,0.43161135203832796,-0.5887788782693939,-0.48694437795578877,0.17534311833629557,0.45954888496231755
n_gaps,other,66,29,0.47508940211525025,5.5595169056765696e-05,0.24037629447789893,0.6638413482061398,0.4045405490978491,0.0007545293723240665,0.2786513081886132,0.025771519173207594,0.40320330935776205,0.0012733094219929894,-0.03555039224195264,0.7892307677481601,-0.22439028165571243,0.07465976725668284,0.08577767083351348,0.6581817004661379,0.5317681127835105,0.002492286174965413,,,0.42506414489277317,0.5451642553825857,0.041270537843272836,0.3553467982031683
n_edges,other,66,29,0.5466672234662961,2.047319645560647e-06,0.32353851058902133,0.7158853676731903,0.5039353298802935,1.6060040836472576e-05,0.34053380582137177,0.005898119388946667,0.4766112564697253,0.00010317745329601619,-0.018485516876323677,0.889478804597083,0.1707619301767874,0.17730373162234248,0.06430947443161349,0.7403220609712517,0.619646238120694,0.0002606087875655065,0.39285714285714296,0.3833168704269725,0.5033655388470679,0.6065479335432623,0.13793751814310096,0.47992317912617793
edges_per_cell,control,66,29,0.5697704763405784,5.940763909769828e-07,0.3637734416616614,0.7279730482634329,0.6174478965224603,3.350528232267813e-08,0.35319508944027306,0.004199684812179936,0.5019480106967389,3.765709931714706e-05,-0.0035962358789069287,0.978434006393637,0.3089503708349057,0.012992109914946601,0.07661985943293129,0.6928114891018451,0.6203137206034093,0.0002555131735429894,0.3571428571428572,0.43161135203832796,0.5288414211481859,0.620990099412383,0.23786218957293637,0.4875426641362281
edge_length_px,control,66,29,-0.39266441928505463,0.001109737817614146,-0.600716045098264,-0.14496953724162737,-0.5294209614855838,4.86317024476235e-06,-0.36921016932750994,0.0026793050701135277,-0.25518225322067717,0.04716684544502317,-0.007957528726542668,0.9523021319901105,0.030985750794600028,0.8079599190969052,-0.14313870845830573,0.45884730243629923,-0.5662476395034708,0.0011070157053071834,-0.25,0.5887244480896834,-0.44440444073207613,-0.3345124033246523,0.10634276449077329,0.048159320323796974
G_eff,proxy,66,29,0.5307962886316365,4.5468567141452415e-06,0.3109425657508696,0.7011987205136385,0.4893447039292633,3.052015513438419e-05,0.33520867834410495,0.006776419333089422,0.4585769068987732,0.00020179814274499271,-0.014195192088924204,0.9150208441728899,0.047510407734336735,0.7092952410792539,0.07489529668042158,0.6994037342718428,0.6109689658453952,0.0003355285741684926,0.39285714285714296,0.3833168704269725,0.4859599119135631,0.5927872791120758,0.12251654244553611,0.4673353723835469
