source,statistic,n_wells,spearman_well,p_well,ci95_lo,ci95_hi,n_tiles,spearman_tile,p_tile_wellperm
curated,n_cells,10,-0.0303030303030303,0.9337729580941466,-0.8039215686274508,0.6981603773584903,1031,-0.11502090712063233,0.7306346826586707
curated,n_gaps,10,-0.13939393939393938,0.7009318849100583,-0.7359593236951728,0.544405879951,1031,-0.2438462341201144,0.26286856571714146
curated,n_edges,10,-0.10303030303030303,0.7769984634438898,-0.8039215686274508,0.658281585860998,1031,-0.11579400962027277,0.7276361819090454
curated,TJ_coverage,10,0.33333333333333326,0.3465935070873344,-0.43433115626511853,0.9008762906990532,1031,0.3048751809024286,0.20189905047476261
curated,TJ_continuity,10,0.28484848484848485,0.4250381548921453,-0.5471698113207548,0.9008762906990532,1031,0.21285671876968137,0.37381309345327335
curated,TJ_width_mean_px,10,0.13939393939393938,0.7009318849100583,-0.6178343949044587,0.7437106918238987,1031,-0.03691621511956604,0.9110444777611194
curated,TJ_intensity_rel,10,0.13939393939393938,0.7009318849100583,-0.6000641025641027,0.7987421383647799,1031,0.014439063688452013,0.967016491754123
curated,G_eff,10,-0.5151515151515151,0.12755286970323432,-0.9225930521091812,0.2208152958152956,1031,-0.39881071174649796,0.136431784107946
curated,permeability_index,10,-0.5151515151515151,0.12755286970323432,-0.9225930521091812,0.2208152958152956,1031,-0.3988605932752499,0.136431784107946
curated,gap_fraction,10,-0.12727272727272726,0.7260570147627894,-0.7160493827160493,0.5901253738210258,1031,-0.18109657734841092,0.35132433783108447
curated,mean_g_edge,10,-0.23636363636363633,0.5108853175152,-0.87458071278826,0.5385093167701861,1031,-0.17383911942911134,0.5217391304347826
curated,cell_area_px,10,0.10303030303030303,0.7769984634438898,-0.6582815858609984,0.8039215686274508,1031,0.11609344591837668,0.728135932033983
curated,cell_area_cv,10,0.309090909090909,0.3848412302612833,-0.4659209416455793,0.9150732246476918,1031,0.2569023422729334,0.44127936031984005
curated,edge_length_px,10,-0.10303030303030303,0.7769984634438898,-0.7987421383647799,0.7625551470588232,1031,0.007452885430377535,0.9785107446276862
curated,tissue_frac,10,-0.006060606060606061,0.9867429111949892,-0.6815286624203821,0.6962502985431095,1031,0.17867076498023168,0.4102948525737131
neural,n_cells,10,0.41818181818181815,0.22911284098281895,-0.3461538461538462,0.9245283018867925,1032,0.34311836446795546,0.19290354822588707
neural,n_gaps,10,,,,,1032,,0.0004997501249375312
neural,n_edges,10,0.41818181818181815,0.22911284098281895,-0.3461538461538462,0.9245283018867925,1032,0.3409869338533862,0.19440279860069964
neural,TJ_coverage,10,0.28484848484848485,0.4250381548921453,-0.46590140734334456,0.8624999999999999,1032,0.14437234839768634,0.6066966516741629
neural,TJ_continuity,10,0.22424242424242422,0.5334005612725946,-0.5803633822501747,0.8151234567901218,1032,0.13335674099817374,0.6251874062968515
neural,TJ_width_mean_px,10,0.13939393939393938,0.7009318849100583,-0.6329691107395908,0.7625551470588232,1032,-0.05571643026192539,0.8675662168915542
neural,TJ_intensity_rel,10,0.1515151515151515,0.6760651759978539,-0.5802469135802469,0.8101564365894435,1032,0.009930306934835357,0.9795102448775612
neural,G_eff,10,-0.09090909090909088,0.8027717312071619,-0.737989252127183,0.612584850993377,1032,0.04814778111525646,0.8435782108945528
neural,permeability_index,10,-0.09090909090909088,0.8027717312071619,-0.737989252127183,0.612584850993377,1032,0.04814778111525646,0.8435782108945528
neural,gap_fraction,10,,,,,1032,,0.0004997501249375312
neural,mean_g_edge,10,-0.4545454545454545,0.18690481034933198,-0.9245283018867925,0.3207547169811321,1032,-0.2320849669701986,0.431784107946027
neural,cell_area_px,10,-0.41818181818181815,0.22911284098281895,-0.9245283018867925,0.3461538461538462,1032,-0.34302680589860934,0.19290354822588707
neural,cell_area_cv,10,-0.24848484848484845,0.4887763045192432,-0.8701298701298701,0.4939814814814807,1032,-0.1345435429984532,0.6211894052973513
neural,edge_length_px,10,-0.3939393939393939,0.2599977668348876,-0.9014309764309765,0.4118209067066313,1032,-0.3154193509758482,0.2513743128435782
neural,tissue_frac,10,0.6484848484848483,0.0425401276844895,0.03076969918402146,0.9245400943396226,1032,0.052472994975530166,0.20239880059970014
