field_id,condition,treatment,compound,concentration_um,n_cells,n_gaps,G_eff,permeability_index,TJ_coverage,AJ_coverage,co_occupancy_AJ_TJ,gap_fraction,paper_resistance_change_ohm,paper_perm_376Da_1h,paper_perm_70kDa_1h,paper_significant_effect
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,Dabrafenib,10.0,14,0,846.488008718648,0.0463832274981042,0.4593410859070303,0.4621874825050542,0.334202223960849,0.0,-100.0,1.05,1.05,False
Figure_5A__Figure_5A_DMSO__Snap-184-Bild-Export-06,DMSO,DMSO,DMSO,0.0,18,0,1027.448139516358,0.0562989201345331,0.414595649660895,0.4101721792679465,0.2665642876396804,0.0,0.0,1.0,1.0,False
Figure_5A__Figure_5A_V10__Snap-190-Bild-Export-12,BRAFi,V10,Vemurafenib,10.0,22,0,1121.5163675273686,0.0614533794715093,0.4331734309925734,0.4427834585329963,0.3335208051773685,0.0,-500.0,1.15,1.05,True
Figure_5A__Figure_5A_V100__Snap-204-Bild-Export-26,BRAFi,V100,Vemurafenib,100.0,16,0,1075.6176395830491,0.0589383631709977,0.4179508932924343,0.3765888327735605,0.2525719874811407,0.0,-1700.0,2.2,1.7,True
Supplementary_Figures_S6-S7__S6_D1__Snap-206-Bild-Export-28,BRAFi,D1,Dabrafenib,1.0,18,0,1215.2778097172522,0.066591028509476,0.3153373970758227,0.3760039742991218,0.2041225875277811,0.0,-50.0,1.0,1.0,False
Supplementary_Figures_S6-S7__S6_D100__Snap-218-Bild-Export-40,BRAFi,D100,Dabrafenib,100.0,10,0,776.2555056844039,0.0425348443757847,0.3787604321882901,0.3455734709274,0.2306324051295939,0.0,-600.0,1.3,1.1,True
Supplementary_Figures_S6-S7__S6_DMSO__Snap-180-Bild-Export-02,DMSO,DMSO,DMSO,0.0,13,0,934.638024369784,0.0513018422555675,0.3709557151647709,0.4226869210884449,0.2500500892697698,0.0,0.0,1.0,1.0,False
Supplementary_Figures_S6-S7__S6_V1__Snap-186-Bild-Export-08,BRAFi,V1,Vemurafenib,1.0,18,0,1118.946815491633,0.0613125811194781,0.3481780744583742,0.3874996759955608,0.2216995771589779,0.0,-50.0,1.0,1.0,False
Supplementary_Figures_S6-S7__S6_V10__Snap-191-Bild-Export-13,BRAFi,V10,Vemurafenib,10.0,15,0,868.2056627843402,0.0475732442247191,0.4556594880099837,0.4339448397820605,0.2684036522363063,0.0,-500.0,1.15,1.05,True
Supplementary_Figures_S6-S7__S6_V100__Snap-195-Bild-Export-17,BRAFi,V100,Vemurafenib,100.0,13,0,1187.882967941095,0.065089930838522,0.2002448196144111,0.2550440478653735,0.1087565598730075,0.0,-1700.0,2.2,1.7,True
Supplementary_Figures_S6-S7__S7_DMSO__Snap-231-Bild-Export-43,DMSO,DMSO,DMSO,0.0,14,0,979.4705401664974,0.0536699922790445,0.3424488055522444,0.4096468940740648,0.2285509398405976,0.0,0.0,1.0,1.0,False
Supplementary_Figures_S6-S7__S7_E1__Snap-239-Bild-Export-51,BRAFi,E1,Encorafenib,1.0,20,0,1147.475617325125,0.0628758140206674,0.3805474699708706,0.4398943045381377,0.2618045201808099,0.0,-50.0,1.15,1.0,False
Supplementary_Figures_S6-S7__S7_E10__Snap-245-Bild-Export-57,BRAFi,E10,Encorafenib,10.0,13,16,1005.8830247838456,0.0563025872293412,0.3017612158099099,0.4148238434733129,0.2033248361925427,0.1590642212441972,-50.0,1.1,1.0,False
Supplementary_Figures_S6-S7__S7_E100__Snap-248-Bild-Export-60,BRAFi,E100,Encorafenib,100.0,20,0,1225.1300269711555,0.0671308797885748,0.3862020150675092,0.3563747189410581,0.2153909529357036,0.0,-100.0,1.4,1.2,False
Supplementary_Figures_S6-S7__S7_P1__Snap-252-Bild-Export-64,BRAFi,P1,PLX8394,1.0,12,0,879.7305873341936,0.0482047513362061,0.2897281427524786,0.3875021971860455,0.2057165926726154,0.0,-100.0,1.1,1.05,False
Supplementary_Figures_S6-S7__S7_P10__Snap-257-Bild-Export-69,BRAFi,P10,PLX8394,10.0,18,0,993.3283527163176,0.0544293297599114,0.4111889083548291,0.4803155348202515,0.2975547231585336,0.0,-250.0,1.2,1.15,False
Supplementary_Figures_S6-S7__S7_P100__Snap-268-Bild-Export-80,BRAFi,P100,PLX8394,100.0,13,0,1092.7856346045005,0.059879081776063,0.2289872713381509,0.364234998051305,0.1473966016256193,0.0,-1500.0,2.1,1.85,True
