edge_id,face_left,face_right,kind_left,kind_right,label_left,label_right,arclength,tension,relative_tension,identifiable
0,0,544,cell,outer,598,-1,99.12448474893256,,,False
1,544,1,outer,cell,-1,385,32.0,,,False
2,544,2,outer,cell,-1,509,50.0,,,False
3,544,3,outer,cell,-1,460,1.0,,,False
4,544,4,outer,cell,-1,327,41.0,,,False
5,544,5,outer,cell,-1,39,30.0,,,False
6,544,6,outer,cell,-1,129,41.0,,,False
7,544,7,outer,cell,-1,180,12.0,,,False
8,544,8,outer,cell,-1,386,52.997831547342656,,,False
9,544,9,outer,cell,-1,591,36.0,,,False
10,544,10,outer,cell,-1,215,34.0,,,False
11,544,11,outer,cell,-1,405,35.0,,,False
12,544,12,outer,cell,-1,350,58.0,,,False
13,544,13,outer,cell,-1,585,41.0,,,False
14,544,14,outer,cell,-1,338,41.0,,,False
15,544,15,outer,cell,-1,426,17.0,,,False
16,544,16,outer,cell,-1,5,30.0,,,False
17,544,17,outer,cell,-1,438,24.0,,,False
18,544,18,outer,cell,-1,479,61.99768586712696,,,False
19,544,19,outer,cell,-1,267,7.0,,,False
20,544,20,outer,cell,-1,197,45.0,,,False
21,544,21,outer,cell,-1,524,38.0,,,False
22,544,22,outer,cell,-1,424,26.0,,,False
23,544,23,outer,cell,-1,466,46.0,,,False
24,544,24,outer,cell,-1,293,28.0,,,False
25,544,25,outer,cell,-1,8,89.0,,,False
26,544,26,outer,cell,-1,549,96.12448474893256,,,False
27,1,0,cell,cell,385,598,34.17441313766168,0.7197161084285416,0.7548124470746446,True
28,2,1,cell,cell,509,385,51.27841760621476,1.4037587166958616,1.472211806353877,True
29,3,2,cell,cell,460,509,43.49279502004336,0.35275832007239016,0.3699602769502529,True
30,4,3,cell,cell,327,460,32.36300840897465,0.6551217856587846,0.6870682375648326,True
31,5,4,cell,cell,39,327,29.755139833192732,0.4558444419858336,0.47807330517025004,True
32,6,5,cell,cell,129,39,23.000983788563364,1.074773526909627,1.1271839359952975,True
33,7,6,cell,cell,180,129,18.13066969862849,0.6770303459341541,0.7100451499885954,True
34,8,7,cell,cell,386,180,74.23239480209669,1.1560459916504362,1.212419582762663,True
35,9,8,cell,cell,591,386,42.958418363810495,1.7674321534502777,1.853619466288032,True
36,10,9,cell,cell,215,591,34.95724143458461,1.506012664231121,1.5794520799259872,True
37,11,10,cell,cell,405,215,36.897918598660866,1.0665328588053933,1.1185414187799083,True
38,12,11,cell,cell,350,405,19.89689020231363,1.1050417191728015,1.1589281306897545,True
39,13,12,cell,cell,585,350,30.511388586746186,1.42069098621762,1.4899697634741529,True
40,14,13,cell,cell,338,585,56.7533959429935,0.7508066884359714,0.7874191325462511,True
41,15,14,cell,cell,426,338,22.210836730669424,0.8339580880630635,0.8746253388478552,True
42,16,15,cell,cell,5,426,37.23184130333449,1.277649060719415,1.339952521182168,True
43,17,16,cell,cell,438,5,17.222680583351753,1.2749506954016931,1.3371225723944185,True
44,18,17,cell,cell,479,438,22.70552362274709,2.05036953032184,2.150354041635541,True
45,19,18,cell,cell,267,479,44.028579543077356,0.5836533544510705,0.612114709615782,True
46,20,19,cell,cell,197,267,59.45272433029396,0.7662655652519117,0.8036318482293042,True
47,21,20,cell,cell,524,197,15.378891081541841,0.508252157615506,0.5330366380966142,True
48,22,21,cell,cell,424,524,47.8902862788665,1.5970031058233558,1.6748795923497368,True
49,23,22,cell,cell,466,424,43.55872476221887,0.3475007101615425,0.36444628420214586,True
50,24,23,cell,cell,293,466,30.516884732031116,0.5808548651114706,0.6091797543441153,True
51,25,24,cell,cell,8,293,25.740600062723445,0.6433840982918597,0.6747581719421936,True
52,26,25,cell,cell,549,8,3.1836008691813857,0.8424548152115445,0.8835364016071339,True
53,27,25,cell,cell,184,8,29.054967870154655,0.4039411574681664,0.4236390015063607,True
54,26,27,cell,cell,549,184,76.31099236716037,0.7925617263764586,0.8312103190939161,True
55,25,28,cell,cell,8,221,73.81303804594162,0.8748359997242985,0.91749662680567,True
56,28,24,cell,cell,221,293,55.021339065342154,0.16277671855553388,0.17071438560400404,True
57,21,19,cell,cell,524,267,20.108618179637098,0.875077162907953,0.9177495501051027,True
58,17,15,cell,cell,438,426,34.44147408368751,2.02430929801681,2.123023004456947,True
59,29,6,cell,cell,109,129,29.66100293473767,0.5842093751520057,0.6126978441892368,True
60,30,17,cell,cell,226,438,33.73443100532804,1.5152846983372297,1.5891762568216143,True
61,18,30,cell,cell,479,226,37.44685877063785,1.1936878245483755,1.2518969873522385,True
62,7,29,cell,cell,180,109,26.00662533547556,0.5198796706434459,0.5452311568231364,True
63,12,31,cell,cell,350,25,53.89228427672026,0.9019443286050197,0.9459268700903986,True
64,31,11,cell,cell,25,405,5.246405675175395,0.7640437264729796,0.8013016633882384,True
65,32,14,cell,cell,211,338,42.683095302684194,0.9812950804309237,1.0291470932610325,True
66,15,32,cell,cell,426,211,36.96704931954413,0.7671115222009002,0.8045190575432377,True
67,33,25,cell,cell,567,8,72.25973333759444,-0.05179739382678861,-0.054323249304304336,True
68,27,33,cell,cell,184,567,48.25483602265858,0.5957298060375281,0.624780059004523,True
69,29,5,cell,cell,109,39,10.650293061435844,0.8673564758888891,0.9096523704064553,True
70,34,11,cell,cell,99,405,38.62413162470658,0.7241842624757036,0.7594984868210783,True
71,31,34,cell,cell,25,99,53.03514955687732,1.053276174560793,1.1046382836998685,True
72,4,35,cell,cell,327,334,20.70706722655131,0.4968246127611924,0.5210518388201698,True
73,36,23,cell,cell,164,466,6.598582005987182,0.6740149265117832,0.7068826862247567,True
