edge_id,face_left,face_right,kind_left,kind_right,label_left,label_right,arclength,tension,relative_tension,identifiable,setting,ablation_id,is_cut_edge,on_cable
0,0,39,cell,outer,33,-1,113.12448474893256,,,False,tension_only_r0.1,190216E4PSB1,False,False
1,39,1,outer,cell,-1,42,63.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
2,39,2,outer,cell,-1,35,51.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
3,39,3,outer,cell,-1,22,19.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
4,39,4,outer,cell,-1,5,26.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
5,39,5,outer,cell,-1,8,22.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
6,39,6,outer,cell,-1,12,15.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
7,39,7,outer,cell,-1,1,21.124484748932566,,,False,tension_only_r0.1,190216E4PSB1,False,False
8,1,0,cell,cell,42,33,8.650421786976802,1.0346464201695988,1.0083341677343625,True,tension_only_r0.1,190216E4PSB1,False,False
9,2,1,cell,cell,35,42,14.510813932991663,0.5666353946638019,0.5522252026866337,True,tension_only_r0.1,190216E4PSB1,False,False
10,3,2,cell,cell,22,35,43.04788157102255,0.8900477010811063,0.8674127609375846,True,tension_only_r0.1,190216E4PSB1,False,False
11,4,3,cell,cell,5,22,2.295888206165974,1.6701041382014008,1.6276314626855612,True,tension_only_r0.1,190216E4PSB1,False,False
12,5,4,cell,cell,8,5,41.173708028653394,1.2434964129074901,1.211872864146388,True,tension_only_r0.1,190216E4PSB1,False,False
13,6,5,cell,cell,12,8,34.16299571768979,0.987215301218226,0.9621092768729004,True,tension_only_r0.1,190216E4PSB1,False,False
14,7,6,cell,cell,1,12,18.622346241908524,,,False,tension_only_r0.1,190216E4PSB1,False,False
15,4,8,cell,cell,5,26,55.49209093782838,1.5928009060344563,1.552294140919682,True,tension_only_r0.1,190216E4PSB1,False,False
16,8,3,cell,cell,26,22,46.36839500383299,0.36382667685181935,0.3545741446075875,True,tension_only_r0.1,190216E4PSB1,False,False
17,9,1,cell,cell,6,42,47.248498537518124,0.6231107848556815,0.6072643585339691,True,tension_only_r0.1,190216E4PSB1,False,False
18,2,9,cell,cell,35,6,25.152899684594587,0.44450531056978665,0.43320102756787165,True,tension_only_r0.1,190216E4PSB1,False,False
19,39,6,outer,cell,-1,12,42.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
20,9,0,cell,cell,6,33,51.756760762860736,0.8724166135304409,0.8502300522894091,True,tension_only_r0.1,190216E4PSB1,False,False
21,10,9,cell,cell,14,6,47.11177206276417,0.7112443064861764,0.6931565430043086,True,tension_only_r0.1,190216E4PSB1,False,False
22,2,10,cell,cell,35,14,16.0,0.7653012208050126,0.745838727610946,True,tension_only_r0.1,190216E4PSB1,False,False
23,3,10,cell,cell,22,14,38.59236584068177,0.26250884103941763,0.2558329382795373,True,tension_only_r0.1,190216E4PSB1,False,False
24,11,5,cell,cell,18,8,13.805927503500357,0.6874632758450524,0.66998029141543,True,tension_only_r0.1,190216E4PSB1,False,False
25,6,11,cell,cell,12,18,28.977088848283593,1.1863396254196994,1.1561696397227013,True,tension_only_r0.1,190216E4PSB1,False,False
26,12,3,cell,cell,41,22,40.868949583795924,0.18719149780831057,0.18243100200216367,True,tension_only_r0.1,190216E4PSB1,False,False
27,8,12,cell,cell,26,41,65.61279496613798,0.3465042018841168,0.33769220016825474,True,tension_only_r0.1,190216E4PSB1,False,False
28,11,4,cell,cell,18,5,4.0,1.2514302904448402,1.219604974022358,True,tension_only_r0.1,190216E4PSB1,False,False
29,13,4,cell,cell,32,5,15.8118321563196,0.7136177269107484,0.6954696046085832,True,tension_only_r0.1,190216E4PSB1,False,False
30,11,13,cell,cell,18,32,55.56682312902478,0.9209429677157969,0.8975223252889649,True,tension_only_r0.1,190216E4PSB1,False,False
31,13,8,cell,cell,32,26,17.280688142571567,1.7681607995994388,1.7231944300279636,True,tension_only_r0.1,190216E4PSB1,False,False
32,39,11,outer,cell,-1,18,44.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
33,14,9,cell,cell,4,6,22.543152029485558,1.2217856136625027,1.1907141955802187,True,tension_only_r0.1,190216E4PSB1,False,False
34,10,14,cell,cell,14,4,38.69379514023123,0.6001399873567725,0.5848777349234991,True,tension_only_r0.1,190216E4PSB1,False,False
35,15,0,cell,cell,30,33,49.29420317481863,1.199415571672659,1.1689130495729536,True,tension_only_r0.1,190216E4PSB1,False,False
36,9,15,cell,cell,6,30,8.584383574728834,1.1366412071176395,1.1077351095494783,True,tension_only_r0.1,190216E4PSB1,False,False
37,10,12,cell,cell,14,41,1.0,0.4588043481974234,0.4471364241677091,True,tension_only_r0.1,190216E4PSB1,False,False
38,12,14,cell,cell,41,4,34.8730062683956,0.32075481045997795,0.31259764548253965,True,tension_only_r0.1,190216E4PSB1,False,False
39,14,15,cell,cell,4,30,59.53698612407007,0.676191156125382,0.6589948347081301,True,tension_only_r0.1,190216E4PSB1,False,False
40,13,16,cell,cell,32,39,40.80111045946502,0.6959380125056038,0.6782395057429529,True,tension_only_r0.1,190216E4PSB1,False,False
41,16,8,cell,cell,39,26,15.391155899266263,1.4109775051812843,1.3750947189723643,True,tension_only_r0.1,190216E4PSB1,False,False
42,15,39,cell,outer,30,-1,52.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
43,17,8,cell,cell,31,26,72.27347849337315,0.8041883292435092,0.7837368920065663,True,tension_only_r0.1,190216E4PSB1,False,False
44,16,17,cell,cell,39,31,18.827074543136277,1.3809496192953814,1.3458304768763822,True,tension_only_r0.1,190216E4PSB1,False,False
45,17,12,cell,cell,31,41,12.31905339962282,1.1357425207431504,1.1068592778065662,True,tension_only_r0.1,190216E4PSB1,False,False
46,18,13,cell,cell,19,32,8.309910909188645,1.217344784600862,1.1863863019262824,True,tension_only_r0.1,190216E4PSB1,False,False
47,11,18,cell,cell,18,19,14.622073728306502,1.612413684165836,1.5714081434702556,True,tension_only_r0.1,190216E4PSB1,False,False
48,19,12,cell,cell,16,41,13.124249268759064,0.9774859127642751,0.9526273179949382,True,tension_only_r0.1,190216E4PSB1,False,False
49,17,19,cell,cell,31,16,44.87785301233781,0.5795461902658462,0.5648076618576051,True,tension_only_r0.1,190216E4PSB1,False,False
50,19,14,cell,cell,16,4,63.49728347676397,1.1647219076722934,1.1351016854842149,True,tension_only_r0.1,190216E4PSB1,False,False
51,18,16,cell,cell,19,39,22.377033859184017,0.9809194246622597,0.955973511723123,True,tension_only_r0.1,190216E4PSB1,False,False
52,39,18,outer,cell,-1,19,29.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
53,20,17,cell,cell,27,31,102.2306703380237,0.3201294761715977,0.31198821416674166,True,tension_only_r0.1,190216E4PSB1,False,False
54,16,20,cell,cell,39,27,9.200319839519462,1.3749666150521924,1.339999627335417,True,tension_only_r0.1,190216E4PSB1,False,False
55,21,20,cell,cell,11,27,52.653536530821086,0.9340519728430131,0.9102979532881517,True,tension_only_r0.1,190216E4PSB1,False,False
56,16,21,cell,cell,39,11,11.232810638105507,1.5915031627508558,1.5510294007453647,True,tension_only_r0.1,190216E4PSB1,False,False
57,18,21,cell,cell,19,11,16.68516571373767,1.702000977979783,1.658717129019785,True,tension_only_r0.1,190216E4PSB1,False,False
58,22,15,cell,cell,36,30,38.4990867075001,1.320406757793711,1.28682729020848,True,tension_only_r0.1,190216E4PSB1,False,False
59,14,22,cell,cell,4,36,17.00375199693487,1.1389880055596082,1.1100222261988886,True,tension_only_r0.1,190216E4PSB1,False,False
60,23,18,cell,cell,20,19,20.21222165623158,1.1211487679951022,1.0926366610319274,True,tension_only_r0.1,190216E4PSB1,False,False
61,22,39,cell,outer,36,-1,103.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
62,19,22,cell,cell,16,36,20.124249268759062,0.7699247200180891,0.750344645903568,True,tension_only_r0.1,190216E4PSB1,False,False
63,39,23,outer,cell,-1,20,45.0,,,False,tension_only_r0.1,190216E4PSB1,False,False
64,24,21,cell,cell,23,11,58.01350947200682,0.5791813775603736,0.5644521267602225,True,tension_only_r0.1,190216E4PSB1,False,False
65,18,24,cell,cell,19,23,8.558260258215824,1.8673548067544887,1.8198658191122927,True,tension_only_r0.1,190216E4PSB1,False,False
66,23,24,cell,cell,20,23,21.563893233592893,1.8483350175908075,1.8013297251356666,True,tension_only_r0.1,190216E4PSB1,False,False
67,20,19,cell,cell,27,16,16.907452250677427,0.8585519595431623,0.8367179924526816,True,tension_only_r0.1,190216E4PSB1,False,False
68,25,20,cell,cell,7,27,61.95186543855177,1.0175431282503618,0.9916658322656379,True,tension_only_r0.1,190216E4PSB1,False,False
69,21,25,cell,cell,11,7,16.48500289034194,0.4564675655510222,0.44485906860062674,True,tension_only_r0.1,190216E4PSB1,False,False
70,26,22,cell,cell,28,36,26.063970376199027,0.5064545900602989,0.4935748653921689,True,tension_only_r0.1,190216E4PSB1,False,False
71,19,26,cell,cell,16,28,19.97368066842926,0.5151141727136527,0.502014224865587,True,tension_only_r0.1,190216E4PSB1,False,True
