series,frame,dlite_index,label,radius,pimorph_edge,dlite_DLITE,pimorph_tension_only_r0.1,pimorph_pressure_curvature_r0.1
3,0,0,0,407.89880033617186,,0.15517218406121214,,
3,0,1,1,131432.40322244944,,0.14434502546692643,,
3,0,2,2,8490.873473455073,,0.0,,
3,0,3,3,702992.8157542421,0.0,0.20325554012407362,,
3,0,4,4,746.0354967278547,0.0,0.1555625054162362,,
3,0,5,5,41.367024815078615,,0.20209124708437876,,
3,0,6,6,4276.391396937064,0.0,0.16174091521089498,,
3,0,7,7,1205.4933748952724,0.0,0.17480135218112547,,
3,0,8,8,663.8674687408902,0.0,0.09472406607052844,,
3,0,9,9,407.9234320581868,,0.17051887694734832,,
3,0,10,10,5367.684544495541,1.0,0.22166664193465768,,
3,0,11,11,1446.2755222623691,,0.1445293341485361,,
3,0,12,12,603.9230802309856,1.0,0.17904411681764124,,
3,0,13,13,91.47324492581545,,0.26974782408181747,,
3,0,14,14,5595.85725363596,1.0,0.27610807719194425,,
3,0,15,15,12632.324617554397,,0.2743570889217034,,
3,0,16,16,173.10544449034558,2.0,0.30931540827103526,,
3,0,17,17,551.3523817565216,3.0,0.2651393059578787,,
3,0,18,18,641.218332182927,1.0,0.2485752472527217,,
3,0,19,19,1260662.0319969854,,0.15556317519817905,,
3,0,20,20,852.4605014695197,,0.2144628475133899,,
3,0,21,21,1642021.1867286016,1.0,0.21048511178968216,,
3,0,22,22,563.3417051134464,4.0,0.17541483682227046,,
3,0,23,23,80.80814471574746,,0.4196669019370342,,
3,0,24,24,1069.5948929634696,2.0,0.21135331423857906,,
3,0,25,25,1125667.9416213082,5.0,0.14389182368301107,,
3,0,26,26,1521.9803471983296,6.0,0.10960519675226531,,
3,0,27,27,1681059.7455383218,6.0,0.1385828848027516,,
3,0,28,28,877.7836825823451,6.0,0.13546503366637763,,
3,0,29,29,3429.2428442384644,,0.08370817540149568,,
3,0,30,30,1521.453625656174,6.0,0.07952648903885785,,
3,0,31,31,530.5931802263414,,0.15955171813682748,,
3,0,32,32,1128.3295764331722,,0.18852443757597886,,
3,0,33,33,74.3700879239217,,0.18207501583880764,,
3,0,34,34,65.96236807375696,,0.2253496094477344,,
3,0,35,35,319.6736175643566,,0.31527211825096807,,
3,0,36,36,273.25520320877945,,0.15665574343801386,,
3,0,37,37,78.14924105865035,,0.03424267977030205,,
3,0,38,38,607438.8010155143,,0.002117532939550499,,
3,0,39,39,460.04569687642766,,0.0329825581770745,,
3,0,40,40,105164.24388557719,0.0,0.15930176649560196,,
3,0,41,41,234.95592600558948,,0.3114279210687888,,
3,0,42,42,243.94019156302824,,0.23362252351288787,,
3,0,43,43,306145.00468685443,,0.35220016649148517,,
3,0,44,44,113.08949811428388,,0.2669196244697857,,
3,0,45,45,207583.89096891353,,0.3263205920486084,,
3,0,46,46,145.21752160158718,,0.11264910636439439,,
3,0,47,47,699.0502185151121,,0.37426638108079674,,
3,0,48,48,261.1952064798113,,0.2534309342444362,,
3,0,49,49,6564.620188324339,,0.12190237472198184,,
3,0,50,50,135.2825833840362,,0.2737822870814296,,
3,0,51,51,433.90896549579554,,0.24846888245211263,,
3,0,52,52,349.7049964062293,,0.28039120205788937,,
3,1,0,0,250.45457193270198,,0.1649444862125578,,
3,1,1,1,207.36517533801134,,0.05373315626445717,,
3,1,2,40,98.62030736927254,0.0,0.15399831070011125,,
3,1,3,2,632.3439239341619,,0.0,,
3,1,4,4,1722.960876415626,0.0,0.16637020856825507,,
3,1,5,7,1095.6902604917984,0.0,0.15598579815259386,,
3,1,6,3,5611.570030166331,0.0,0.1834047953559678,,
3,1,7,8,732.443292562923,5.0,0.10015942619564226,,
3,1,8,19,71723.22408235476,8.0,0.13658800509226948,,
3,1,9,6,2076.7954913417534,0.0,0.1334048784103154,,
3,1,10,5,136774.70856081083,,0.1993637174377947,,
3,1,11,9,386.6781748037971,4.0,0.1533082897014845,,
