series,frame,dlite_index,label,radius,pimorph_edge,dlite_CellFIT,dlite_DLITE,pimorph_tension_only_r0.1,pimorph_pressure_curvature_r0.1
4,0,0,0,8321.033400288563,,4.8335257625693106e-12,0.35174235893031924,,
4,0,1,1,1499.7077454572654,,6.316872189468215e-12,0.1512709165353278,,
4,0,2,2,1548205.5421075046,3.0,3.9236448300935205e-12,0.09611230386068105,,
4,0,3,3,423.8827602046381,3.0,5.586122904940466e-12,0.13246403908357596,,
4,0,4,4,55.64865448420445,0.0,8.628611547034979e-12,0.3553434291084599,,
4,0,5,5,372.35877677959434,,6.95606289208075e-12,0.2563422740255773,,
4,0,6,6,257.262789828243,0.0,3.086618608159334e-12,0.18881715081224068,,
4,0,7,7,36.351487719912335,,2.268837544457702e-12,0.13791131872986112,,
4,0,8,8,601.650961157907,0.0,2.4055301415141934e-12,0.14561238017565578,,
4,0,9,9,1674.446884988582,4.0,2.696145434819343e-12,0.24847286605767402,1.9649361237405394,1.44018667399459
4,0,10,10,1117.008991085844,,1.0619534556011405e-11,0.266316946390007,,
4,0,11,11,1913.6606914174604,3.0,1.0385493145879778e-11,0.26132790338457407,,
4,0,12,12,515.3990090972196,,6.261994874261935e-12,0.3553458928373966,,
4,0,13,13,425.82467863278856,,4.342793371745655e-12,0.24590983347518536,,
4,0,14,14,485.7589600365667,,8.135529942205342e-12,0.46186556524024663,,
4,0,15,15,787.2072466315811,20.0,5.48671525034898e-12,0.30891854208918146,,
4,0,16,16,2769608.0185869304,20.0,4.1213008180888025e-12,0.23812679255795735,,
4,0,17,17,491.7818859205138,21.0,1.5098170123930126e-12,0.05022814357938381,,
4,0,18,18,522.4765653214747,21.0,5.111555302157313e-12,0.25732279794844987,,
4,0,19,19,90.73195602146589,,7.111533305304725e-12,0.3705259063154314,,
4,0,20,20,566.241197768509,14.0,2.3691844172238357e-12,0.14726480561050018,,
4,0,21,21,1277.2625708909436,,4.1058384218168984e-12,0.2434411592704379,,
4,0,22,22,139.9164827060375,19.0,4.907691139630288e-12,0.2677463838970657,,
4,0,23,23,150.60600222518173,,2.7786464589274898e-12,0.14526335462671713,,
4,0,24,24,57.45881220768432,19.0,4.179173364300949e-12,0.22710086354084338,,
4,0,25,25,1008.6133525151033,9.0,9.122319303787493e-13,0.11267910959387711,1.0936379994428493,0.9920194520707728
4,0,26,26,442.44880418564816,7.0,2.3177732148921708e-12,0.20044620642820024,1.6179265806881555,1.406801927867967
4,0,27,27,161.66130321536303,,3.1060996597401245e-12,0.18558133370820615,,
4,0,28,28,326870.34188142756,,2.706338064925549e-12,0.17176175285623102,,
4,0,29,29,116.38375438079751,14.0,2.5708498178396855e-12,0.16092788841078826,,
4,0,30,30,707.6904111156167,14.0,1.1849903400906846e-12,0.08258595560025987,,
4,0,31,31,627341.259003697,,8.604944896846276e-13,0.05110755706133102,,
4,0,32,32,239.844899206435,,1.061558759993469e-12,0.0604362369018801,,
4,0,33,33,339.10291402929545,,9.030568297094416e-13,0.051457200592669707,,
4,0,34,34,64.6300234179381,7.0,2.349218285359808e-12,0.19716841430042586,1.6179265806881555,1.406801927867967
4,0,35,35,321.0904079324505,13.0,1.420698144846869e-12,0.11005826926928491,1.667209227945426,1.8004895769030727
4,0,36,36,981.7181102023779,2.0,2.6717772409731817e-12,0.21538944160249301,1.1434111410601588,1.7377136587052597
4,0,37,37,1275.932457018556,1.0,2.518790656793507e-12,0.1841669892177909,,
4,0,38,38,459.98614289995294,1.0,2.1238199364718792e-12,0.1560917332148114,,
4,0,39,39,219.68835204267478,,1.9897048594421583e-12,0.14356925292526254,,
4,0,40,40,2203922.900350685,1.0,1.918764021492991e-12,0.13802478904337948,,
4,0,41,41,899.7023543456016,,37.753764466125226,0.1491016688688383,,
4,0,42,42,272535.5320479161,,-26.136412159010057,0.11665716726091449,,
4,0,43,43,961.5401601634628,,38.382647692709085,0.19286892302010042,,
4,0,44,44,96.1732569232629,,1.998116283495312e-12,0.14328205079421266,,
4,0,45,45,138.04832112213722,,9.303162508221292e-13,0.06618758033152464,,
4,0,46,46,163.4026981754898,,1.3100940892235177e-13,0.006658673686533967,,
4,0,47,47,146.0059701700576,,1.0985702460786636e-12,0.06174987849048414,,
4,0,48,48,780.2160860800917,,1.2478074801579587e-11,0.3742954719024171,,
4,0,49,49,2957.3579846409125,,3.6590291237178135e-13,0.03116451109070119,,
4,1,0,5,449.61465627854665,,1.276578394104654,0.23509468680588486,,
4,1,1,0,1157.9126444632004,,1.0117795837974295,0.27956216927495064,,
4,1,2,1,384884.16422702104,,1.3577768501942835,0.21401619647589673,,
4,1,3,2,1938.2025835774236,0.0,0.7167103568341204,0.12530544158406473,,
4,1,4,3,371.76326027118836,0.0,1.1888230245550733,0.18172902464330967,,
4,1,5,10,4269.122491819101,,1.555137022524308,0.264392568683939,,
4,1,6,11,1000.1465963290356,0.0,1.4545957017433884,0.24739453584310647,,
4,1,7,4,88.97621967591084,,1.7390541192357123,0.3263900090198539,,
4,1,8,6,274.98592035802056,,1.0373510011014901,0.2102051525067696,,
4,1,9,9,870.3701988175718,0.0,0.7347291280161149,0.23095775821498699,,
4,1,10,25,1000.4540618723108,3.0,0.31511641712599076,0.16737004935684408,,
4,1,11,26,922.7961329925602,2.0,0.6992480313943507,0.1884380840919481,,
4,1,12,24,239.3894219381171,14.0,0.7693424536542981,0.20559328389919904,,
4,1,13,48,313.68213889983997,6.0,1.6015185728219232,0.24336188693825986,1.1081188438682503,0.9275814229168461
4,1,14,12,412.87687599968575,,0.8592133881608807,0.350189021593158,,
4,1,15,13,637.0772476676198,,0.5402369513547562,0.2179273931332786,,
4,1,16,14,314.17676999388834,,1.035833785878154,0.4295075102006435,,
4,1,17,15,677.6587906830684,17.0,1.0362889694946456,0.2731398002601673,,
4,1,18,16,13275.847436588276,17.0,0.11403533148799662,0.22333505329875133,,
4,1,19,17,604.378663696219,20.0,0.7800322304911393,0.17362614714731958,0.9994148271813273,1.1529806368859017
4,1,20,22,22.64434041031289,16.0,0.7983496122976043,0.2234111255050548,,
4,1,21,23,273.0808987293095,15.0,0.49979906651643635,0.10014617262481798,0.43583878754688654,0.8387542473207461
4,1,22,21,1153.6652406228125,21.0,0.61818175878478,0.13001407184468888,0.8915734460533433,1.0690003101470436
4,1,23,19,196.02907969026458,,1.9874539969691356,0.43718269584942465,,
4,1,24,20,885.3985889746955,12.0,0.9170870624109544,0.16951037488094847,,
4,1,25,31,2190.399642071011,,0.9309048005212178,0.1327907458377739,,
4,1,26,29,150.03981494455596,12.0,1.4119617483683968,0.22484781314932972,,
4,1,27,30,719.8402396067536,1.0,1.04309779991787,0.15366869084378787,,
4,1,28,32,172.8883212976346,,1.4420564240241631,0.1920199700763826,,
4,1,29,46,236.40905394136433,,0.1444865668165795,0.0160470506603278,,
