series,frame,dlite_cells,pimorph_cells,dlite_edges,pimorph_edges,matched,identifiable_matched,residual_rms,n_interior_vertices
1,0,10,8,62,38,33,9,0.5852274584063438,15
1,1,10,6,61,9,24,3,0.02243794809681089,1
1,2,9,5,59,10,21,0,,0
1,3,9,2,58,2,6,0,,0
1,4,10,5,58,19,25,4,0.1812341118855182,4
1,5,11,7,63,16,31,3,0.051195283138119586,1
1,6,11,7,67,38,36,8,0.33108399789906184,14
1,7,11,8,67,30,35,11,0.5294301463204341,10
1,8,11,5,68,20,30,6,0.6602323941458272,7
1,9,10,7,67,27,34,11,0.29255178358290246,11
1,10,10,7,65,27,32,8,0.2552798279007308,9
1,11,10,7,61,22,29,9,0.2517376844559351,8
1,12,10,9,62,39,37,12,0.44007705710346745,15
1,13,10,6,61,23,29,4,0.7098585591053931,5
1,14,11,3,61,4,13,0,,0
1,15,9,9,61,31,35,15,0.37895247342030786,11
1,16,11,7,61,19,28,7,0.14115103901919585,5
1,17,9,5,61,12,20,3,0.5500701905802692,2
1,18,11,7,61,32,33,13,0.48898971257242024,14
1,19,11,10,60,43,37,18,0.23637331284210938,19
1,20,11,10,59,51,40,19,0.31121083541834066,24
1,21,11,5,61,23,27,7,0.4955900659255303,9
1,22,10,7,60,26,33,12,0.1989813886183204,10
1,23,10,3,59,6,16,0,,0
1,24,11,7,62,30,30,11,0.33789456278954344,12
1,25,11,7,62,29,30,7,0.2763598120349172,9
1,26,10,10,62,45,39,15,0.2686758789361724,19
1,27,10,7,62,19,30,6,0.08479474902865455,4
1,28,10,6,62,16,27,2,0.603378381522177,2
1,29,10,5,57,21,22,5,0.37959957183810056,7
2,0,6,3,51,6,13,0,,0
2,1,6,4,51,5,18,0,,0
2,2,6,6,51,26,23,6,0.3079380878881806,9
2,3,5,4,52,9,20,2,0.24227996057145607,1
2,4,8,9,63,33,35,7,0.23853384181195927,8
2,5,9,9,65,30,33,5,0.23017627527899526,6
2,6,10,10,65,44,38,8,0.28132255156791625,14
2,7,10,7,67,24,33,7,0.22715131340602016,7
2,8,10,7,64,22,28,8,0.31633526562223413,7
2,9,8,8,67,33,36,7,0.3823594005582441,10
2,10,6,6,64,24,29,7,0.4085543484667248,9
2,11,7,5,63,11,27,3,0.07731878656014443,2
2,12,6,0,60,0,0,0,,0
2,13,8,7,60,25,37,9,0.23077203088790468,8
2,14,7,6,55,39,28,8,0.355578998518111,19
2,15,7,6,60,10,31,0,,0
2,16,7,6,58,23,28,5,0.5073900723253544,9
2,17,7,6,56,34,32,7,0.5750208401516679,14
2,18,5,4,51,8,16,3,0.03924261516935698,1
2,19,5,2,49,3,10,0,,0
2,20,5,4,49,9,19,1,0.04487419499841078,2
2,21,5,2,49,3,8,0,,0
2,22,6,5,56,12,24,0,,0
2,23,6,6,55,20,27,5,0.20912343386900728,6
2,24,6,5,55,20,26,3,0.6736734783468801,5
2,25,6,4,53,10,19,3,0.2989792863243848,3
2,26,7,5,58,13,22,3,0.21925187240155555,3
2,27,7,7,55,16,31,5,0.13291173245835122,3
2,28,7,7,58,21,31,3,0.31968899573634524,4
2,29,8,7,61,18,35,3,0.34261092679285654,3
2,30,8,6,61,15,31,0,,0
3,0,4,4,53,7,20,0,,0
3,1,4,5,54,15,27,6,0.1401887351566872,4
3,2,4,3,53,6,15,0,,0
3,3,4,3,52,3,16,0,,0
3,4,4,2,58,2,10,0,,0
3,5,4,1,58,1,10,0,,0
3,6,4,3,56,3,16,0,,0
3,7,5,5,58,31,30,7,0.21016257182130157,11
3,8,8,4,59,11,24,5,0.15415148369477152,3
3,9,8,6,59,22,32,6,0.16674509711083843,8
3,10,8,5,58,14,29,1,0.25835010355167864,1
3,11,7,6,57,20,29,8,0.4261023112887774,7
3,12,8,7,59,39,36,11,0.3702839385667928,17
3,13,8,5,59,26,31,10,0.30632135276924366,13
3,14,9,7,62,41,38,14,0.2960411821178641,21
3,15,9,7,62,27,35,13,0.13350475681994853,12
3,16,10,7,65,15,37,7,0.04670321415914227,2
3,17,10,5,65,10,26,0,,0
3,18,10,5,63,19,25,8,0.10823807692426819,8
3,19,9,5,66,27,30,10,0.6116354027983344,11
3,20,9,7,68,21,32,8,0.08449917485159789,6
3,21,10,7,67,24,35,11,0.3387199193815351,8
3,22,10,7,68,35,37,12,0.5037557378303604,15
3,23,10,4,68,7,18,0,,0
3,24,10,7,66,37,31,11,0.3858630108461174,17
3,25,10,7,67,27,36,14,0.3631542037236809,11
3,26,10,6,67,27,28,11,0.4593209103275122,13
3,27,10,7,65,25,28,11,0.263615410199857,9
3,28,10,8,64,32,36,13,0.26574322046904736,13
3,29,11,8,64,27,33,13,0.18220159735541616,9
3,30,10,7,59,28,31,13,0.3133133119781567,12
4,0,5,5,50,23,24,6,0.2643180359098053,8
4,1,8,7,47,26,23,7,0.5140518447660474,9
4,2,8,6,47,28,26,4,0.19020068047496724,10
4,3,8,7,47,26,24,6,0.2930775809337056,8
4,4,8,8,46,37,26,10,0.23803935999425274,16
4,5,8,7,46,33,24,10,0.3564036769188399,15
4,6,8,8,46,33,25,11,0.37989785112824864,15
4,7,8,8,48,37,25,11,0.3038111419433718,17
4,8,8,8,49,41,26,11,0.30692871617407447,20
4,9,8,7,52,26,26,7,0.31375166509257724,8
