statistic,DMSO_mean,BRAFi_mean,n_DMSO,n_BRAFi,U,p
AJ_coverage,0.4141686648101521,0.39448366997794565,3,14,25.0,0.6764705882352942
TJ_coverage,0.37600005679263687,0.3576471889166192,3,14,21.0,1.0
actin_coverage,0.37392822670285203,0.33240769144600896,3,14,28.0,0.4323529411764706
co_occupancy_AJ_TJ,0.24838843891668264,0.23464985895077492,3,14,25.0,0.6764705882352942
jaccard_AJ_TJ,0.3759061356467383,0.38948957147465896,3,14,19.0,0.8588235294117648
pearson_AJ_TJ,0.6580605481723153,0.6370537461523581,3,14,28.0,0.4323529411764706
exclusive_AJ,0.0954355013419133,0.0920075940226897,3,14,22.0,0.9529411764705883
exclusive_TJ,0.0705253084062316,0.08483275466390852,3,14,14.0,0.4323529411764706
exclusive_actin,0.0992613834612272,0.08760884487376326,3,14,28.0,0.4323529411764706
n_gaps,0.0,1.1428571428571428,3,14,19.5,0.7576207236833965
gap_fraction,0.0,0.011361730088871234,3,14,19.5,0.7576207236833965
G_eff,980.5189013508798,1039.6088586559233,3,14,14.0,0.4323529411764706
permeability_index,0.053756918223048435,0.05704993165138254,3,14,13.0,0.36176470588235293
mean_g_edge,35.167153645577784,32.80826566385906,3,14,23.0,0.8588235294117648
state_none,0.35895833385266646,0.39491015518244704,3,14,9.0,0.15588235294117647
state_actin only,0.09926138346122722,0.08760884487376326,3,14,28.0,0.4323529411764706
state_TJ only,0.0705253084062316,0.08483275466390852,3,14,14.0,0.4323529411764706
state_TJ+actin,0.057086309469722575,0.038164575301935656,3,14,39.0,0.020588235294117647
state_AJ only,0.09543550134191327,0.0920075940226897,3,14,22.0,0.9529411764705883
state_AJ+actin,0.07034472455155615,0.06782621700448092,3,14,23.0,0.8588235294117648
state_AJ+TJ,0.10115262969633658,0.09584180468494582,3,14,25.0,0.6764705882352942
state_AJ+TJ+actin,0.1472358092203461,0.13880805426582918,3,14,25.0,0.6764705882352942
