field_id,condition,treatment,edge_id,face_left,face_right,label_left,label_right,arclength_px,n_bins,AJ_occupancy,AJ_coverage,AJ_mean_intensity,AJ_max_intensity,AJ_continuity,AJ_n_segments,AJ_gap_fraction,AJ_width_mean_px,AJ_width_cv,AJ_left_intensity,AJ_right_intensity,AJ_threshold,TJ_occupancy,TJ_coverage,TJ_mean_intensity,TJ_max_intensity,TJ_continuity,TJ_n_segments,TJ_gap_fraction,TJ_width_mean_px,TJ_width_cv,TJ_left_intensity,TJ_right_intensity,TJ_threshold,actin_occupancy,actin_coverage,actin_mean_intensity,actin_max_intensity,actin_continuity,actin_n_segments,actin_gap_fraction,actin_width_mean_px,actin_width_cv,actin_left_intensity,actin_right_intensity,actin_threshold,co_occupancy_AJ_TJ,jaccard_AJ_TJ,pearson_AJ_TJ,co_occupancy_AJ_actin,jaccard_AJ_actin,pearson_AJ_actin,co_occupancy_TJ_actin,jaccard_TJ_actin,pearson_TJ_actin,exclusive_AJ,exclusive_TJ,exclusive_actin,frac_none,frac_actin only,frac_TJ only,frac_TJ+actin,frac_AJ only,frac_AJ+actin,frac_AJ+TJ,frac_AJ+TJ+actin,vector_state,vector_state_fraction,arclength_um,joint_state
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,4,1,0,8,10,132.93312529340284,66,0.5112781954887218,0.6818181818181818,124.77180311929527,254.0,0.3939393939393939,5,0.0757575757575758,3.898907103825137,0.5381728491683331,115.84279506519,119.65126198176283,115.58984375000001,0.6906552094522019,0.9090909090909091,86.5462499316739,240.07224834834796,0.696969696969697,2,0.015151515151515138,4.907692307692308,0.32261759712225335,84.32341530531302,83.1731009237774,67.2957342552796,0.20622986036519872,0.24242424242424243,65.69056814645221,194.459665819817,0.15151515151515152,7,0.43939393939393945,2.5945945945945947,0.6821922637513724,66.03498500181567,62.617632552699625,79.87750964154405,0.6515151515151515,0.6935483870967742,0.4319050180189704,0.21212121212121213,0.2978723404255319,0.4401409132537477,0.19696969696969696,0.20634920634920634,0.5217837049490746,0.0,0.24242424242424243,0.015151515151515152,0.04545454545454551,0.0151515151515151,0.24242424242424246,0.0151515151515151,0.0,0.030303030303030307,0.4696969696969697,0.1818181818181818,AJ+TJ,0.4696969696969697,17.537351621820957,2
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,5,2,1,11,8,482.72644234005446,241,0.38065661047027505,0.5145228215767634,104.4828877969788,254.00000000000003,0.33195020746887965,14,0.2365145228215768,3.4972826086956523,0.5709972482476504,95.97410814606975,100.42720178068781,115.58984375000001,0.2641230405205561,0.35684647302904565,52.89683371612247,181.13649342921062,0.17427385892116182,30,0.26970954356846477,2.5369318181818183,0.7075061317112997,48.614984558913434,53.58250866384045,67.2957342552796,0.30286897367642707,0.3983402489626556,65.06260502051038,254.0,0.3278008298755187,11,0.4024896265560166,3.5555555555555554,0.5683560191052129,66.35070695184689,58.76706136841202,79.87750964154405,0.29045643153526973,0.5,0.7347559407726071,0.33195020746887965,0.5714285714285714,0.65868884247767,0.2697095435684647,0.5555555555555556,0.6682808356785983,0.13692946058091288,0.04149377593360996,0.04149377593360996,0.3775933609958506,0.04149377593360992,0.04149377593360992,0.02489626556016607,0.1369294605809128,0.08713692946058087,0.045643153526970924,0.24481327800829886,none,0.3775933609958506,63.68422722164307,0
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,6,3,2,14,11,269.13814515562876,135,0.2612851832182687,0.37037037037037035,90.08191558956781,254.00000000000003,0.32592592592592595,13,0.36296296296296293,2.877906976744186,0.6429735279600413,81.63909034757022,85.86391811975192,115.58984375000001,0.18374933616569306,0.26666666666666666,43.85931375303069,159.44525504191708,0.18518518518518517,12,0.5259259259259259,2.71875,0.607240411120565,41.918561996162396,42.89675145030467,67.2957342552796,0.2575677110993096,0.31851851851851853,65.03415745097675,222.85554054355,0.28888888888888886,7,0.5037037037037038,3.6343283582089554,0.6277996926351862,65.64077217834419,59.98949769108537,79.87750964154405,0.21481481481481482,0.5087719298245614,0.7360902627460911,0.24444444444444444,0.55,0.5911825120938324,0.21481481481481482,0.58,0.6983787652361643,0.08888888888888889,0.014814814814814815,0.037037037037037035,0.5407407407407407,0.03703703703703704,0.014814814814814822,0.037037037037037056,0.0888888888888889,0.06666666666666665,0.037037037037037056,0.17777777777777776,none,0.5407407407407407,35.50635160364496,1
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,7,4,0,5,10,348.7650974367699,174,0.45886205485059356,0.632183908045977,113.4427542794021,254.0,0.3333333333333333,11,0.13793103448275867,3.717777777777778,0.5152081013616301,104.06669079792384,107.19255187320178,115.58984375000001,0.6655751125665166,0.8390804597701149,83.76693475037406,213.95905577290898,0.7126436781609196,5,0.03448275862068961,4.826388888888888,0.37219889735799966,76.60021725239145,84.7768868278668,67.2957342552796,0.18624641833810887,0.3045977011494253,53.98370395994661,213.09473038492374,0.3850574712643678,12,0.5229885057471264,2.7248995983935744,0.47334227168348697,43.68285267191106,58.36794826545068,79.87750964154405,0.5977011494252874,0.6842105263157895,0.7254422029535719,0.23563218390804597,0.3360655737704918,0.41271464961256216,0.3045977011494253,0.363013698630137,0.6181918468892371,0.034482758620689655,0.1724137931034483,0.0,0.12643678160919522,0.0,0.1724137931034483,0.06896551724137931,0.03448275862068961,0.0,0.36206896551724155,0.23563218390804602,AJ+TJ,0.36206896551724155,46.011226574771754,2
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,8,1,4,8,5,399.2152640484389,200,0.3623344074471894,0.545,103.4156895708532,254.0,0.355,14,0.19499999999999995,3.1459627329192545,0.49079171019717927,95.66268750124993,94.58891539551405,115.58984375000001,0.45041174364482633,0.665,66.78998157955071,227.39310526768128,0.35,9,0.10999999999999999,3.542134831460674,0.4898696806238123,64.32390599167147,62.671574936367726,67.2957342552796,0.2563551736484067,0.42,61.38695619615819,251.28248095487766,0.255,14,0.32499999999999996,2.6592592592592594,0.526687104775552,48.54378206883196,70.33004669343431,79.87750964154405,0.47,0.6351351351351351,0.7844176400648989,0.25,0.34965034965034963,0.2976542919436961,0.31,0.4,0.4730745132560146,0.05,0.11,0.085,0.17499999999999985,0.08499999999999999,0.11000000000000004,0.08499999999999999,0.05000000000000002,0.02500000000000002,0.24500000000000013,0.225,AJ+TJ,0.24500000000000013,52.66692137842202,2
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,9,0,5,10,13,393.2623871204495,197,0.2875318066157761,0.3756345177664975,96.7244719952231,254.0,0.19289340101522842,20,0.29441624365482233,2.856115107913669,0.7015870785640222,90.83847664027908,90.63898235475675,115.58984375000001,0.46455834242093785,0.6649746192893401,68.17185622861183,205.14192403770534,0.27411167512690354,11,0.08629441624365486,3.558333333333333,0.5230982045944429,66.8111954894459,65.24990589654877,67.2957342552796,0.24936386768447838,0.38071065989847713,59.52644723527061,198.07249518420963,0.2131979695431472,13,0.4467005076142132,3.1605504587155964,0.5399519314212301,55.86475621983247,59.43838982626165,79.87750964154405,0.3299492385786802,0.4642857142857143,0.6048168399032491,0.27411167512690354,0.5684210526315789,0.6691791738086672,0.3401015228426396,0.48201438848920863,0.5645901234954356,0.030456852791878174,0.25380710659898476,0.025380710659898477,0.263959390862944,0.025380710659898626,0.25380710659898464,0.08121827411167509,0.030456852791878215,0.015228426395938981,0.0710659898477159,0.2588832487309646,none,0.263959390862944,51.88158141430732,2
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,11,6,2,9,11,179.3172637005833,90,0.11252992817238627,0.13333333333333333,70.0920740323098,252.95986499558455,0.2111111111111111,11,0.6111111111111112,2.0142857142857142,0.8253807958000655,63.20356985422424,67.03315745170937,115.58984375000001,0.08060654429369513,0.12222222222222222,33.46870419610972,127.2871024291559,0.15555555555555556,9,0.7111111111111111,1.9423076923076923,0.6478153585328946,30.823839073939144,33.99047630554698,67.2957342552796,0.004788507581803671,0.0,22.081631095554357,94.99261959785653,0.044444444444444446,1,0.9555555555555556,0.75,0.3333333333333333,20.724773986434634,22.56944400239898,79.87750964154405,0.08888888888888889,0.5333333333333333,0.7540961564614836,0.0,0.0,0.7620738931113259,0.0,0.0,0.7657451090036834,0.044444444444444446,0.03333333333333333,0.0,0.8333333333333335,0.0,0.03333333333333338,0.0,0.044444444444444446,0.0,0.0888888888888889,0.0,none,0.8333333333333335,23.656631095063762,1
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,12,3,6,14,9,226.19153257896443,113,0.04993678887484197,0.061946902654867256,57.594594608214585,203.37728582055425,0.061946902654867256,11,0.7699115044247787,1.5192307692307692,0.6980413002006197,54.50608435544407,51.64560848170021,115.58984375000001,0.09481668773704172,0.07964601769911504,37.54078504543779,150.95271245152423,0.13274336283185842,13,0.584070796460177,1.5957446808510638,0.873511432221824,38.847824089471544,33.60747545734902,67.2957342552796,0.0037926675094816687,0.0,25.940253552446677,93.28905275352595,0.017699115044247787,4,0.9557522123893806,0.6,0.3333333333333334,28.341055335661288,22.06813562140108,79.87750964154405,0.0,0.0,0.652029145909157,0.0,0.0,0.4989506023660831,0.0,0.0,0.5563286961257278,0.061946902654867256,0.07964601769911504,0.0,0.8584070796460177,0.0,0.07964601769911502,0.0,0.06194690265486732,0.0,0.0,0.0,none,0.8584070796460177,29.840571580338317,1
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,14,6,1,9,8,154.44754608408323,77,0.4137291280148423,0.5974025974025974,113.89879996822185,254.0,0.4805194805194805,4,0.18181818181818177,3.5396825396825395,0.5184271555373465,110.35888599729118,101.81622460359162,115.58984375000001,0.3302411873840445,0.42857142857142855,56.419001232459614,234.73748064950138,0.2727272727272727,8,0.24675324675324672,3.0689655172413794,0.6801698177196267,59.3827387163205,49.16052606817453,67.2957342552796,0.13543599257884972,0.18181818181818182,40.73212669179314,239.7576776694512,0.24675324675324675,1,0.7532467532467533,3.8421052631578947,0.434810143783668,45.887775336270046,32.22771575629686,79.87750964154405,0.4155844155844156,0.6808510638297872,0.8510762857831302,0.18181818181818182,0.30434782608695654,0.8291087259041039,0.18181818181818182,0.42424242424242425,0.8856934606993008,0.18181818181818182,0.012987012987012988,0.0,0.3896103896103896,0.0,0.012987012987012997,0.0,0.18181818181818188,0.0,0.23376623376623373,0.1818181818181818,none,0.3896103896103896,20.375665710301217,2
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,15,4,5,5,13,137.69945679550887,69,0.6200828157349897,0.8115942028985508,136.69442745292153,254.0,0.7101449275362319,2,0.01449275362318836,4.404411764705882,0.42219241755419107,130.9902307541548,126.99216319056288,115.58984375000001,0.4886128364389234,0.6666666666666666,71.6084785622299,197.32719116306646,0.5652173913043478,3,0.05797101449275366,3.6307692307692307,0.5413788560570996,69.71224824598772,68.35849878563272,67.2957342552796,0.2463768115942029,0.30434782608695654,58.80986737181418,162.94575148230922,0.3188405797101449,5,0.5217391304347826,3.606060606060606,0.569912720018311,57.88007857124741,56.65035877033576,79.87750964154405,0.5507246376811594,0.59375,0.660401611915524,0.30434782608695654,0.375,0.7534041791240068,0.2898550724637681,0.425531914893617,0.6292309253025533,0.2463768115942029,0.11594202898550725,0.0,0.07246376811594209,0.0,0.11594202898550712,0.0,0.24637681159420302,0.014492753623188425,0.26086956521739113,0.2898550724637682,AJ+TJ+actin,0.2898550724637682,18.16615525006713,2
