statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,geometry_source
reticular_fraction,0.38437417330275114,0.0466246777744112,0.2727272727272727,0.4225352112676056,0.4225352112676056,18,3.999999999999999,EGM2_regular_static-42,static,junction_channel
all_reticular_3clique_fraction,0.04726250813924651,0.00922531404411404,0.02631578947368421,0.05263157894736842,0.05263157894736842,16,3.999909840848702,EGM2_regular_static-42,static,junction_channel
area_degree_spearman,0.6585232996545454,0.029587575632424052,0.6232607979778972,0.6844811908210318,0.6232607979778972,16,3.999909840848702,EGM2_regular_static-42,static,junction_channel
n_cells,49.92415818462609,1.8854698153786609,49.0,55.0,49.0,18,3.999999999999999,EGM2_regular_static-42,static,junction_channel
n_cell_cell_edges,74.17264907770902,4.911879978108303,71.0,88.0,71.0,18,3.999999999999999,EGM2_regular_static-42,static,junction_channel
mean_degree,2.708553556528546,0.09522321175646409,2.6530612244897958,3.018181818181818,2.6530612244897958,18,3.999999999999999,EGM2_regular_static-42,static,junction_channel
reticular_fraction,0.2834389576382186,0.007705435655497906,0.28,0.30434782608695654,0.28,17,3.9999999999999982,EGM2_regular_static-49,static,junction_channel
all_reticular_3clique_fraction,0.0,0.0,0.0,0.0,,7,3.4402080055897124,EGM2_regular_static-49,static,junction_channel
area_degree_spearman,0.36116359679302085,0.001294618672621526,0.36115755925730764,0.36115755925730764,,8,1.000043554383845,EGM2_regular_static-49,static,junction_channel
n_cells,25.71388990796034,0.6361566957269088,24.0,26.0,26.0,17,3.9999999999999982,EGM2_regular_static-49,static,junction_channel
n_cell_cell_edges,24.71400433502811,0.6397426167018615,23.0,25.0,25.0,17,3.9999999999999982,EGM2_regular_static-49,static,junction_channel
mean_degree,1.9221748329422297,0.0027145870825802058,1.9166666666666667,1.9230769230769231,1.9230769230769231,17,3.9999999999999982,EGM2_regular_static-49,static,junction_channel
reticular_fraction,0.27008254468018456,0.003040706845786045,0.26461538461538464,0.2727272727272727,0.2693498452012384,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
all_reticular_3clique_fraction,0.03441361187811063,0.0002664160122581428,0.03414634146341464,0.034653465346534656,0.03431372549019608,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
area_degree_spearman,0.7089451524140652,0.0049431688160426444,0.7009917332955575,0.7115990365730857,0.7115990365730857,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
n_cells,122.28256774721105,1.0676963338496788,121.0,123.0,123.0,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
n_cell_cell_edges,321.8319284912208,2.6243157016001555,319.0,325.0,323.0,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
mean_degree,5.229154622426558,0.010084191565423993,5.219512195121951,5.245901639344262,5.219512195121951,14,3.999999999999999,EGM2_regular_6dyn-28,6dyne,junction_channel
reticular_fraction,0.342939947024413,0.001891837308509771,0.3403141361256545,0.34574468085106386,0.34210526315789475,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
all_reticular_3clique_fraction,0.03853167930452861,0.0001735286968704738,0.03829787234042553,0.03879310344827586,0.038461538461538464,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
area_degree_spearman,0.6798715127239238,0.012316139492825123,0.6610935224988427,0.6906527030134251,0.6906527030134251,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
n_cells,146.36257116454397,0.8931029061709868,145.0,147.0,147.0,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
n_cell_cell_edges,379.0866208401934,2.0856514296456203,376.0,382.0,380.0,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
mean_degree,5.164490613755913,0.00822560483007358,5.156462585034014,5.178082191780822,5.156462585034014,29,4.0,EGM2_regular_6dyn-30,6dyne,junction_channel
