face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
0,619,2661.233444213867,2662,226.8236785435527,3,2,2,0,0,True,24.51164262409044,32.956484077748755,,
1,646,924.3323059082031,925,125.45703332668063,4,3,3,0,0,True,16.85245186066805,70.85864231795624,,
2,426,738.9609375,739,122.1136191588879,5,4,4,0,0,True,15.186930855626523,94.34370715680956,,
3,610,1129.03515625,1129,153.63210480619705,5,4,4,0,0,True,9.709329320112957,140.12469291685912,,
4,219,608.6551818847656,610,115.1046845212197,4,3,3,0,0,True,6.419839060715535,193.7617429919537,,
5,118,1075.4734344482422,1076,144.93752450358096,4,3,3,0,0,True,14.348963470359019,228.51228675622588,,
6,588,2023.1730041503906,2022,195.7531959049257,7,6,6,0,0,True,32.87161500687017,250.20685742380874,,
7,164,1630.9071502685547,1632,159.39353155571794,5,4,4,0,0,True,18.78771162171912,291.0408222427643,,
8,181,1214.2809448242188,1215,149.77902563175775,5,4,4,0,0,True,17.671667088098687,329.08622842127403,,
9,173,2572.1290893554688,2570,230.8914151385502,6,5,5,0,0,True,25.296228328765924,373.6562753449465,,
10,351,647.0922088623047,648,135.5307839847738,4,3,3,0,0,True,5.600892981484632,413.9294153843417,,
11,313,3087.383102416992,3084,302.0914077977047,9,8,8,0,0,True,41.20171258419852,452.29917995533026,,
12,522,1125.267105102539,1126,175.87997080452385,4,3,3,0,0,True,14.42435450098224,490.54106866507067,,
13,383,2415.6324768066406,2415,264.48405499426246,8,7,7,0,0,True,49.27056457906214,514.0477422899673,,
14,546,2499.9983520507812,2498,213.27566890068735,6,5,5,0,0,True,22.877326159278084,557.9479758236322,,
15,358,888.7848052978516,889,133.09012824094532,4,3,3,0,0,True,9.387773367244495,609.9658211395945,,
16,51,2254.3204803466797,2254,242.41682693871252,6,5,5,0,0,True,15.495203785789055,664.2321160500688,,
17,633,2572.397415161133,2571,251.41121501150326,7,6,6,0,0,True,26.77987460379131,742.8473614085609,,
18,412,1085.5196533203125,1084,152.78352233978887,7,5,5,0,0,True,13.88885796154159,779.3621980906456,,
19,39,152.3291473388672,154,65.94282095068505,2,1,1,0,0,True,2.7659557041343756,776.631222601796,,
20,305,929.8143157958984,930,136.05404991319878,4,3,3,0,0,True,11.328628648352725,821.2291530861667,,
21,336,2170.962631225586,2171,188.21552343041841,6,5,5,0,0,True,24.95654257792812,856.8504660951075,,
22,636,1159.369369506836,1160,146.37407543661428,3,2,2,0,0,True,15.993498962135998,896.7905742338583,,
23,461,2732.415771484375,2729,244.28585510783518,8,6,6,1,1,True,36.745586870772875,920.5342130816063,,
24,77,805.9997100830078,806,138.72138515054405,4,3,3,0,0,True,10.53022145680181,959.6022531137296,,
25,535,2105.2981719970703,2105,195.70451937868108,6,5,5,0,0,True,37.84408165680507,987.286758407435,,
26,442,1052.8033905029297,1054,142.05921466408574,3,2,2,0,0,True,19.17527108561084,1010.7948757226611,,
27,574,2701.765823364258,2700,226.22310981641402,7,7,7,0,0,False,34.84460217360756,178.24763357632074,,
28,242,1040.563003540039,1042,133.49671185372193,4,4,4,0,0,False,24.80064414012257,419.4774081423138,,
29,237,1337.8209686279297,1337,162.025622506103,7,7,7,0,0,False,33.11164350639699,114.68128843572022,,
30,2,1359.7840423583984,1361,142.83017691738863,5,5,5,0,0,False,37.56533671264934,681.6490371493862,,
31,317,4089.631591796875,4089,384.76735525405513,9,9,9,0,0,False,70.72879291997158,799.2860794795029,,
32,381,1410.1145629882812,1411,182.90616882694093,5,5,5,0,0,False,34.79877608076188,608.8979715907052,,
33,398,4231.11784362793,4229,379.12949994459825,8,7,7,0,0,True,74.62221139193713,26.266321222750573,,
34,544,1338.4935760498047,1341,135.1932661280793,3,3,3,0,0,False,47.712642748977736,487.8046804566432,,
35,105,2627.993148803711,2629,215.7027012760149,6,6,6,0,0,False,67.06421360756728,955.902013114893,,
36,38,945.9600219726562,946,125.08884873697482,4,4,4,0,0,False,54.92023734106255,783.6315941051666,,
37,604,1683.5750885009766,1685,181.66443054615704,4,4,4,0,0,False,54.08641090193215,711.3396872123249,,
38,318,1728.2159423828125,1727,177.27922037535433,6,6,6,0,0,False,52.53201457298209,315.4691221497424,,
39,308,3402.6061248779297,3401,323.62925388783657,9,9,9,0,0,False,105.91757024804006,652.5827680096546,,
40,363,1392.7959442138672,1392,162.05761110032512,7,7,7,0,0,False,61.83968207563914,361.01114265881756,,
41,569,755.2265625,755,136.5956764518861,4,3,3,0,0,True,65.4877101969737,1014.9751383156269,,
42,11,2881.1392822265625,2882,244.38305109375017,6,6,6,0,0,False,66.7391191296717,604.7108192196904,,
43,190,1662.3251037597656,1661,210.8830505411545,7,7,7,0,0,False,79.56329505592636,273.28821930611065,,
44,15,2418.9857330322266,2418,205.24421235791192,6,6,6,0,0,False,69.89589335783154,870.3949969210439,,
45,277,3111.966079711914,3113,245.15342673081318,6,6,6,0,0,False,75.91906182313541,113.50502669343204,,
46,390,1601.3483123779297,1601,170.1042575363491,6,6,6,0,0,False,75.19081882686875,156.59727788865138,,
47,230,1762.8151397705078,1764,183.36390240095,5,5,5,0,0,False,65.46583566260703,210.55239963874095,,
48,576,2649.743453979492,2651,235.97087526864897,5,5,5,0,0,False,89.79114522816239,63.23563281927053,,
49,70,1257.585952758789,1258,143.9982327325913,6,6,6,0,0,False,64.96218701817334,406.0841983743771,,
50,311,2316.3806915283203,2316,200.6748654142563,6,6,6,0,0,False,76.25466812178452,736.2080501840452,,
51,370,1438.0518341064453,1436,177.99208200444798,6,6,6,0,0,False,68.83103081275918,547.4172352387949,,
52,255,1391.1792297363281,1392,162.9363249118955,5,5,5,0,0,False,84.51810933683429,247.64526486177027,,
53,369,2004.0564880371094,2004,179.04601907880317,6,6,6,0,0,False,88.98006431889127,678.6046835851262,,
54,591,1696.688491821289,1698,170.39831079542424,4,4,4,0,0,False,91.41492425206097,301.67251032772486,,
55,493,1403.8606262207031,1406,150.52531651487845,4,4,4,0,0,False,93.9424283469946,837.3861075619428,,
56,176,2151.1763763427734,2150,186.99919190022538,6,6,6,0,0,False,95.93356567059887,914.9704086540264,,
57,519,1617.465316772461,1618,160.73228533405768,6,6,6,0,0,False,86.62580601296958,448.57086172136746,,
58,444,1930.724349975586,1930,194.3648869943864,6,6,6,0,0,False,99.38900530115454,335.11178755740264,,
59,177,1619.671875,1620,161.3593465043244,6,6,6,0,0,False,97.17922485933697,400.38604927631553,,
60,497,1271.7530212402344,1272,145.50391243027715,6,5,5,0,0,True,96.50259435709572,1005.3276661387492,,
61,140,393.33984375,395,94.84409761987945,4,4,4,0,0,False,83.0353067146871,571.5176630103075,,
62,315,3150.4649047851562,3150,252.58678781782731,6,6,6,0,0,False,105.82636872415091,202.4020565369307,,
63,485,1543.747299194336,1542,172.29806326443304,6,6,6,0,0,False,109.8231599414052,367.87423911717025,,
64,56,1958.1056671142578,1958,188.36852026177894,6,6,6,0,0,False,111.09867044238277,521.1660886310523,,
65,116,2786.263229370117,2786,318.5372374651114,7,7,7,0,0,False,143.82583678018375,500.8934643552277,,
66,186,2360.5721893310547,2360,212.75553970272347,6,6,6,0,0,False,113.71809347805943,967.7258340044472,,
67,123,721.2654724121094,722,114.9281654955357,5,5,5,0,0,False,100.81642444352293,561.8526219487246,,
68,479,2069.6541900634766,2070,196.9879455487319,6,6,6,0,0,False,109.3326505131421,608.6541071002172,,
69,124,2782.0340728759766,2782,266.48055256169323,7,7,7,0,0,False,130.78386074020145,573.1606318758993,,
70,18,2216.456268310547,2217,194.26717388225205,6,6,6,0,0,False,120.81781976254065,868.4645271075655,,
71,43,2475.1849975585938,2474,272.5894544839405,7,7,7,0,0,False,127.82313319780873,162.29283814927987,,
72,182,2385.6251220703125,2386,241.33954686589962,7,7,7,0,0,False,117.47408239025694,730.4152782595969,,
73,634,1814.7654418945312,1813,175.30650902185204,7,7,7,0,0,False,123.22587238919922,803.3572566596987,,
74,128,1395.6443176269531,1395,164.27752007400468,6,6,6,0,0,False,128.05640698598438,107.80153561854952,,
75,601,1348.8309478759766,1350,149.7063127684321,4,4,4,0,0,False,123.13027136974986,435.02539592558054,,
76,609,3327.9293212890625,3329,319.81773658081056,6,6,6,0,0,False,161.27494878844394,482.0371187142444,,
77,613,2152.4905548095703,2152,216.25189216211677,6,6,6,0,0,False,145.4503969698428,74.4665492178511,,
78,411,1255.6059875488281,1255,142.4935400465267,7,7,7,0,0,False,130.8521513293068,255.37080644242448,,
79,309,1728.0785217285156,1727,171.22070266583202,8,8,8,0,0,False,136.03554756674347,300.7579774925086,,
80,526,3830.095703125,3830,287.97850111973247,7,7,7,0,0,False,156.42142657838355,420.31588554177,,
81,22,4114.442779541016,4113,346.08612656548087,10,10,10,0,0,False,154.31973972198386,921.3466310646662,,
82,261,1866.1408081054688,1867,203.84662143817573,5,5,5,0,0,False,146.57908238160113,42.050069978466446,,
83,312,1335.3846130371094,1335,210.9757608908397,4,3,3,0,0,True,143.90205064921054,1009.0916345752704,,
84,586,778.9519958496094,780,114.8383951632149,4,4,4,0,0,False,137.12457834777115,144.747460712052,,
85,268,1547.267562866211,1548,167.09796970313238,6,6,6,0,0,False,149.86516210000565,343.17053251020343,,
86,513,3734.6060180664062,3736,269.49248689706195,6,6,6,0,0,False,175.2761081258236,698.3155739427865,,
87,200,1824.2318267822266,1826,177.16503228193238,4,4,4,0,0,False,145.00855596571677,761.8097820389578,,
88,298,1601.2694702148438,1602,163.36594884797734,5,5,5,0,0,False,150.4597047824153,220.7595488057976,,
89,104,1356.869644165039,1357,177.88762694514864,5,5,5,0,0,False,160.86764547090098,729.8167031049622,,
90,257,1666.3172149658203,1666,175.99698551503235,6,5,5,0,0,True,162.4661765678196,15.776983744073426,,
91,232,2118.384750366211,2119,181.11097426478506,5,5,5,0,0,False,155.68159090219734,841.7660934397381,,
92,532,2212.366897583008,2213,228.00905913569724,5,4,4,0,0,True,163.0494335155718,991.0239495197676,,
93,404,1654.8490142822266,1656,202.5975526403467,6,6,6,0,0,False,168.5230103486605,284.2167848039702,,
94,365,1217.9273223876953,1218,145.67604265072794,7,7,7,0,0,False,161.22631784417248,371.55143526903436,,
95,25,1545.4742584228516,1545,180.76239118096538,8,8,8,0,0,False,171.0333535934316,632.6618499877014,,
96,427,1605.012191772461,1605,192.77218895571798,6,6,6,0,0,False,176.625381689475,535.9944692559188,,
97,89,2013.537094116211,2014,234.96967605898575,6,6,6,0,0,False,194.34963628846572,668.1299946196831,,
