vertex_id,row,col,degree,kind,n_cells,n_gaps,touches_outer,incident_faces_cyclic,incident_edges_cyclic,row_um,col_um
0,-0.5,59.5,3,regular,2,0,True,"[0, 1, 570]","[0, 28, 1]",,
1,-0.5,89.5,3,regular,2,0,True,"[1, 2, 570]","[1, 29, 2]",,
2,-0.5,113.5,3,regular,2,0,True,"[2, 3, 570]","[2, 30, 3]",,
3,-0.5,174.5,3,regular,2,0,True,"[3, 4, 570]","[3, 31, 4]",,
4,-0.5,219.5,3,regular,2,0,True,"[4, 5, 570]","[4, 32, 5]",,
5,-0.5,258.5,3,regular,2,0,True,"[5, 6, 570]","[5, 33, 6]",,
6,-0.5,268.5,3,regular,2,0,True,"[6, 7, 570]","[6, 34, 7]",,
7,-0.5,309.5,3,regular,2,0,True,"[7, 8, 570]","[7, 35, 8]",,
8,-0.5,346.5,3,regular,2,0,True,"[8, 9, 570]","[8, 36, 9]",,
9,-0.5,391.5,3,regular,2,0,True,"[9, 10, 570]","[9, 37, 10]",,
10,-0.5,447.5,3,regular,2,0,True,"[10, 11, 570]","[10, 38, 11]",,
11,-0.5,478.5,3,regular,2,0,True,"[11, 12, 570]","[11, 39, 12]",,
12,-0.5,521.5,3,regular,2,0,True,"[12, 13, 570]","[12, 40, 13]",,
13,-0.5,528.5,3,regular,2,0,True,"[13, 14, 570]","[13, 41, 14]",,
14,-0.5,585.5,3,regular,2,0,True,"[14, 15, 570]","[14, 42, 15]",,
15,-0.5,632.5,3,regular,2,0,True,"[15, 16, 570]","[15, 43, 16]",,
16,-0.5,720.5,3,regular,2,0,True,"[16, 17, 570]","[16, 44, 17]",,
17,-0.5,754.5,3,regular,2,0,True,"[17, 18, 570]","[17, 45, 18]",,
18,-0.5,763.5,3,regular,2,0,True,"[18, 19, 570]","[18, 46, 19]",,
19,-0.5,793.5,3,regular,2,0,True,"[19, 18, 570]","[19, 46, 20]",,
20,-0.5,798.5,3,regular,2,0,True,"[18, 20, 570]","[20, 47, 21]",,
21,-0.5,846.5,3,regular,2,0,True,"[20, 21, 570]","[21, 48, 22]",,
22,-0.5,879.5,3,regular,2,0,True,"[21, 22, 570]","[22, 49, 23]",,
23,-0.5,921.5,3,regular,2,0,True,"[22, 23, 570]","[23, 50, 24]",,
24,-0.5,933.5,3,regular,2,0,True,"[23, 24, 570]","[24, 51, 25]",,
25,-0.5,984.5,3,regular,2,0,True,"[24, 25, 570]","[25, 52, 26]",,
26,-0.5,991.5,3,regular,2,0,True,"[25, 26, 570]","[26, 53, 27]",,
27,8.5,169.5,3,regular,3,0,False,"[27, 4, 3]","[54, 57, 31]",,
28,8.5,440.5,3,regular,3,0,False,"[28, 11, 10]","[55, 56, 38]",,
29,10.5,110.5,3,regular,3,0,False,"[29, 3, 2]","[58, 59, 30]",,
30,12.5,208.5,3,regular,3,0,False,"[27, 5, 4]","[57, 60, 32]",,
31,16.5,398.5,3,regular,3,0,False,"[9, 28, 10]","[37, 62, 55]",,
32,17.5,804.5,3,regular,3,0,False,"[31, 20, 18]","[63, 64, 47]",,
33,19.5,594.5,3,regular,3,0,False,"[14, 32, 15]","[42, 66, 65]",,
34,19.5,697.5,3,regular,3,0,False,"[30, 17, 16]","[61, 67, 44]",,
35,21.5,-0.5,3,regular,2,0,True,"[33, 0, 570]","[69, 68, 0]",,
36,21.5,831.5,3,regular,3,0,False,"[31, 21, 20]","[64, 70, 48]",,
37,24.5,629.5,3,regular,3,0,False,"[32, 16, 15]","[65, 72, 43]",,
38,25.5,137.5,3,regular,3,0,False,"[29, 27, 3]","[59, 74, 54]",,
39,27.5,498.5,3,regular,3,0,False,"[34, 13, 12]","[71, 75, 40]",,
40,27.5,961.5,3,regular,3,0,False,"[35, 25, 24]","[73, 76, 52]",,
41,28.5,949.5,3,regular,3,0,False,"[35, 24, 23]","[77, 73, 51]",,
42,29.5,779.5,3,regular,3,0,False,"[17, 36, 18]","[45, 79, 78]",,
43,30.5,705.5,3,regular,3,0,False,"[37, 17, 30]","[81, 80, 67]",,
44,31.5,789.5,3,regular,3,0,False,"[36, 31, 18]","[78, 82, 63]",,
45,32.5,315.5,3,regular,3,0,False,"[38, 8, 7]","[84, 83, 35]",,
46,34.5,636.5,3,regular,3,0,False,"[39, 16, 32]","[86, 85, 72]",,
47,34.5,885.5,3,regular,3,0,False,"[23, 22, 21]","[87, 50, 49]",,
48,37.5,64.5,3,regular,3,0,False,"[33, 1, 0]","[68, 89, 28]",,
49,37.5,78.5,3,regular,3,0,False,"[33, 2, 1]","[89, 90, 29]",,
50,37.5,84.5,3,regular,3,0,False,"[33, 29, 2]","[90, 93, 58]",,
51,37.5,216.5,3,regular,3,0,False,"[27, 6, 5]","[60, 94, 33]",,
52,37.5,347.5,3,regular,3,0,False,"[40, 9, 8]","[95, 91, 36]",,
53,37.5,1023.5,3,regular,2,0,True,"[41, 570, 26]","[92, 96, 27]",,
54,38.5,346.5,3,regular,3,0,False,"[38, 40, 8]","[83, 98, 95]",,
55,41.5,279.5,3,regular,3,0,False,"[43, 7, 6]","[102, 99, 34]",,
56,41.5,883.5,3,regular,3,0,False,"[44, 23, 21]","[100, 101, 87]",,
57,42.5,288.5,3,regular,3,0,False,"[43, 38, 7]","[99, 104, 84]",,
58,42.5,468.5,3,regular,3,0,False,"[11, 34, 12]","[39, 105, 71]",,
59,43.5,216.5,3,regular,3,0,False,"[47, 6, 27]","[107, 108, 94]",,
60,44.5,85.5,3,regular,3,0,False,"[48, 29, 33]","[109, 110, 93]",,
61,44.5,141.5,3,regular,3,0,False,"[46, 27, 29]","[114, 106, 74]",,
62,44.5,409.5,3,regular,3,0,False,"[49, 28, 9]","[111, 112, 62]",,
63,44.5,568.5,3,regular,3,0,False,"[42, 32, 14]","[113, 97, 66]",,
64,45.5,741.5,3,regular,3,0,False,"[50, 17, 37]","[115, 116, 80]",,
65,46.5,659.5,3,regular,3,0,False,"[39, 30, 16]","[85, 117, 61]",,
66,47.5,415.5,3,regular,3,0,False,"[49, 11, 28]","[112, 118, 56]",,
67,47.5,842.5,3,regular,3,0,False,"[44, 21, 31]","[119, 100, 70]",,
68,47.5,1009.5,3,regular,3,0,False,"[41, 26, 25]","[120, 92, 53]",,
69,48.5,90.5,3,regular,3,0,False,"[45, 29, 48]","[123, 103, 110]",,
70,48.5,140.5,3,regular,3,0,False,"[45, 46, 29]","[103, 121, 114]",,
71,50.5,535.5,3,regular,3,0,False,"[51, 14, 13]","[122, 124, 41]",,
