cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
156,223,28,0,0,1,46.9140357211921,,17.75390625,43.24609375,1,46.9140357211921,47,635.7772183598295,1086.5382171120382,0.05167173252279635,0.0851063829787234,3,0.8297872340425532,2.125,0.5969936214760129,626.3965574235319,609.9372342777791,874.8116629984961,0.05167173252279635,635.7772183598295,1086.5382171120382,2.4241295053503515,3,0.06394674757526422,2.125,discontinuous,discontinuous,0.05167173252279635,True,874.8116629984961
223,374,29,0,1,2,44.368835810976336,,20.49609375,71.49609375,1,44.368835810976336,44,681.5328398235664,1156.62604227974,0.06818181818181818,0.1590909090909091,1,0.8409090909090909,3.0,0.47140452079103173,685.247494674438,650.892055795657,874.8116629984961,0.06818181818181818,681.5328398235664,1156.62604227974,3.025147896202932,1,0.02253834209805008,3.0,discontinuous,discontinuous,0.06818181818181818,True,874.8116629984961
374,624,30,0,2,3,39.064479313167794,,17.86328125,96.13671875,1,39.064479313167794,39,612.739524824116,1024.1838965600614,0.04395604395604396,0.10256410256410256,2,0.8461538461538461,2.0,0.28867513459481287,584.2723180740063,624.3529705054552,874.8116629984961,0.04395604395604396,612.739524824116,1024.1838965600614,1.7171199698095736,2,0.051197405806093596,2.0,discontinuous,discontinuous,0.04395604395604396,False,874.8116629984961
415,624,31,0,4,3,41.278180527670116,,20.16796875,135.83203125,1,41.278180527670116,41,711.1556385380862,1044.414419643857,0.13240418118466898,0.36585365853658536,3,0.3902439024390244,1.52,0.46033830748778687,664.2726826081805,704.7959369749029,874.8116629984961,0.13240418118466898,711.1556385380862,1044.414419643857,5.465403693559109,3,0.07267762197001396,1.52,discontinuous,discontinuous,0.13240418118466898,True,874.8116629984961
415,573,32,0,4,5,32.64979580596523,,14.28125,163.71875,1,32.64979580596523,33,776.9268850505373,1465.4795014609158,0.29004329004329005,0.30303030303030304,5,0.24242424242424243,2.68,0.4315472326806256,773.7801673337063,719.3526567029813,874.8116629984961,0.29004329004329005,776.9268850505373,1465.4795014609158,9.46985419480377,5,0.15314031455861302,2.68,discontinuous,discontinuous,0.29004329004329005,True,874.8116629984961
503,573,33,0,6,5,31.59512720052741,,15.16796875,196.17578125,1,31.59512720052741,32,745.5542740493551,1188.921916970348,0.19642857142857142,0.4375,4,0.375,2.2,0.5492293624361169,678.9421175371778,755.4753444256606,874.8116629984961,0.19642857142857142,745.5542740493551,1188.921916970348,6.206185700103599,4,0.12660180079709343,2.2,discontinuous,discontinuous,0.19642857142857142,True,874.8116629984961
503,578,34,0,6,7,24.957114679223384,,13.1015625,230.1015625,1,24.957114679223384,25,648.7334672323572,981.3809460565346,0.03428571428571429,0.16,3,0.76,1.0,0.0,626.7890671656475,628.9366862160916,874.8116629984961,0.03428571428571429,648.7334672323572,981.3809460565346,0.8556725032876589,3,0.12020620326345169,1.0,minimal,minimal,0.03428571428571429,False,874.8116629984961
214,578,35,0,8,7,57.53937356012313,,20.49609375,289.49609375,1,57.53937356012313,58,771.9864042995176,1392.5105076004688,0.2832512315270936,0.5172413793103449,5,0.2068965517241379,2.5,0.4916697371557279,731.2561939358351,742.3300042817095,874.8116629984961,0.2832512315270936,771.9864042995176,1392.5105076004688,16.298098422202365,5,0.08689701834823556,2.5,discontinuous,discontinuous,0.2832512315270936,True,874.8116629984961
214,286,36,0,8,9,146.56027958711738,,52.828125,330.828125,1,146.56027958711738,147,754.8162245086977,1358.8684254549294,0.2400388726919339,0.22448979591836735,11,0.34013605442176875,2.5463917525773194,0.5320460405182028,709.4571996829652,729.1093732799495,874.8116629984961,0.2400388726919339,754.8162245086977,1358.8684254549294,35.18016429350631,11,0.0750544419742421,2.5463917525773194,reticular,reticular,0.2400388726919339,True,874.8116629984961
103,286,37,0,10,9,11.378839242796328,,5.1328125,361.8671875,1,11.378839242796328,11,744.2371807949193,913.6193756366883,0.06493506493506493,0.18181818181818182,2,0.7272727272727273,1.6666666666666667,0.282842712474619,713.7505125648323,745.8595470229357,874.8116629984961,0.06493506493506493,744.2371807949193,913.6193756366883,0.7388856651166447,2,0.17576485240057788,1.6666666666666667,minimal,minimal,0.06493506493506493,True,874.8116629984961
103,150,38,0,10,11,46.51748047646107,,5.609375,389.609375,1,46.51748047646107,47,731.821615764306,1169.3118900114446,0.22796352583586627,0.2978723404255319,4,0.17021276595744683,1.9230769230769231,0.3973243846867024,678.1661739580082,709.3614357607734,874.8116629984961,0.22796352583586627,731.821615764306,1169.3118900114446,10.604288862415137,4,0.0859891799605117,1.9230769230769231,discontinuous,discontinuous,0.22796352583586627,True,874.8116629984961
