face_id,label,area_poly_px,area_pixels,perimeter_px,n_sides,n_cell_neighbors_multiplicity,n_cell_neighbors_distinct,n_gap_sides,n_holes,touches_border,centroid_row,centroid_col,area_um2,perimeter_um
0,714,1457.5148315429688,1458,192.12339435540468,4,3,3,0,0,True,13.915175671888552,22.52637606343757,,
1,701,1412.0855407714844,1413,168.27672179210072,6,5,5,0,0,True,27.011562386715262,61.929082218968915,,
2,399,1274.8488464355469,1275,144.89003378433944,6,5,5,0,0,True,28.830132397918106,88.07809369498355,,
3,672,294.04296875,294,78.01807561395461,4,3,3,0,0,True,4.901642553692018,108.76993354228938,,
4,705,432.73046875,433,87.80142341674019,4,3,3,0,0,True,6.866036336516097,136.9540948480947,,
5,670,1747.9002227783203,1746,242.6050880281086,7,6,6,0,0,True,36.584917361707134,146.66115530228714,,
6,627,2974.19970703125,2973,270.94492074431264,7,6,6,0,0,True,30.63894991660007,223.28860635610184,,
7,477,1338.163833618164,1338,147.81636191766233,5,4,4,0,0,True,15.045060554010906,275.3988586153013,,
8,581,468.65406799316406,469,87.68465489270214,4,3,3,0,0,True,8.048956802317624,311.2751277708406,,
9,262,696.9290618896484,697,132.14409431740035,5,4,4,0,0,True,16.484540037743276,336.4922147681803,,
10,474,756.7736968994141,757,121.59434969379483,5,4,4,0,0,True,23.40542936988709,354.36696525384787,,
11,598,602.9567718505859,603,121.66021841975223,4,3,3,0,0,True,12.472782341050793,371.72524678711557,,
12,700,437.05364990234375,436,94.99698197041631,5,4,4,0,0,True,7.187360079838824,405.04984184827515,,
13,447,1452.28271484375,1452,170.8835841962045,6,5,5,0,0,True,23.274410376049275,431.16698818929393,,
14,269,769.2470703125,769,146.17538139520911,5,4,4,0,0,True,21.682361259535398,465.2026735440358,,
15,125,319.76953125,320,88.7449269277928,4,3,3,0,0,True,4.326583515043794,486.9241228557402,,
16,570,1226.5141296386719,1226,142.64212786883252,5,4,4,0,0,True,17.75367796183493,519.2749565973032,,
17,441,3486.792678833008,3486,381.9459490573994,9,8,8,0,0,True,39.74660626891694,546.5506663083574,,
18,336,1817.1132049560547,1816,220.61220897519053,7,6,6,0,0,True,25.18599341781256,613.1972819958102,,
19,62,1054.3472290039062,1056,167.5660341952651,4,3,3,0,0,True,10.676337675486726,649.5902136382088,,
20,444,521.7394561767578,521,109.911437944565,5,4,4,0,0,True,10.086217631574083,686.6260502405182,,
21,7,2019.484130859375,2018,230.93421930986665,6,5,5,0,0,True,21.236110774799947,753.8884716506176,,
22,671,1357.8289489746094,1359,172.7802667695011,3,2,2,0,0,True,9.921493299401746,793.6387813007457,,
23,316,3641.1050567626953,3639,335.71083122662577,9,8,8,0,0,True,23.034479500317108,843.5430002323163,,
24,299,647.7722473144531,648,111.79103762800841,4,3,3,0,0,True,14.811036147257246,909.795436714433,,
25,292,257.78515625,258,68.55261832387997,5,4,4,0,0,True,7.3283451346165505,932.8509627678314,,
26,459,847.34765625,848,121.0069530753448,4,3,3,0,0,True,12.493671482191866,958.3718335516588,,
