cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
723,740,31,0,1,0,60.53574063580274,,27.75390625,18.75390625,1,60.53574063580274,61,611.3449416856408,871.2816697689016,0.03044496487119438,0.04918032786885246,4,0.8524590163934427,1.4444444444444444,0.34401045807689073,594.3541732118415,599.4875501533651,776.3802550381891,0.03044496487119438,611.3449416856408,871.2816697689016,1.8430084971087484,4,0.0660766674032278,1.4444444444444444,discontinuous,discontinuous,0.03044496487119438,False,776.3802550381891
723,737,32,0,1,2,8.147153766947142,,4.3515625,41.640625,1,8.147153766947142,8,623.6886399002809,814.99729132114,0.05357142857142857,0.25,1,0.75,1.5,0.3333333333333333,617.9516176475387,613.0348530555623,776.3802550381891,0.05357142857142857,623.6886399002809,814.99729132114,0.436454666086454,1,0.12274225190851096,1.5,minimal,minimal,0.05357142857142857,True,776.3802550381891
706,737,33,0,3,2,22.71084181946428,,11.140625,83.859375,1,22.71084181946428,23,605.5779930581541,868.4750213257774,0.037267080745341616,0.13043478260869565,1,0.8695652173913043,2.0,0.408248290463863,588.1004758858602,596.9880441621791,776.3802550381891,0.037267080745341616,605.5779930581541,868.4750213257774,0.8463667758806565,1,0.04403183325168299,2.0,minimal,minimal,0.037267080745341616,False,776.3802550381891
706,735,34,0,3,4,28.535611770527098,,11.53515625,106.53515625,1,28.535611770527098,29,626.2676287573407,872.7567637762273,0.054187192118226604,0.10344827586206896,2,0.7931034482758621,1.8333333333333333,0.3748277841470601,605.4692564680456,615.3506055037715,776.3802550381891,0.054187192118226604,626.2676287573407,872.7567637762273,1.5462646772206803,2,0.07008786130408785,1.8333333333333333,discontinuous,discontinuous,0.054187192118226604,True,776.3802550381891
735,742,35,0,4,5,45.36701233691008,,11.17578125,144.82421875,1,45.36701233691008,45,598.1685493723196,1060.978962423375,0.03492063492063492,0.08888888888888889,1,0.9111111111111111,2.75,0.30151134457776363,587.0663011434084,582.7159716602648,776.3802550381891,0.03492063492063492,598.1685493723196,1060.978962423375,1.5842448752571774,1,0.022042447771823216,2.75,discontinuous,discontinuous,0.03492063492063492,False,776.3802550381891
374,742,36,0,6,5,11.745112137257335,,5.390625,219.390625,1,11.745112137257335,12,724.2933219365418,1022.4974976379934,0.36904761904761907,1.0,1,0.0,2.5833333333333335,0.40160966445124946,711.6251285179243,684.0989751121107,776.3802550381891,0.36904761904761907,724.2933219365418,1022.4974976379934,4.334505669702112,1,0.08514180097334646,2.5833333333333335,punctate,punctate,0.36904761904761907,True,776.3802550381891
374,437,37,0,6,7,29.94734453402778,,10.5390625,241.4609375,1,29.94734453402778,30,611.2293796587561,1000.6464507774599,0.047619047619047616,0.1,2,0.8,1.6666666666666667,0.565685424949238,618.8294783175168,579.6660027045272,776.3802550381891,0.047619047619047616,611.2293796587561,1000.6464507774599,1.4260640254298942,2,0.06678388455201738,1.6666666666666667,discontinuous,discontinuous,0.047619047619047616,False,776.3802550381891
119,437,38,0,8,7,38.848169967383086,,18.609375,260.609375,1,38.848169967383086,39,595.4362160266073,913.5927199747066,0.02564102564102564,0.07692307692307693,2,0.8717948717948718,1.4,0.5714285714285715,597.4445176388813,571.3446691783845,776.3802550381891,0.02564102564102564,595.4362160266073,913.5927199747066,0.9961069222405919,2,0.05148247656657185,1.4,minimal,minimal,0.02564102564102564,False,776.3802550381891
119,730,39,0,8,9,4.5444603598349005,,1.28125,275.71875,1,4.5444603598349005,5,774.994231626157,1092.7681315708364,0.45714285714285713,1.0,1,0.0,3.2,0.36443449342783124,830.0065924802591,683.2837236381163,776.3802550381891,0.45714285714285713,774.994231626157,1092.7681315708364,2.077467593067383,1,0.2200481291108302,3.2,thick,thick,0.45714285714285713,True,776.3802550381891
730,734,40,0,9,10,22.219749195071923,,4.3203125,288.390625,1,22.219749195071923,22,733.5909206693885,1263.2805453960327,0.35714285714285715,0.7272727272727273,2,0.045454545454545414,2.619047619047619,0.2757409252382383,691.814840632304,706.6999774624423,776.3802550381891,0.35714285714285715,733.5909206693885,1263.2805453960327,7.935624712525687,2,0.09001001687469885,2.619047619047619,punctate,punctate,0.35714285714285715,True,776.3802550381891
703,734,41,0,11,10,23.5599342013525,,9.5,312.5,1,23.5599342013525,24,618.5376314718973,1026.8356125284868,0.05952380952380952,0.125,1,0.875,3.3333333333333335,0.5099019513592785,591.4285734457789,635.4035875746331,776.3802550381891,0.05952380952380952,618.5376314718973,1026.8356125284868,1.4023770357947916,1,0.042444940272481455,3.3333333333333335,discontinuous,discontinuous,0.05952380952380952,True,776.3802550381891
373,703,42,0,12,11,29.71945917087839,,15.5,334.5,1,29.71945917087839,30,612.0935457786715,961.2914861446526,0.06666666666666667,0.13333333333333333,1,0.8666666666666667,3.5,0.47380354147934284,614.8449375223526,596.3106321866652,776.3802550381891,0.06666666666666667,612.0935457786715,961.2914861446526,1.9812972780585594,1,0.03364798781331403,3.5,discontinuous,discontinuous,0.06666666666666667,True,776.3802550381891
262,373,43,0,13,12,30.143296385976097,,8.13671875,369.13671875,1,30.143296385976097,30,594.8123642545737,969.2033088829829,0.08095238095238096,0.2,1,0.8,2.8333333333333335,0.13153341044116407,581.3535385599778,595.7331946827891,776.3802550381891,0.08095238095238096,594.8123642545737,969.2033088829829,2.440171612198065,1,0.03317487202445586,2.8333333333333335,discontinuous,discontinuous,0.08095238095238096,True,776.3802550381891
104,262,44,0,14,13,37.22477683986699,,13.16796875,422.83203125,1,37.22477683986699,37,649.9785396831375,951.8181796440837,0.08108108108108109,0.16216216216216217,4,0.7027027027027026,1.9090909090909092,0.47140452079103157,645.7682112141086,629.2981577865072,776.3802550381891,0.08108108108108109,649.9785396831375,951.8181796440837,3.018225149178405,4,0.10745531174591436,1.9090909090909092,discontinuous,discontinuous,0.08108108108108109,True,776.3802550381891
55,104,45,0,15,14,22.538329831239327,,7.5,491.5,1,22.538329831239327,23,646.7773941539969,956.0231924356654,0.07453416149068323,0.21739130434782608,1,0.782608695652174,2.4,0.33333333333333337,627.2688970766902,644.1115177258658,776.3802550381891,0.07453416149068323,646.7773941539969,956.0231924356654,1.6798755153718754,1,0.044368859959354516,2.4,discontinuous,discontinuous,0.07453416149068323,True,776.3802550381891
55,360,46,0,15,16,45.75575200942049,,11.49609375,533.49609375,1,45.75575200942049,46,671.7528459309862,1399.3543769907706,0.19254658385093168,0.30434782608695654,4,0.5217391304347826,2.8181818181818183,0.4230605499549677,641.074986244401,669.412124883749,776.3802550381891,0.19254658385093168,671.7528459309862,1399.3543769907706,8.810113740944319,4,0.08742070284794913,2.8181818181818183,discontinuous,discontinuous,0.19254658385093168,True,776.3802550381891
360,721,47,0,16,17,32.65103811334389,,17.35546875,564.35546875,1,32.65103811334389,33,593.2270925626733,724.073182602082,0.0,0.0,0,1.0,,,593.1084227230186,578.0984115908452,776.3802550381891,0.0,593.2270925626733,724.073182602082,0.0,0,0.0,,minimal,minimal,0.0,False,776.3802550381891
69,721,48,0,18,17,36.309033324248986,,16.83203125,610.83203125,1,36.309033324248986,36,703.1826230453879,1256.8956900490132,0.1746031746031746,0.19444444444444445,4,0.5833333333333333,2.933333333333333,0.5349364679972646,704.3020817602618,670.1818117139155,776.3802550381891,0.1746031746031746,703.1826230453879,1256.8956900490132,6.33967248518633,4,0.11016542258999223,2.933333333333333,discontinuous,discontinuous,0.1746031746031746,True,776.3802550381891
69,378,49,0,18,19,6.780276240429236,,2.86328125,661.86328125,1,6.780276240429236,7,719.4105041096632,1143.8919052665763,0.32653061224489793,1.0,1,0.0,2.2857142857142856,0.3061862178478973,696.1386983994831,652.4729360414536,776.3802550381891,0.32653061224489793,719.4105041096632,1143.8919052665763,2.2139677519768934,1,0.14748661625867523,2.2857142857142856,punctate,punctate,0.32653061224489793,True,776.3802550381891
378,557,50,0,19,20,50.20157073031635,,24.86328125,676.13671875,1,50.20157073031635,50,701.5284486686959,1461.874123470726,0.15714285714285714,0.14,6,0.5,2.2,0.5604012729971797,683.8701276239785,690.9117273506848,776.3802550381891,0.15714285714285714,701.5284486686959,1461.874123470726,7.88881825762114,6,0.1195181726928844,2.2,reticular,reticular,0.15714285714285714,True,776.3802550381891
557,720,51,0,20,21,31.11930859237721,,13.859375,696.140625,1,31.11930859237721,31,644.0236536999537,1166.4128236684328,0.18433179723502305,0.3548387096774194,2,0.5161290322580645,2.6666666666666665,0.37914377220257756,629.9567361648998,610.1187655929198,776.3802550381891,0.18433179723502305,644.0236536999537,1166.4128236684328,5.736278081544186,2,0.06426878007469317,2.6666666666666665,punctate,punctate,0.18433179723502305,True,776.3802550381891
368,720,52,0,22,21,14.931536096842192,,7.1328125,727.1328125,1,14.931536096842192,15,576.3637311260364,813.5453584402125,0.009523809523809525,0.06666666666666667,1,0.9333333333333333,1.0,,577.0154050061377,567.2946689473462,776.3802550381891,0.009523809523809525,576.3637311260364,813.5453584402125,0.14220510568421138,1,0.06697234588017276,1.0,minimal,minimal,0.009523809523809525,False,776.3802550381891
97,368,53,0,23,22,48.03035655519289,,18.75,758.75,1,48.03035655519289,48,624.3727105576493,944.8608359506073,0.05654761904761905,0.0625,7,0.7291666666666667,1.4615384615384615,0.5102820902543505,626.5345996770312,596.5209188814492,776.3802550381891,0.05654761904761905,624.3727105576493,944.8608359506073,2.7160023052043596,7,0.1457411625074264,1.4615384615384615,discontinuous,discontinuous,0.05654761904761905,True,776.3802550381891
97,711,54,0,23,24,10.64351679239066,,4.171875,780.171875,1,10.64351679239066,11,865.5690315554168,1205.3040210866006,0.6753246753246753,1.0,1,0.0,4.7272727272727275,0.18243909577894493,865.53292560962,805.6247700939174,776.3802550381891,0.6753246753246753,865.5690315554168,1205.3040210866006,7.187829522133952,1,0.09395390823406483,4.7272727272727275,thick,thick,0.6753246753246753,True,776.3802550381891
531,711,55,0,25,24,23.368939427498425,,11.13671875,829.86328125,1,23.368939427498425,23,674.1133711030158,1108.8807956165685,0.2111801242236025,0.30434782608695654,3,0.4347826086956522,2.6153846153846154,0.5911691541835817,650.9258578665624,663.556431010988,776.3802550381891,0.2111801242236025,674.1133711030158,1108.8807956165685,4.93505553127296,3,0.12837553066143323,2.6153846153846154,discontinuous,discontinuous,0.2111801242236025,True,776.3802550381891
148,531,56,0,26,25,19.163681313284936,,8.1328125,873.1328125,1,19.163681313284936,19,666.7048559578038,1106.0158255111094,0.15037593984962405,0.3157894736842105,2,0.631578947368421,2.857142857142857,0.5744562646538028,597.0509801813032,733.9779305041052,776.3802550381891,0.15037593984962405,666.7048559578038,1106.0158255111094,2.8817565884639,2,0.10436408158246348,2.857142857142857,punctate,punctate,0.15037593984962405,True,776.3802550381891
58,148,57,0,27,26,41.7431273411214,,17.140625,894.140625,1,41.7431273411214,42,744.7594390676179,1239.1718920499272,0.36394557823129253,0.38095238095238093,3,0.23809523809523814,3.34375,0.42035301203829945,706.0120934662535,734.607199047121,776.3802550381891,0.36394557823129253,744.7594390676179,1239.1718920499272,15.192226617346906,3,0.0718681179654856,3.34375,discontinuous,discontinuous,0.36394557823129253,True,776.3802550381891
58,272,58,0,27,28,24.71021307800679,,10.31640625,928.68359375,1,24.71021307800679,25,728.4248944689593,1056.0548458960852,0.32,0.52,3,0.19999999999999996,2.8,0.29014422873699863,697.9066451118107,706.1129421395834,776.3802550381891,0.32,728.4248944689593,1056.0548458960852,7.907268184962174,3,0.12140728979266212,2.8,discontinuous,discontinuous,0.32,True,776.3802550381891
100,272,59,0,29,28,8.273695165509938,,4.16796875,940.89453125,1,8.273695165509938,8,552.3626934228105,938.686767226203,0.05357142857142857,0.125,1,0.875,3.0,,553.647652311585,545.361289615448,776.3802550381891,0.05357142857142857,552.3626934228105,938.686767226203,0.4432336695808895,1,0.12086497991473515,3.0,minimal,minimal,0.05357142857142857,True,776.3802550381891
100,728,60,0,29,30,7.299666057925772,,2.9921875,994.984375,1,7.299666057925772,7,650.4260223346694,1051.909772097645,0.10204081632653061,0.2857142857142857,2,0.5714285714285714,1.6666666666666667,0.282842712474619,623.9609771939367,647.8570700524239,776.3802550381891,0.10204081632653061,650.4260223346694,1051.909772097645,0.7448638834618134,2,0.27398513632393584,1.6666666666666667,minimal,minimal,0.10204081632653061,True,776.3802550381891
