vertex_id,row,col,degree,kind,n_cells,n_gaps,touches_outer,incident_faces_cyclic,incident_edges_cyclic,row_um,col_um
0,-0.5,11.5,3,regular,2,0,True,"[0, 1, 669]","[0, 26, 1]",,
1,-0.5,73.5,3,regular,2,0,True,"[1, 2, 669]","[1, 27, 2]",,
2,-0.5,99.5,3,regular,2,0,True,"[2, 3, 669]","[2, 28, 3]",,
3,-0.5,136.5,3,regular,2,0,True,"[3, 4, 669]","[3, 29, 4]",,
4,-0.5,160.5,3,regular,2,0,True,"[4, 5, 669]","[4, 30, 5]",,
5,-0.5,197.5,3,regular,2,0,True,"[5, 6, 669]","[5, 31, 6]",,
6,-0.5,237.5,3,regular,2,0,True,"[6, 7, 669]","[6, 32, 7]",,
7,-0.5,284.5,3,regular,2,0,True,"[7, 8, 669]","[7, 33, 8]",,
8,-0.5,336.5,3,regular,2,0,True,"[8, 9, 669]","[8, 34, 9]",,
9,-0.5,343.5,3,regular,2,0,True,"[9, 10, 669]","[9, 35, 10]",,
10,-0.5,381.5,3,regular,2,0,True,"[10, 11, 669]","[10, 36, 11]",,
11,-0.5,442.5,3,regular,2,0,True,"[11, 12, 669]","[11, 37, 12]",,
12,-0.5,468.5,3,regular,2,0,True,"[12, 13, 669]","[12, 38, 13]",,
13,-0.5,493.5,3,regular,2,0,True,"[13, 14, 669]","[13, 39, 14]",,
14,-0.5,502.5,3,regular,2,0,True,"[14, 15, 669]","[14, 40, 15]",,
15,-0.5,557.5,3,regular,2,0,True,"[15, 16, 669]","[15, 41, 16]",,
16,-0.5,561.5,3,regular,2,0,True,"[16, 17, 669]","[16, 42, 17]",,
17,-0.5,622.5,3,regular,2,0,True,"[17, 18, 669]","[17, 43, 18]",,
18,-0.5,681.5,3,regular,2,0,True,"[18, 19, 669]","[18, 44, 19]",,
19,-0.5,726.5,3,regular,2,0,True,"[19, 20, 669]","[19, 45, 20]",,
20,-0.5,751.5,3,regular,2,0,True,"[20, 21, 669]","[20, 46, 21]",,
21,-0.5,780.5,3,regular,2,0,True,"[21, 22, 669]","[21, 47, 22]",,
22,-0.5,856.5,3,regular,2,0,True,"[22, 23, 669]","[22, 48, 23]",,
23,-0.5,942.5,3,regular,2,0,True,"[23, 24, 669]","[23, 49, 24]",,
24,-0.5,982.5,3,regular,2,0,True,"[24, 25, 669]","[24, 50, 25]",,
25,2.5,681.5,3,regular,3,0,False,"[26, 19, 18]","[51, 52, 44]",,
26,3.5,336.5,3,regular,3,0,False,"[28, 9, 8]","[54, 55, 34]",,
27,4.5,441.5,3,regular,3,0,False,"[29, 12, 11]","[56, 57, 37]",,
