n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
499,613,0,499,613,550,352,0.0,1348,1641,0,1348,1641,1348,1636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844,1026,25,0.02962085308056872,0.024366471734892786,0.026737967914438502,2.3029553284237725,2.23606797749979,3.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,3.4986730472940546,1.4072468723760432,2.0914261749180114,0.5795852235904083,0.46454894068372815,0.5157300869319619,40.024992192379,12.041594578792296,0,0,True,True,1.0,4126,3.0,0.5,0.8847137410193682,0.0,0.0,0.0,41.233784914016724,cellpose_sam,corneacrop-1-12-1,cornea,"[500, 500]"
492,603,0,492,603,541,357,0.0,1331,1612,0,1331,1612,1331,1606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837,1007,21,0.025089605734767026,0.020854021847070508,0.022776572668112796,1.9840772029398819,2.23606797749979,3.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,3.508476353489976,1.4128192813499385,2.095657072140037,0.5676168757126567,0.4538463643578446,0.5043957438401161,38.48376280978771,13.0,0,0,True,True,1.0,4059,3.0,0.5,0.29450497403740883,0.0,0.0,0.0,0.5400369167327881,cellpose_sam,corneacrop-1-12-2,cornea,"[500, 500]"
487,594,0,487,594,520,340,0.0,1322,1582,0,1322,1582,1321,1574,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829,986,19,0.022919179734620022,0.019269776876267748,0.0209366391184573,1.8117358197167492,2.0,3.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,3.6363386513607345,1.3680734911272914,2.268265160233443,0.5741106719367589,0.4656361272819759,0.5142149417776606,46.09772228646444,16.1245154965971,0,0,True,True,1.0,4004,3.0,0.5,0.2836070847697556,0.0,0.0,0.0,0.5116996765136719,cellpose_sam,corneacrop-1-12-3,cornea,"[500, 500]"
487,528,0,487,528,470,282,0.0,1321,1350,0,1321,1350,1321,1344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832,822,18,0.021634615384615384,0.021897810218978103,0.02176541717049577,1.8508834889783559,2.0,2.8284271247461903,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,4.000374896918306,1.1576808310729008,2.8426940658454054,0.5354531317208748,0.47859820700896494,0.505431823796881,55.54277630799526,21.02379604162864,0,0,True,True,1.0,3704,3.0,0.5,0.280870467890054,0.0,0.0,0.0,0.474041223526001,cellpose_sam,corneacrop-1-12-4,cornea,"[500, 500]"
486,502,0,486,502,445,267,0.0,1317,1273,0,1317,1273,1317,1268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824,770,13,0.015776699029126214,0.016883116883116882,0.01631116687578419,1.7345981904988117,1.4142135623730951,2.897056274847714,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,4.182080364429414,1.1171268987745067,3.0649534656549076,0.5045092662944732,0.4723156089193825,0.4878819271738486,61.07372593840988,30.9434452114805,0,0,True,True,1.0,3591,3.0,0.5,0.2877909019589424,0.0,0.0,0.0,0.4558224678039551,cellpose_sam,corneacrop-1-12-5,cornea,"[500, 500]"
483,584,0,483,584,492,330,0.0,1295,1515,0,1295,1515,1294,1508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806,928,17,0.02109181141439206,0.018318965517241378,0.0196078431372549,1.5921582002865662,2.23606797749979,3.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,3.7161578889859688,1.3910835236003192,2.3250743653856496,0.5810533289168599,0.47476326991573276,0.5225581388604977,36.68787265568828,14.0,0,0,True,True,1.0,3894,3.0,0.5,0.3166941269300878,0.0,0.0,0.0,0.49858880043029785,cellpose_sam,corneacrop-1-12-6,cornea,"[500, 500]"
519,587,0,519,587,518,339,0.0,1445,1561,0,1445,1561,1445,1559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917,972,28,0.030534351145038167,0.02880658436213992,0.029645314981471674,1.814093266651053,2.0,2.8284271247461903,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,3.8481224873426974,1.2967714427301527,2.5513510446125447,0.5459845367252775,0.4644108691905555,0.501904802378547,62.12889826803627,21.213203435596427,0,0,True,True,1.0,4140,3.0,0.5,0.3188629150390625,0.0,0.0,0.0,0.5020406246185303,cellpose_sam,corneacrop-1-3-1,cornea,"[500, 500]"
517,563,0,517,563,491,317,0.0,1442,1482,0,1442,1482,1441,1475,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924,920,13,0.01406926406926407,0.014130434782608696,0.014099783080260303,2.109460044201403,2.23606797749979,3.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,4.025678805495236,1.262250408384125,2.7634283971111104,0.5288145066136745,0.4659763753756434,0.4954107873307694,55.00909015790027,23.53720459187964,0,0,True,True,1.0,4017,3.0,0.5,0.3246805681847036,0.0,0.0,0.0,0.478607177734375,cellpose_sam,corneacrop-1-3-2,cornea,"[500, 500]"
517,554,1,516,553,465,282,0.5059171597633136,1415,1367,0,1415,1367,1411,1361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870,808,19,0.021839080459770115,0.023514851485148515,0.02264600715137068,1.9328180870717895,2.0,3.0,0.0,0.0,19,0.0009447566008651982,0.5059171597633136,0.0018674136321195146,0.0009345794392523365,0.0,4.401402960228803,1.2136244350038137,3.1877785252249895,0.5560334158415842,0.4887649252561973,0.5202336570485143,52.49761899362675,21.37755832643195,0,0,True,True,1.0,3870,3.0,0.5,0.30825651343911886,0.0,0.0,0.0,0.5294854640960693,cellpose_sam,corneacrop-1-3-3,cornea,"[500, 500]"
527,496,0,527,496,414,233,0.0,1436,1173,0,1436,1173,1432,1165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876,676,11,0.012557077625570776,0.016272189349112426,0.014175257731958763,1.9202197722611332,2.0,3.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,4.904081533284862,1.060212444728374,3.843869088556488,0.5177358950156806,0.511067778861084,0.5143802274835465,64.4437739428721,30.06159968503185,0,0,True,True,1.0,3643,3.0,0.5,0.2884637601673603,0.0,0.0,0.0,0.4729950428009033,cellpose_sam,corneacrop-1-3-4,cornea,"[500, 500]"
