n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
90,11,7,83,4,0,0,0.7708589677394582,166,0,0,166,0,63,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.10685173810249916,0.7708589677394582,0.13861386138613863,0.07446808510638298,0.041237113402061855,2.741236350564666,0.5323913990810961,2.2088449514835697,0.09162523045980223,0.34452256747561805,0.14475349775000051,684.6911712589845,482.66054312812173,0,0,True,True,1.0,253,3.0,0.5,4.319094588980079,0.0,0.0,0.0,44.15297317504883,cellpose_sam,Training-labeled/cell_00001,neurips_cellseg,"[1920, 2560]"
107,8,5,102,3,0,0,0.7770032244246048,225,3,0,225,3,62,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.06756549777605259,0.7770032244246048,0.08695652173913043,0.045454545454545456,0.026785714285714284,2.356977661689969,0.4252262532112864,1.9317514084786827,0.0630722593417471,0.300655635341867,0.10427042017954012,961.0332980703635,688.2242337599137,0,0,True,True,1.0,333,3.0,0.5,3.8543616896495223,0.0,0.0,0.0,5.100741386413574,cellpose_sam,Training-labeled/cell_00003,neurips_cellseg,"[1920, 2560]"
26,11,6,20,5,2,0,0.7676217402793274,6,0,0,6,0,3,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.24895840225275484,0.7676217402793274,0.32432432432432434,0.1935483870967742,0.12121212121212122,1.3571259818409298,0.6890816985565353,0.6680442832843946,0.21447548506561467,0.28042780748663104,0.24305714244256174,788.8485279190169,371.1280102606108,0,0,True,True,1.0,31,3.0,0.5,1.4012496499344707,0.0,0.0,0.0,2.853722333908081,cellpose_sam,Training-labeled/cell_00006,neurips_cellseg,"[1536, 2040]"
29,14,10,19,4,3,0,0.8134238903953779,39,2,0,39,2,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.3783366932071525,0.8134238903953779,0.46511627906976744,0.30303030303030304,0.19444444444444445,1.2696186953027069,0.5488875346775465,0.7207311606251603,0.2510506372717878,0.40690491947937346,0.3105186613172924,516.2480024174428,374.1498798865174,0,0,True,True,1.0,64,3.0,0.5,1.277481738012284,0.0,0.0,0.0,2.9946460723876953,cellpose_sam,Training-labeled/cell_00009,neurips_cellseg,"[1536, 2040]"
31,15,6,25,9,0,0,0.8943779302686184,32,5,0,32,5,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.23331598180920482,0.8943779302686184,0.2608695652173913,0.15,0.12195121951219512,1.6382456323498582,1.0329756353124493,0.6052699970374089,0.26108080463689054,0.2825067628494139,0.27137152271955334,528.7239355277951,409.34172752515923,0,0,True,True,1.0,71,3.0,0.5,1.3152521480806172,0.0,0.0,0.0,2.777149200439453,cellpose_sam,Training-labeled/cell_00012,neurips_cellseg,"[1536, 2040]"
137,115,114,23,1,0,0,0.950268230737799,15,15,14,1,1,15,15,14,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.08431843333936696,0.0670234282176346,-0.05185010681214086,0.30228367720105737,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.8597664944770562,0.950268230737799,0.9047619047619048,0.8260869565217391,0.8260869565217391,0.11896827582148252,0.0662794321994768,0.052688843622005724,0.9509914422876227,0.9723691448398426,0.9615614894846978,186.94651641579205,3.0,0,0,True,True,1.0,26,3.0,0.5,3.14608096703887,0.9655172413793104,1.0,0.9333333333333333,4.832800388336182,cellpose_sam,Training-labeled/cell_00014,neurips_cellseg,"[2160, 2560]"
18,7,2,16,5,1,0,0.7938424652069294,13,2,0,13,2,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.1270147944331087,0.7938424652069294,0.16,0.08695652173913043,0.041666666666666664,1.338386527885536,0.8225582152749352,0.5158283126106007,0.17413008368815153,0.19235648588645735,0.1827900598062635,627.1794001719126,544.9756800381842,0,0,True,True,1.0,36,3.0,0.5,1.7158055142499506,0.0,0.0,0.0,2.6864380836486816,cellpose_sam,Training-labeled/cell_00017,neurips_cellseg,"[1536, 2040]"
85,18,12,73,6,1,0,0.8772841596808006,39,6,0,39,6,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.2044157265275652,0.8772841596808006,0.23300970873786409,0.13186813186813187,0.10752688172043011,1.5854458509039415,0.8259813266247586,0.7594645242791828,0.2908935023577684,0.3710014947683109,0.3260998335437306,254.78618486880328,183.00163933202455,0,0,True,True,1.0,124,3.0,0.5,1.8589227478951216,0.0,0.0,0.0,3.239593267440796,cellpose_sam,Training-labeled/cell_00020,neurips_cellseg,"[1536, 2040]"
36,25,17,19,8,3,0,0.9194389927717128,37,9,1,36,8,12,7,2,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.02702702702702703,0.1111111111111111,0.043478260869565216,0.012033756245142063,0.012033756245142063,0.012033756245142063,0.012033756245142063,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.51247419269243,0.9194389927717128,0.5573770491803278,0.38636363636363635,0.35555555555555557,1.2698220009191903,0.7973763256039583,0.472445675315232,0.5445096600635853,0.5668994499721896,0.5554790292922006,314.75863768926183,134.8119057632688,0,0,True,True,1.0,71,3.0,0.5,1.8020905051380396,0.11764705882352942,0.09090909090909091,0.16666666666666666,3.074596405029297,cellpose_sam,Training-labeled/cell_00023,neurips_cellseg,"[1536, 2040]"
26,22,15,11,7,0,0,0.871722218385145,32,13,1,31,12,9,10,2,0.2222222222222222,0.2,0.2105263157894737,0.03125,0.07692307692307693,0.044444444444444446,0.01579906164433969,0.01579906164433969,0.01579906164433969,0.01579906164433969,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.5448263864907156,0.871722218385145,0.625,0.45454545454545453,0.2972972972972973,1.3084497905548695,1.0757887420591699,0.23266104849569957,0.5261390061148911,0.3883608985435695,0.4468711612384733,344.81879299133334,211.2161215015015,0,0,True,True,1.0,61,3.0,0.5,1.828548228368163,0.23529411764705882,0.25,0.2222222222222222,3.0462026596069336,cellpose_sam,Training-labeled/cell_00025,neurips_cellseg,"[1536, 2040]"
