n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
359,11,4,355,7,6,0,0.7065337949476924,924,0,0,924,0,843,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,571,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.015276406377247405,0.7065337949476924,0.021621621621621623,0.01092896174863388,0.0027100271002710027,4.662601499611899,0.11987896901711206,4.542722530594787,0.0638458426686582,0.5041959628033568,0.11333960213920086,685.9190914386331,505.6631289525157,0,0,True,True,1.0,1286,3.0,0.5,2.672093501780182,0.0,0.0,0.0,12.035845279693604,neural,Training-labeled/cell_00001,neurips_cellseg,"[1920, 2560]"
102,8,2,100,6,1,1,0.722962588666335,224,3,0,224,3,206,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.026289548678775816,0.722962588666335,0.03636363636363636,0.018518518518518517,0.009174311926605505,3.015735602564233,0.3684724114950059,2.6472631910692273,0.04586257548555574,0.20746175460505775,0.07511896214261697,857.7557927522262,716.6203666750337,0,0,True,True,1.0,333,3.0,0.5,2.6897459691390395,0.0,0.0,0.0,6.280073165893555,neural,Training-labeled/cell_00003,neurips_cellseg,"[1920, 2560]"
39,11,6,33,5,1,0,0.8118953514197803,73,0,0,73,0,65,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.19485488434074727,0.8118953514197803,0.24,0.13636363636363635,0.08695652173913043,1.2722505445729728,0.8655076210648212,0.40674292350815167,0.23404693289419515,0.2727272727272727,0.2519109338650714,782.2384546926851,625.4833722508969,0,0,True,True,1.0,111,3.0,0.5,1.2697526412084699,0.0,0.0,0.0,4.678539752960205,neural,Training-labeled/cell_00006,neurips_cellseg,"[1536, 2040]"
78,14,7,71,7,4,0,0.7829404844429304,127,2,0,127,2,122,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.11914311719783724,0.7829404844429304,0.15217391304347827,0.08235294117647059,0.045454545454545456,1.2413404760248592,0.7048516296552216,0.5364888463696377,0.19472674294648568,0.3375248180013236,0.24697009194660818,600.0041666521992,377.6860464038969,0,0,True,True,1.0,207,3.0,0.5,1.2435257039032876,0.0,0.0,0.0,3.419964075088501,neural,Training-labeled/cell_00009,neurips_cellseg,"[1536, 2040]"
40,15,5,35,10,2,2,0.8048634601601823,81,5,0,81,5,70,5,1,0.014285714285714285,0.2,0.026666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.14633881093821496,0.8048634601601823,0.18181818181818182,0.1,0.057692307692307696,1.3751894024563143,0.6593634006315131,0.7158260018248012,0.2770938933140237,0.34815148782687105,0.30858493044438384,531.989661553681,358.6122550863989,0,0,True,True,1.0,131,3.0,0.5,1.2111951913684607,0.028169014084507046,0.015151515151515152,0.2,4.269682884216309,neural,Training-labeled/cell_00012,neurips_cellseg,"[1536, 2040]"
146,115,104,42,11,77,0,0.7473529373292934,195,15,2,193,13,189,15,7,0.037037037037037035,0.4666666666666667,0.06862745098039214,0.010256410256410256,0.13333333333333333,0.01904761904761905,0.31809529758745547,0.31809529758745547,-0.31809529758745547,0.35636057096074825,72,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.5955916128907779,0.7473529373292934,0.7969348659003831,0.6624203821656051,0.29207920792079206,0.37672424145821654,0.28620211469487294,0.09052212676334358,0.44898530139669013,0.5610375322642068,0.4987958630706992,318.54983911469805,19.0,0,0,True,True,1.0,259,3.0,0.5,3.08004135126248,0.0404040404040404,0.02185792349726776,0.26666666666666666,9.146202802658081,neural,Training-labeled/cell_00014,neurips_cellseg,"[2160, 2560]"
46,7,1,45,6,2,1,0.5588319033013679,81,2,0,81,2,74,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.021087996350995016,0.5588319033013679,0.03773584905660377,0.019230769230769232,0.0,1.8400705236142456,0.700924284634368,1.1391462389798777,0.07212666145426114,0.13479226133840785,0.09397029202545303,927.2162638780663,755.2110631681295,0,0,True,True,1.0,134,3.0,0.5,1.2023342279717326,0.0,0.0,0.0,3.192319393157959,neural,Training-labeled/cell_00017,neurips_cellseg,"[1536, 2040]"
54,18,13,41,5,7,1,0.71654762993549,120,6,0,120,6,113,5,2,0.017699115044247787,0.4,0.033898305084745756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.25875331081003805,0.71654762993549,0.3611111111111111,0.22033898305084745,0.07462686567164178,1.555611542814443,0.5455952210306421,1.010016321783801,0.3036784820441185,0.44013452914798207,0.3593897490248192,457.86133271985307,172.41258487366238,0,0,True,True,1.0,172,3.0,0.5,1.3295974801294506,0.03508771929824561,0.01834862385321101,0.4,4.6556477546691895,neural,Training-labeled/cell_00020,neurips_cellseg,"[1536, 2040]"
167,25,14,153,11,13,2,0.7697924493419667,403,9,0,403,9,363,7,1,0.0027548209366391185,0.14285714285714285,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.11226139886237015,0.7697924493419667,0.14583333333333334,0.07865168539325842,0.03783783783783784,1.899728984913057,0.6747221765387507,1.2250068083743064,0.2846565488200719,0.5617699771336753,0.377850877821712,556.493486035551,210.3584230318225,0,0,True,True,1.0,576,3.0,0.5,1.2897960129193962,0.0,0.0,0.0,3.5113439559936523,neural,Training-labeled/cell_00023,neurips_cellseg,"[1536, 2040]"
230,22,5,225,17,10,6,0.6215874533780139,617,13,0,617,13,585,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.02466616878484182,0.6215874533780139,0.03968253968253968,0.020242914979757085,0.00398406374501992,3.26000918322608,0.5000299266833654,2.759979256542714,0.1759327424246886,0.40378918785485063,0.24508211771973712,707.9491507163491,147.06002115358436,0,0,True,True,1.0,872,3.0,0.5,1.3326610028743744,0.0,0.0,0.0,3.8589694499969482,neural,Training-labeled/cell_00025,neurips_cellseg,"[1536, 2040]"
