n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
115,120,113,2,7,0,5,0.9536846067098836,330,381,251,79,130,304,307,273,0.8980263157894737,0.8892508143322475,0.8936170212765957,0.7606060606060606,0.6587926509186351,0.7060478199718706,0.37211084776773323,0.11157486946594415,0.3275853463928884,6.777424454237663,165,119,102,0.6181818181818182,0.8571428571428571,0.7183098591549295,0.9958868227471943,1.0,2.23606797749979,0.8235294117647058,0.8235294117647058,18,0.9171605153890795,0.9536846067098836,0.9617021276595744,0.9262295081967213,0.88,0.49870134661565124,0.28675746753426845,0.2119438790813828,0.9996219281663516,0.9752979882422739,0.9873101662941409,28.600699292150182,2.0,0,0,True,True,1.0,236,3.0,0.5,0.23253740184009075,0.8750000000000001,0.8657243816254417,0.8844765342960289,3.1928486824035645,neural,tile_00000,synth,"[512, 512]"
135,158,119,16,39,10,26,0.8428152875173818,423,407,187,236,220,355,407,226,0.6366197183098592,0.5552825552825553,0.5931758530183728,0.44208037825059104,0.4594594594594595,0.45060240963855425,0.3285376605823551,0.20675957685776147,0.2973470952905484,4.498095456332583,208,16,8,0.038461538461538464,0.5,0.07142857142857144,1.8903021868590582,2.118033988749895,2.732623792124926,0.25,0.25,6,0.6846076396898869,0.8428152875173818,0.8122866894197952,0.6839080459770115,0.4797979797979798,1.2376270326916377,0.7416229018800843,0.4960041308115533,0.9545598983158564,0.8938119430332306,0.9231876599381307,28.792360097775937,9.055385138137417,0,0,True,True,1.0,517,3.0,0.5,0.25240263529121876,0.5925925925925926,0.6081871345029239,0.5777777777777777,0.33612632751464844,neural,tile_00001,synth,"[512, 512]"
143,152,142,1,10,0,9,0.9481790936803832,396,448,328,68,120,382,405,357,0.9345549738219895,0.8814814814814815,0.9072426937738247,0.8282828282828283,0.7321428571428571,0.7772511848341231,0.1728688157480144,0.04278320420034326,0.1400215513441482,4.786184326658916,218,205,189,0.8669724770642202,0.9219512195121952,0.8936170212765958,0.8125088046980421,1.0,2.0,0.8835978835978836,0.8835978835978836,22,0.9128232630685723,0.9481790936803832,0.9627118644067797,0.9281045751633987,0.8322981366459627,0.42822253628486723,0.271158236884125,0.15706429940074224,1.0,0.9786088474970897,0.9891887916452158,28.160255680657446,1.4142135623730951,0,0,True,True,1.0,221,3.0,0.5,0.22719739703461528,0.8901098901098902,0.9025069637883009,0.8780487804878049,0.2782292366027832,neural,tile_00002,synth,"[512, 512]"
189,203,182,7,21,1,14,0.8975419541388883,572,823,369,203,454,508,545,439,0.8641732283464567,0.8055045871559633,0.8338081671415005,0.6451048951048951,0.44835965978128794,0.5290322580645161,0.4421468015582955,0.16325743773287987,0.3677177827363154,4.968934280932328,320,343,245,0.765625,0.7142857142857143,0.7390648567119155,1.238311505237148,1.0,2.23606797749979,0.8,0.8,49,0.8334318145575391,0.8975419541388883,0.9285714285714286,0.8666666666666667,0.7981651376146789,1.0165613647085125,0.5432357243552816,0.473325640353231,0.9934682717502753,0.9464082516609771,0.9693674404538408,35.0,3.1622776601683795,0,0,True,True,1.0,734,3.0,0.5,0.30272276932373643,0.7683615819209039,0.728051391862955,0.8133971291866029,0.4442102909088135,neural,tile_00003,synth,"[512, 512]"
110,115,110,0,5,1,5,0.9430943871107961,293,301,269,24,32,292,301,279,0.9554794520547946,0.9269102990033222,0.9409780775716694,0.9180887372013652,0.893687707641196,0.9057239057239058,0.09484064892535403,0.03636444004229052,0.030327264929926014,3.701053346839069,183,187,166,0.907103825136612,0.8877005347593583,0.8972972972972972,1.164436594906862,1.0,2.23606797749979,0.927710843373494,0.927710843373494,12,0.9221367340638895,0.9430943871107961,0.9777777777777777,0.9565217391304348,0.875,0.3771722203707163,0.23046744190674182,0.14670477846397445,0.9890739117732983,0.9697960103685338,0.9793401008971059,49.24428900898052,1.4142135623730951,0,0,True,True,1.0,73,3.0,0.5,0.1852307920344174,0.9371633752244165,0.9525547445255474,0.9222614840989399,0.2600281238555908,neural,tile_00004,synth,"[512, 512]"
270,295,264,6,31,0,17,0.9453873655195184,762,798,640,122,158,737,798,649,0.8805970149253731,0.8132832080200502,0.8456026058631922,0.8398950131233596,0.8020050125313283,0.8205128205128204,0.21109746364347276,0.06704791575141696,0.1385456214057973,8.0,451,433,366,0.811529933481153,0.8452655889145496,0.8280542986425339,1.0000880101577125,1.0,2.23606797749979,0.7868852459016393,0.7868852459016393,78,0.8834770424677977,0.9453873655195184,0.9345132743362832,0.8770764119601329,0.805111821086262,0.532529119654767,0.3603013903807772,0.17222772927398977,0.9997057179011801,0.9717472330497624,0.9855282265457137,21.02379604162864,1.0,0,0,True,True,1.0,395,3.0,0.5,0.2992466357536614,0.8342857142857143,0.8563049853372434,0.8133704735376045,0.37235021591186523,neural,tile_00005,synth,"[512, 512]"
133,138,132,1,6,0,4,0.9773428926074489,353,365,335,18,30,351,365,336,0.9572649572649573,0.9205479452054794,0.9385474860335197,0.9490084985835694,0.9178082191780822,0.9331476323119777,0.06278663476772828,0.027815737508852873,0.019246970846941963,1.4700525267024038,218,228,215,0.9862385321100917,0.9429824561403509,0.9641255605381166,0.7699595327722167,1.0,1.5899494936611567,0.9209302325581395,0.9209302325581395,17,0.9520978732412049,0.9773428926074489,0.974169741697417,0.9496402877697842,0.9084507042253521,0.19601648983427616,0.1329266172380924,0.06308987259618376,0.9997947138824737,0.9804075235109718,0.9900062134533584,32.0624390837628,1.0,0,0,True,True,1.0,72,3.0,0.5,0.19807440228760242,0.9321533923303834,0.9518072289156626,0.9132947976878613,0.270097017288208,neural,tile_00006,synth,"[512, 512]"
210,234,195,15,39,3,24,0.8827935776557038,574,639,433,141,206,574,639,452,0.7874564459930313,0.7073552425665102,0.7452596867271228,0.7543554006968641,0.6776212832550861,0.7139323990107171,0.2119882559858738,0.10650440172180534,0.06988930512507728,3.6917840302137495,365,406,253,0.6931506849315069,0.6231527093596059,0.6562905317769131,1.5463688846716146,1.4142135623730951,2.8284271247461903,0.6837944664031621,0.6837944664031621,80,0.7754267911840641,0.8827935776557038,0.8783783783783784,0.7831325301204819,0.6946564885496184,0.930759131583718,0.5769028680542846,0.3538562635294335,0.9789707970374918,0.9478897654508791,0.9631796065084794,26.019223662515376,3.605551275463989,0,0,True,True,1.0,481,3.0,0.5,0.236856522038579,0.7466185752930568,0.7738317757009345,0.7212543554006968,0.2684333324432373,neural,tile_00007,synth,"[512, 512]"
232,243,229,3,14,0,10,0.9471896929548224,650,681,584,66,97,633,663,585,0.9241706161137441,0.8823529411764706,0.9027777777777778,0.8984615384615384,0.8575624082232012,0.8775356874530428,0.13945798394190478,0.049113369968354796,0.07315884599891825,4.8482194362705675,399,408,361,0.9047619047619048,0.8848039215686274,0.8946716232961586,0.9917702640018781,1.0,2.23606797749979,0.8614958448753463,0.8614958448753463,50,0.9132902723648604,0.9471896929548224,0.9642105263157895,0.9308943089430894,0.8774703557312253,0.45847736292528096,0.2759642024358768,0.18251316048940416,0.999593871146391,0.9826327976984072,0.991040770064087,22.627416997969522,1.0,0,0,True,True,1.0,230,3.0,0.5,0.2712912308052182,0.8957795004306632,0.8996539792387543,0.8919382504288165,0.27756738662719727,neural,tile_00008,synth,"[512, 512]"
203,212,198,5,14,0,8,0.9351151126744643,623,693,452,171,241,556,574,497,0.8938848920863309,0.8658536585365854,0.879646017699115,0.7255216693418941,0.6522366522366523,0.6869300911854104,0.359451063084867,0.11364730605313798,0.31396955950647965,6.522437853488075,347,253,230,0.6628242074927954,0.9090909090909091,0.7666666666666667,0.9941138835420269,1.0,2.23606797749979,0.8521739130434782,0.8521739130434782,34,0.8923026135399709,0.9351151126744643,0.9542168674698795,0.9124423963133641,0.8863636363636364,0.7590271847763987,0.39787689500362833,0.36115028977277047,0.9995960575214089,0.9734672954685257,0.9863586683132022,23.769728648009426,2.23606797749979,0,0,True,True,1.0,465,3.0,0.5,0.2957279961556196,0.8308308308308308,0.7950191570881227,0.870020964360587,0.4765148162841797,neural,tile_00009,synth,"[512, 512]"
