checkpoint,image_id,condition,n_cells,n_nuclei_peaks,frac_nuclei_in_cells,frac_cells_one_nucleus,frac_cells_no_nucleus,n_tricellular,n_gaps,boundary_interior_ratio,render_loglik_per_px,seconds
pimorph_proposals_v0_mixed,EGM2_regular_static-42,static,107,323,1.0,0.21333333333333335,0.3933333333333333,165,0,1.5098283290863037,-5.266551397653529e-06,2.79008412361145
pimorph_proposals_v0_mixed,EGM2_regular_static-49,static,79,562,1.0,0.06611570247933884,0.39669421487603307,114,0,1.3298479318618774,-5.287582098389976e-06,2.2867350578308105
pimorph_proposals_v0_mixed,EGM2_regular_6dyn-28,6dyne,168,174,1.0,0.5,0.3584905660377358,279,0,2.07718563079834,-4.8351903387811035e-06,2.0756750106811523
pimorph_proposals_v0_mixed,EGM2_regular_6dyn-30,6dyne,189,192,1.0,0.5462555066079295,0.32158590308370044,309,0,2.339576244354248,-4.780495146405883e-06,1.604767084121704
pimorph_proposals_v1_multi,EGM2_regular_static-42,static,69,323,0.9628482972136223,0.32894736842105265,0.10526315789473684,68,516,1.6171613931655884,-5.2454952310654335e-06,2.629127025604248
pimorph_proposals_v1_multi,EGM2_regular_static-49,static,41,562,0.8345195729537367,0.1276595744680851,0.1276595744680851,29,336,1.2514535188674927,-5.260538728180109e-06,2.4567151069641113
pimorph_proposals_v1_multi,EGM2_regular_6dyn-28,6dyne,145,174,1.0,0.7181208053691275,0.087248322147651,219,449,2.164072036743164,-4.770753548655193e-06,2.382586717605591
pimorph_proposals_v1_multi,EGM2_regular_6dyn-30,6dyne,163,192,0.9947916666666666,0.6766467065868264,0.10778443113772455,232,348,2.3496932983398438,-4.754998371936381e-06,2.332934856414795
pimorph_proposals_v2_endo,EGM2_regular_static-42,static,91,323,0.9071207430340558,0.21495327102803738,0.2616822429906542,110,179,1.4692566394805908,-5.2201894504833035e-06,2.531743049621582
pimorph_proposals_v2_endo,EGM2_regular_static-49,static,64,562,0.8629893238434164,0.11594202898550725,0.10144927536231885,64,73,1.3202661275863647,-5.252170012681745e-06,1.9697821140289307
pimorph_proposals_v2_endo,EGM2_regular_6dyn-28,6dyne,169,174,0.9942528735632183,0.6722222222222223,0.2,275,79,2.453693389892578,-4.789472313859733e-06,2.3450963497161865
pimorph_proposals_v2_endo,EGM2_regular_6dyn-30,6dyne,168,192,1.0,0.7613636363636364,0.09090909090909091,271,79,2.6250436305999756,-4.742083547171205e-06,2.6917970180511475
best,EGM2_regular_static-42,static,88,323,0.9814241486068112,0.30097087378640774,0.21359223300970873,127,44,1.9277693033218384,-5.201553449296625e-06,2.427415132522583
best,EGM2_regular_static-49,static,57,562,0.8985765124555161,0.1,0.1,72,42,1.6032586097717285,-5.216686076892074e-06,1.7672309875488281
best,EGM2_regular_6dyn-28,6dyne,146,174,0.9942528735632183,0.6688311688311688,0.12987012987012986,245,17,2.4197635650634766,-4.829301360587124e-06,2.661160945892334
best,EGM2_regular_6dyn-30,6dyne,160,192,1.0,0.727810650887574,0.09467455621301775,264,8,2.621206283569336,-4.769887254951755e-06,1.9784770011901855
