statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.0010349695653398,0.0017101333046965,0.0,0.0038610038610038,0.0,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_fraction,0.0,0.0,0.0,0.0,0.0,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
area_degree_spearman,0.3775853066570703,0.0261368469604965,0.3324784443378903,0.4093442727762393,0.3845494643901128,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_enrichment_z,0.0,0.0,0.0,0.0,,7,1.0404379863987858,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_null_mean,0.0,0.0,0.0,0.0,,7,1.0404379863987858,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
tricellular_realized_3clique_fraction,0.9612015800961076,0.0043634701977756,0.9578947368421052,0.968421052631579,0.9578947368421052,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
n_cells,141.63205454224885,0.9170814127867226,141.0,143.0,141.0,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
n_cell_cell_edges,260.6524645683647,2.378769339646528,259.0,265.0,259.0,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
mean_degree,3.26970611744917,0.0105021295981528,3.2624113475177303,3.2867132867132867,3.2624113475177303,24,4.000000000000002,060721_EGM2_18dyn03,high_shear,rep1,junction_channel,neural:best.pt,24,1
reticular_fraction,0.1500903515203176,0.0005815102174165,0.1493506493506493,0.1506550218340611,0.1506550218340611,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0034771814649064,1.7884409641295013e-05,0.0034602076124567,0.0034965034965034,0.0034965034965034,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.6086171422073425,0.0117485337463247,0.588847260738109,0.6291724174738641,0.6045506145342132,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.0093611733197832,0.0238840956222249,-0.0397591030461462,0.0377120586488311,-0.0219286013375609,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0035105426533541,9.175603678363886e-05,0.0033321799307958,0.0035916955017301,0.0035734265734265,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9807059493414524,0.0016345947681537,0.9792387543252596,0.9825174825174824,0.9825174825174824,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,170.68424508996662,0.9350480640541232,170.0,172.0,170.0,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,459.729811860835,1.7838777054471882,458.0,462.0,458.0,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.29321760478946,0.0129123235283158,5.27906976744186,5.317647058823529,5.294117647058823,32,4.000000000000001,EGM2_regular_18-20dyn-01,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1685277418434164,0.0014536994097884,0.1670103092783505,0.1704781704781705,0.1683991683991684,29,4.000000000000001,EGM2_regular_18-20dyn-02,high_shear,rep 1,junction_channel,neural:best.pt,29,1
all_reticular_3clique_fraction,0.0033548407120374,6.296324895187237e-05,0.0033444816053511,0.0033670033670033,0.0033557046979865,29,4.000000000000001,EGM2_regular_18-20dyn-02,high_shear,rep 1,junction_channel,neural:best.pt,29,1
area_degree_spearman,0.7918787964344582,0.0058591827226559,0.7868619885900735,0.7983911684663912,0.7868619885900735,29,4.000000000000001,EGM2_regular_18-20dyn-02,high_shear,rep 1,junction_channel,neural:best.pt,29,1
all_reticular_3clique_enrichment_z,-0.4168643908990208,0.0464705713338575,-0.4732184553686423,-0.3329017984260486,-0.4139784059053573,29,4.000000000000001,EGM2_regular_18-20dyn-02,high_shear,rep 1,junction_channel,neural:best.pt,29,1
