n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
289,283,281,8,2,3,3,0.8972563185278032,797,780,764,33,16,797,780,764,0.958594730238394,0.9794871794871794,0.9689283449587826,0.958594730238394,0.9794871794871794,0.9689283449587826,0.10196566285720098,0.07568863835713303,-0.00993875141651727,1.0,509,498,495,0.9724950884086444,0.9939759036144579,0.9831181727904668,0.9920620324510668,1.0,2.23606797749979,0.9656565656565657,0.9656565656565657,17,0.8815700192528416,0.8972563185278032,0.9825174825174825,0.9656357388316151,0.958904109589041,0.15754282361012273,0.07602061926428341,0.08152220434583932,0.9970793348036001,1.0,0.9985375317116847,8.94427190999916,1.0,0,0,True,True,1.0,76,3.0,0.5,0.7594709848053753,0.9251497005988024,0.9155555555555556,0.9349470499243571,12.628292322158813,cellpose_sam_filled,1,alizarine,"[576, 768]"
392,384,384,8,0,0,7,0.8783552704248231,1092,1075,1071,21,4,1092,1075,1071,0.9807692307692307,0.9962790697674418,0.9884633133364098,0.9807692307692307,0.9962790697674418,0.9884633133364098,0.1255699194722279,0.09090909090909091,-0.0003657499787244121,2.5444286682232686,702,692,664,0.9458689458689459,0.9595375722543352,0.9526542324246772,1.125454418080048,1.0,2.23606797749979,0.9909638554216867,0.9909638554216867,6,0.8693000614513713,0.8783552704248231,0.9896907216494846,0.9795918367346939,0.9546599496221663,0.23896201789544458,0.11667060369248383,0.12229141420296073,0.999563433161617,0.9998259355961706,0.9996946671467505,4.123105625617661,1.4142135623730951,0,0,True,True,1.0,39,3.0,0.5,0.39464526902884245,0.9373695198329854,0.9482576557550159,0.9267285861713106,0.31046223640441895,cellpose_sam_filled,2,alizarine,"[576, 768]"
267,264,264,3,0,0,2,0.9090479436286468,734,728,726,8,2,734,728,726,0.989100817438692,0.9972527472527473,0.9931600547195624,0.989100817438692,0.9972527472527473,0.9931600547195624,0.08792392969575559,0.07102299748315496,-0.00918536680731601,0.6160408413058034,468,465,462,0.9871794871794872,0.9935483870967742,0.990353697749196,0.8772989055409816,1.0,2.0,0.9956709956709957,0.9956709956709957,2,0.9039120795403495,0.9090479436286468,0.9943502824858758,0.9887640449438202,0.9887640449438202,0.12971378745430845,0.06403919778530828,0.06567458966900017,1.0,1.0,1.0,2.8284271247461903,1.0,0,0,True,True,1.0,15,3.0,0.5,0.3035934856161475,0.9556574923547401,0.9645061728395061,0.946969696969697,0.29700613021850586,cellpose_sam_filled,3,alizarine,"[576, 768]"
278,275,275,3,0,1,2,0.9098871140324862,768,761,758,10,3,768,761,758,0.9869791666666666,0.9960578186596584,0.9914977109221713,0.9869791666666666,0.9960578186596584,0.9914977109221713,0.09769812290041349,0.07183641439133659,-0.013058823069954517,0.8367215441595655,491,487,482,0.9816700610997964,0.9897330595482546,0.9856850715746421,1.0052119555488555,1.0,2.23606797749979,0.9937759336099585,0.9937759336099585,3,0.9049510175729971,0.9098871140324862,0.9945750452079566,0.9892086330935251,0.982078853046595,0.15894693195000548,0.07786645358976745,0.08108047836023802,0.998475867908552,1.0,0.9992373527667147,9.0,1.0,0,0,True,True,1.0,19,3.0,0.5,0.3176172599196434,0.9673202614379085,0.9765395894428153,0.958273381294964,0.29854798316955566,cellpose_sam_filled,4,alizarine,"[576, 768]"
337,332,332,5,0,0,4,0.9107999731229333,937,923,923,14,0,937,923,923,0.9850586979722519,1.0,0.9924731182795699,0.9850586979722519,1.0,0.9924731182795699,0.0910626231333754,0.07048412614139553,-0.010776820475419042,0.7763944315088769,601,592,591,0.9833610648918469,0.9983108108108109,0.9907795473595976,0.9741990809621367,1.0,2.23606797749979,1.0,1.0,0,0.9039927984359158,0.9107999731229333,0.992526158445441,0.9851632047477745,0.9851632047477745,0.16877742859694123,0.08295102582257884,0.0858264027743624,1.0,1.0,1.0,2.23606797749979,1.0,0,0,True,True,1.0,19,3.0,0.5,0.35032494086772203,0.959901295496607,0.956949569495695,0.9628712871287128,0.3177480697631836,cellpose_sam_filled,5,alizarine,"[576, 768]"
314,312,311,3,1,0,2,0.9117919789281997,865,865,857,8,8,865,865,858,0.991907514450867,0.991907514450867,0.991907514450867,0.9907514450867052,0.9907514450867052,0.9907514450867052,0.09593696719880163,0.06927248155805928,-0.005010387871015622,2.1836008691813857,552,554,547,0.9909420289855072,0.9873646209386282,0.9891500904159132,0.9456561248526927,1.0,2.165247584249837,0.9908592321755028,0.9908592321755028,5,0.9059658320979876,0.9117919789281997,0.9936102236421726,0.9873015873015873,0.9810126582278481,0.16791978099459626,0.08371037363816222,0.08420940735643404,1.0,0.9994954845870542,0.9997476786435204,5.656854249492381,1.0,0,0,True,True,1.0,25,3.0,0.5,0.34848516434431076,0.9616908850726552,0.9642384105960264,0.9591567852437418,0.3061211109161377,cellpose_sam_filled,6,alizarine,"[576, 768]"
266,265,265,1,0,0,1,0.9180572445308631,730,728,727,3,1,730,728,727,0.9958904109589041,0.9986263736263736,0.9972565157750344,0.9958904109589041,0.9986263736263736,0.9972565157750344,0.0863769188507745,0.06698527685487349,-0.0172927521171835,0.8278012104074661,465,464,460,0.989247311827957,0.9913793103448276,0.9903121636167922,0.9475305763892254,1.0,2.0,0.9978260869565218,0.9978260869565218,1,0.9163283231663982,0.9180572445308631,0.9981167608286252,0.9962406015037594,0.9962406015037594,0.1338983119666728,0.0665521006458139,0.06734621132085887,1.0,1.0,1.0,2.23606797749979,1.0,0,0,True,True,1.0,6,3.0,0.5,0.3041280438192189,0.9622047244094488,0.9760383386581469,0.9487577639751553,0.2943735122680664,cellpose_sam_filled,7,alizarine,"[576, 768]"
376,370,369,7,1,1,3,0.9018573136565748,1048,1030,1021,27,9,1048,1030,1021,0.9742366412213741,0.9912621359223301,0.9826756496631376,0.9742366412213741,0.9912621359223301,0.9826756496631376,0.0960488549783443,0.07223133670614236,-0.012552270574889212,1.8786712179197946,673,661,655,0.9732540861812778,0.9909228441754917,0.9820089955022488,0.9105090874100552,1.0,2.0,0.9862595419847329,0.9862595419847329,9,0.8921859215530191,0.9018573136565748,0.9892761394101877,0.9787798408488063,0.9787798408488063,0.20747003326570645,0.10190853310069234,0.10556150016501412,0.9989297658862877,1.0,0.9994645964395663,8.54400374531753,1.0,0,0,True,True,1.0,53,3.0,0.5,0.37596543226391077,0.9452679589509693,0.9346110484780158,0.9561707035755479,0.30403733253479004,cellpose_sam_filled,8,alizarine,"[576, 768]"
306,303,303,3,0,0,2,0.9127202292244841,841,836,835,6,1,841,836,835,0.9928656361474435,0.9988038277511961,0.9958258795468098,0.9928656361474435,0.9988038277511961,0.9958258795468098,0.08953072841998695,0.07021324972706736,-0.011865225151888694,0.8278012104074661,536,534,530,0.9888059701492538,0.9925093632958801,0.9906542056074766,0.8462635418798673,1.0,1.7363961030678663,0.9962264150943396,0.9962264150943396,2,0.9082240704598316,0.9127202292244841,0.9950738916256158,0.9901960784313726,0.9901960784313726,0.1380412165111567,0.06836817130074761,0.06967304521040907,1.0,1.0,1.0,3.0,1.0,0,0,True,True,1.0,12,3.0,0.5,0.3274906389415264,0.9553072625698324,0.9553072625698324,0.9553072625698324,0.31580615043640137,cellpose_sam_filled,9,alizarine,"[576, 768]"
423,414,414,9,0,0,6,0.9000566567178986,1182,1161,1159,23,2,1182,1161,1159,0.9805414551607445,0.9982773471145564,0.9893299189073838,0.9805414551607445,0.9982773471145564,0.9893299189073838,0.09862139920465121,0.07486045594087257,-0.007048672316356726,1.6153888634162323,760,748,742,0.9763157894736842,0.9919786096256684,0.9840848806366047,0.9468662445498055,1.0,2.23606797749979,0.9973045822102425,0.9973045822102425,2,0.8903786281510395,0.9000566567178986,0.989247311827957,0.9787234042553191,0.9787234042553191,0.22182019341918052,0.10855324555168666,0.11326694786749386,1.0,1.0,1.0,2.8284271247461903,1.0,0,0,True,True,1.0,36,3.0,0.5,0.40747693413868546,0.951219512195122,0.9521484375,0.9502923976608187,0.29941654205322266,cellpose_sam_filled,10,alizarine,"[576, 768]"
