n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
280,283,275,5,8,2,6,0.9230066096645522,770,780,735,35,45,770,780,737,0.9571428571428572,0.9448717948717948,0.9509677419354838,0.9545454545454546,0.9423076923076923,0.9483870967741935,0.07928074325988066,0.06029724783420027,0.0030789876251036056,1.4112834299913597,490,498,483,0.9857142857142858,0.9698795180722891,0.9777327935222672,0.6976576781110532,1.0,1.4142135623730951,0.9420289855072463,0.9420289855072463,28,0.90169384603109,0.9230066096645522,0.9769094138543517,0.9548611111111112,0.9215017064846417,0.12293543071771713,0.06390576048423084,0.05902967023348629,0.9983691712974149,0.9963335304553519,0.9973503121667967,7.0710678118654755,1.0,0,0,True,True,1.0,121,3.0,0.5,0.3081279299221933,0.9118311981914091,0.9084084084084084,0.9152798789712556,5.561604261398315,neural,1,alizarine,"[576, 768]"
376,384,369,7,15,1,15,0.8773222738826824,1050,1075,1006,44,69,1049,1075,1009,0.9618684461391802,0.9386046511627907,0.9500941619585688,0.9580952380952381,0.935813953488372,0.9468235294117647,0.12188603852590227,0.08302776512278028,0.025547891271943114,1.9241097181352838,673,692,656,0.974739970282318,0.9479768786127167,0.9611721611721612,1.007565055152212,1.0,2.23606797749979,0.9435975609756098,0.9435975609756098,37,0.8519261027966047,0.8773222738826824,0.9710526315789474,0.9437340153452686,0.8952618453865336,0.24665818372216164,0.12932687377781898,0.11733130994434264,0.9981909636427815,0.9906005221932115,0.9943812580406703,9.486832980505138,1.4142135623730951,0,0,True,True,1.0,172,3.0,0.5,0.37803954165428877,0.9042105263157895,0.9226638023630505,0.8864809081527347,0.60512375831604,neural,2,alizarine,"[576, 768]"
273,264,264,9,0,8,0,0.9143208310153612,753,728,703,50,25,746,728,708,0.9490616621983914,0.9725274725274725,0.960651289009498,0.9335989375830013,0.9656593406593407,0.949358541525996,0.09997483669266442,0.06425437109773816,-0.03335883921495861,0.8043003471260098,456,465,441,0.9671052631578947,0.9483870967741935,0.9576547231270358,0.6933357725425,1.0,1.4142135623730951,0.9523809523809523,0.9523809523809523,21,0.8989970182050478,0.9143208310153612,0.9832402234636871,0.967032967032967,0.8710801393728222,0.14806287279852287,0.08319999151027675,0.06486288128824613,0.9830110935023771,0.9998719590268886,0.9913698405477488,9.219544457292887,1.0,0,0,True,True,1.0,105,3.0,0.5,0.3104667947627604,0.921644685802948,0.9443561208267091,0.9,0.6365394592285156,neural,3,alizarine,"[576, 768]"
282,275,273,9,2,6,1,0.8914651312575198,763,761,716,47,45,758,761,726,0.9577836411609498,0.9540078843626807,0.9558920342330481,0.9384010484927916,0.9408672798948752,0.9396325459317586,0.16864141342156783,0.11648256984097276,-0.11031323666034197,0.9060724244113162,365,487,356,0.9753424657534246,0.731006160164271,0.8356807511737089,0.9592633841709143,1.0,2.0,0.9634831460674157,0.9634831460674157,13,0.8738598952721828,0.8914651312575198,0.9802513464991023,0.9612676056338029,0.9206896551724137,0.2964710740518979,0.1840116131393662,0.1124594609125317,0.9877994428969359,0.998546511627907,0.9931439039063816,10.295630140987,1.4142135623730951,0,0,True,True,1.0,116,3.0,0.5,0.4991927109658718,0.8778210116731519,0.9559322033898305,0.8115107913669065,0.6882939338684082,neural,4,alizarine,"[576, 768]"
323,332,321,2,11,0,8,0.9102930538599732,896,923,866,30,57,896,923,867,0.9676339285714286,0.9393282773564464,0.9532710280373833,0.9665178571428571,0.9382448537378115,0.9521715228147334,0.0941472285031008,0.07122231187682168,0.011571155928569457,1.5118141485889354,571,592,570,0.9982486865148862,0.9628378378378378,0.9802235597592434,0.9441544816059018,1.0,2.0,0.9456140350877194,0.9456140350877194,31,0.8922261688215309,0.9102930538599732,0.9801526717557252,0.9610778443113772,0.9264705882352942,0.17944304279486356,0.09832974790262601,0.08111329489223754,0.9990325372982332,0.9919326899282356,0.9954699544688184,10.0,1.0,0,0,True,True,1.0,131,3.0,0.5,0.34503335785120726,0.9263420724094882,0.9345088161209067,0.9183168316831684,0.7632796764373779,neural,5,alizarine,"[576, 768]"
309,312,307,2,5,0,4,0.9243778961771141,855,865,841,14,24,855,865,842,0.9847953216374269,0.9734104046242774,0.9790697674418605,0.9836257309941521,0.9722543352601156,0.977906976744186,0.0899977544273524,0.06249379622378448,0.008907657031535015,1.8339460121886586,543,554,542,0.998158379373849,0.9783393501805054,0.9881494986326345,0.7988495819731819,1.0,1.4142135623730951,0.974169741697417,0.974169741697417,14,0.913958177540657,0.9243778961771141,0.9887278582930756,0.9777070063694268,0.9589905362776026,0.15156482912834573,0.07966580022205964,0.0718990289062861,1.0,0.9969224559810302,0.9984588565220687,8.54400374531753,1.0,0,0,True,True,1.0,59,3.0,0.5,0.3400998283177614,0.9442970822281166,0.9506008010680908,0.9380764163372859,0.5756180286407471,neural,6,alizarine,"[576, 768]"
273,265,254,19,11,5,0,0.8651610496029455,642,728,574,68,154,637,728,597,0.9372056514913658,0.820054945054945,0.8747252747252748,0.8940809968847352,0.7884615384615384,0.837956204379562,0.18357423795794256,0.09179028547182441,-0.13643392030045207,0.9245190670688643,290,464,288,0.993103448275862,0.6206896551724138,0.7639257294429708,0.7716464019328518,1.0,1.4142135623730951,0.9791666666666666,0.9791666666666666,6,0.8169178683983203,0.8651610496029455,0.9442379182156134,0.8943661971830986,0.6503067484662577,0.4310779684618374,0.3209067900445122,0.11017117841732516,0.9682018223517015,0.9875917198592138,0.9778006545887504,9.848857801796104,2.23606797749979,0,0,True,True,1.0,258,3.0,0.5,0.3066354338079691,0.7601128880526811,0.964200477326969,0.6273291925465838,0.6747026443481445,neural,7,alizarine,"[576, 768]"
369,370,368,1,2,1,2,0.9173638048140268,1026,1030,1009,17,21,1024,1030,1013,0.9892578125,0.983495145631068,0.9863680623174294,0.9834307992202729,0.9796116504854369,0.9815175097276264,0.09707733126117661,0.0703106003176342,-0.01584367409202755,1.3063762078186758,631,661,624,0.9889064976228209,0.9440242057488654,0.9659442724458205,0.8280047407681081,1.0,1.4142135623730951,0.9823717948717948,0.9823717948717948,11,0.9136397298283135,0.9173638048140268,0.9959404600811907,0.9919137466307277,0.9706666666666667,0.20211304362706628,0.11010989154656023,0.09200315208050605,0.9959239732399983,0.9990804799019178,0.9974997294501392,9.055385138137417,1.0,0,0,True,True,1.0,52,3.0,0.5,0.3806716543622315,0.9523262492820218,0.948512585812357,0.9561707035755479,0.6656551361083984,neural,8,alizarine,"[576, 768]"
296,303,294,2,9,0,6,0.9301958318233264,815,836,790,25,46,815,836,790,0.9693251533742331,0.9449760765550239,0.9569957601453665,0.9693251533742331,0.9449760765550239,0.9569957601453665,0.08126899554390364,0.059557779478647224,0.00904216507431814,2.0,520,534,519,0.9980769230769231,0.9719101123595506,0.9848197343453511,0.6803253983042109,1.0,1.4142135623730951,0.9479768786127167,0.9479768786127167,27,0.9131137714726476,0.9301958318233264,0.9816360601001669,0.9639344262295082,0.9385113268608414,0.11616943496221047,0.06282617451738196,0.05334326044482851,1.0,0.9945664478152593,0.9972758229284903,9.899494936611665,1.0,0,0,True,True,1.0,109,3.0,0.5,0.329366996884346,0.9225352112676057,0.9303977272727273,0.914804469273743,0.6072597503662109,neural,9,alizarine,"[576, 768]"
421,414,411,10,3,5,2,0.9043941341294527,1180,1161,1138,42,23,1177,1161,1139,0.967714528462192,0.9810508182601206,0.9743370402053037,0.964406779661017,0.9801894918173988,0.9722340879965826,0.10470753217770137,0.0750460050942996,-0.014534561971302947,1.0,728,748,716,0.9835164835164835,0.9572192513368984,0.970189701897019,0.9066396047286396,1.0,2.0,0.9748603351955307,0.9748603351955307,18,0.8903137464124672,0.9043941341294527,0.9844311377245509,0.9693396226415094,0.9509345794392523,0.23761108699035258,0.12406688936794598,0.1135441976224066,0.9965310370158756,0.9993121307760784,0.9979196462481128,7.615773105863909,1.0,0,0,True,True,1.0,96,3.0,0.5,0.41359882475808263,0.9312377210216108,0.9386138613861386,0.9239766081871345,0.6340889930725098,neural,10,alizarine,"[576, 768]"
