run,n,adjF1,adjF1_comp,vertexF1,vprec,vrec,incident,PQ,AP50,bF1,pred,ref,pv,rv,loc
alizarine_cellpose_filled,30,0.987,0.987,0.981,0.975,0.987,0.99,0.888,0.979,1.0,348.167,341.533,619.267,610.9,1.0
alizarine_classical,30,0.908,0.904,0.962,0.979,0.946,0.898,0.856,0.905,0.99,330.667,341.533,589.867,610.9,1.0
alizarine_v1multi,30,0.875,0.864,0.849,0.96,0.816,0.915,0.814,0.888,0.952,327.6,341.533,508.467,610.9,1.041
alizarine_v3endo,30,0.904,0.901,0.957,0.984,0.935,0.89,0.854,0.912,0.991,326.367,341.533,580.367,610.9,1.014
flywing_cellpose_filled,42,0.969,0.945,0.857,0.84,0.875,0.976,0.796,0.954,0.996,728.476,758.571,1341.19,1286.667,1.463
flywing_classical,42,0.734,0.71,0.818,0.833,0.805,0.72,0.68,0.725,0.969,670.095,758.571,1243.452,1286.667,1.54
flywing_v1multi,42,0.738,0.712,0.852,0.896,0.813,0.727,0.692,0.724,0.984,621.238,758.571,1167.119,1286.667,1.456
flywing_v3endo,42,0.799,0.773,0.864,0.896,0.836,0.807,0.721,0.773,0.984,642.786,758.571,1199.548,1286.667,1.561
hcec_cellpose,15,0.774,0.694,0.583,0.711,0.523,0.887,0.744,0.765,0.85,1651.133,1670.4,2193.6,3021.467,1.296
hcec_cellpose_filled,15,0.774,0.696,0.584,0.709,0.524,0.885,0.744,0.765,0.85,1651.133,1670.4,2203.667,3021.467,1.276
hcec_classical,15,0.637,0.494,0.293,0.31,0.279,0.609,0.637,0.678,0.809,1480.0,1670.4,2707.533,3021.467,2.087
hcec_v1multi,15,0.585,0.362,0.297,0.342,0.264,0.568,0.596,0.634,0.777,1499.733,1670.4,2333.067,3021.467,2.0
hcec_v2endo,15,0.696,0.434,0.329,0.359,0.304,0.671,0.655,0.729,0.796,1656.733,1670.4,2580.467,3021.467,1.922
hcec_v3endo,15,0.682,0.45,0.324,0.338,0.311,0.654,0.648,0.721,0.786,1627.467,1670.4,2789.933,3021.467,1.961
