n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
712,833,669,43,164,5,59,0.8234274432928052,2062,2308,1677,385,631,2062,2307,1709,0.8288069835111542,0.740788903337668,0.7823300526436257,0.8132880698351116,0.7266031195840554,0.7675057208237986,0.09285378572096559,0.05259841497993445,0.04234179798605863,4.476559447758525,1351,1414,1226,0.9074759437453738,0.867043847241867,0.8867992766726943,1.603520690581951,1.7071067811865475,2.23606797749979,0.7879282218597063,0.7879282218597063,260,0.7131041547739633,0.8234274432928052,0.8660194174757282,0.7636986301369864,0.7071823204419889,1.2720689379326255,0.7146977851446994,0.5573711527879261,0.9997474689501595,0.9811754209880673,0.9903743842947029,12.041594578792296,2.0,0,0,True,True,1.0,1483,3.0,0.5,0.57207045936957,0.7889908256880733,0.8063982349696636,0.7723190702588484,2.6875481605529785,neural,0000,flywing,"[512, 512]"
660,780,617,43,163,4,52,0.8250131685742192,1910,2155,1546,364,609,1909,2147,1577,0.8260869565217391,0.7345132743362832,0.7776134122287968,0.8094240837696335,0.7174013921113689,0.760639606396064,0.11841000748534403,0.0539066925928537,0.06574027345013202,5.562124634379533,1251,1309,1122,0.8968824940047961,0.8571428571428571,0.8765625,1.586009040011445,1.4142135623730951,2.23606797749979,0.7789661319073083,0.7789661319073083,248,0.7069904514031851,0.8250131685742192,0.8569444444444444,0.7496962332928311,0.696113074204947,1.2486356461888097,0.6989601346270993,0.5496755115617105,0.9983591353356638,0.9772790503570435,0.9877066304567511,18.601075237738275,2.0,0,0,True,True,1.0,1427,3.0,0.5,0.5353439738973975,0.7782032400589102,0.7938701923076923,0.7631426920854997,0.31600499153137207,neural,0001,flywing,"[512, 512]"
693,814,656,37,158,11,53,0.8220826595819881,2009,2256,1674,335,582,2008,2253,1706,0.849601593625498,0.7572126054150022,0.8007509974184465,0.8332503733200597,0.7420212765957447,0.7849941383352872,0.09399959703846285,0.05242357557393413,0.04014853287473818,2.8306761165482137,1315,1390,1211,0.9209125475285171,0.8712230215827338,0.8953789279112753,1.6047926030803767,1.4142135623730951,2.23606797749979,0.800990916597853,0.800990916597853,241,0.7157083273865749,0.8220826595819881,0.8706038487060385,0.7708578143360753,0.7086167800453514,1.2539196380162958,0.6994632148307403,0.5544564231855555,0.9987698449540433,0.9823922835433824,0.990513370516357,14.866068747318506,2.0,0,0,True,True,1.0,1353,3.0,0.5,0.7006021621637046,0.8117549209869697,0.832291074474133,0.7922077922077922,0.32563090324401855,neural,0002,flywing,"[512, 512]"
603,786,545,58,241,7,96,0.8203950808060585,1730,2205,1190,540,1015,1726,2186,1232,0.7137891077636153,0.5635864592863677,0.6298568507157464,0.6878612716763006,0.5396825396825397,0.6048284625158831,0.17032278886641586,0.06263730777488308,0.11033385376409245,4.289314150881287,1120,1360,1004,0.8964285714285715,0.7382352941176471,0.8096774193548388,1.589715920230308,1.4142135623730951,2.23606797749979,0.5836653386454184,0.5836653386454184,418,0.6437945558521265,0.8203950808060585,0.7847372210223182,0.6457345971563981,0.5502232142857143,1.3359009534065311,0.8236065704110116,0.5122943829955194,0.9984246652413638,0.9561322675353063,0.9768209082395461,14.560219778561036,2.8284271247461903,0,0,True,True,1.0,2272,3.0,0.5,0.4972297362983227,0.6302601991647928,0.6756198347107438,0.5906080674292595,0.32098817825317383,neural,0003,flywing,"[512, 512]"
563,718,525,38,193,6,90,0.8160482726697968,1619,1993,1173,446,820,1616,1976,1237,0.7654702970297029,0.6260121457489879,0.6887527839643652,0.7245213094502779,0.5885599598595083,0.6495016611295681,0.17240022406730124,0.06353371566631952,0.11456392212730852,4.805516561019473,1050,1213,936,0.8914285714285715,0.7716405605935697,0.827220503756076,1.6034427607921427,1.4142135623730951,2.23606797749979,0.6517094017094017,0.6517094017094017,326,0.668892026778522,0.8160482726697968,0.819672131147541,0.6944444444444444,0.5489721886336155,1.274662564659754,0.7735843072408111,0.501078257418943,0.9978773529892001,0.9586737900691389,0.9778828091546514,15.524174696260024,2.23606797749979,0,0,True,True,1.0,1823,3.0,0.5,0.487691568210721,0.6931972789115646,0.7315147164393395,0.658694246929541,0.3075258731842041,neural,0004,flywing,"[512, 512]"
625,780,572,53,208,12,68,0.8279102468711925,1793,2175,1330,463,845,1791,2159,1377,0.7688442211055276,0.6377952755905512,0.6972151898734178,0.7417735638594535,0.6114942528735632,0.6703629032258065,0.15407802789048347,0.05796732063242675,0.09844528939507163,6.147153766947142,1167,1328,1040,0.8911739502999143,0.7831325301204819,0.8336673346693386,1.5988529755556138,1.4142135623730951,2.23606797749979,0.6798076923076923,0.6798076923076923,333,0.674113396740672,0.8279102468711925,0.8142348754448399,0.6866746698679472,0.6205305651672434,1.2674252470924983,0.7409707825089626,0.5264544645835356,0.9986408974683836,0.9632251764392561,0.9806133736208599,14.0,2.0,0,0,True,True,1.0,1902,3.0,0.5,0.5123869208618999,0.6997785510914268,0.7266754270696452,0.6748017083587553,0.3138148784637451,neural,0005,flywing,"[512, 512]"
411,502,394,17,108,3,41,0.8372825193587351,1180,1393,957,223,436,1174,1369,1004,0.8551959114139693,0.733382030679328,0.7896185607550138,0.8110169491525424,0.6870064608758076,0.7438787407695299,0.14298174614438866,0.05170866629278559,0.08191270556566081,7.594470373639061,762,845,682,0.89501312335958,0.8071005917159764,0.8487865588052271,1.6077721264257077,1.4142135623730951,2.23606797749979,0.7741935483870968,0.7741935483870968,154,0.7226490966644943,0.8372825193587351,0.8630887185104053,0.7591522157996147,0.650994575045208,1.112595456593364,0.6504001346422141,0.4621953219511499,0.9991664510936736,0.9659351091751829,0.9822697966707664,16.15549442140351,2.0,0,0,True,True,1.0,938,3.0,0.5,0.3964725569821894,0.7798976268031642,0.818359375,0.7448888888888889,0.28846001625061035,neural,0006,flywing,"[512, 512]"
594,775,543,51,232,12,103,0.8109869233559113,1707,2171,1161,546,1010,1704,2149,1214,0.7124413145539906,0.5649139134481154,0.6301583181936152,0.680140597539543,0.5347766006448641,0.5987622485817431,0.21025364860970275,0.07169208328078543,0.14163654652532878,9.383183475190457,1100,1322,964,0.8763636363636363,0.7291981845688351,0.7960363336085879,1.6227144754762144,1.7071067811865475,2.23606797749979,0.5819502074688797,0.5819502074688797,403,0.6433395169938054,0.8109869233559113,0.7932797662527392,0.6573849878934624,0.5279017857142857,1.3650786379508513,0.8423993023840388,0.5226793355668123,0.9983687525488242,0.9510002151000215,0.9741089698049439,14.560219778561036,3.0,0,0,True,True,1.0,2242,3.0,0.5,0.49716371297836304,0.6306483300589392,0.6664359861591695,0.598508390304537,0.31230902671813965,neural,0007,flywing,"[512, 512]"
689,795,651,38,144,8,47,0.8255989760930029,1990,2220,1658,332,562,1988,2212,1688,0.8490945674044266,0.7631103074141049,0.8038095238095238,0.8331658291457287,0.7468468468468469,0.7876484560570072,0.11287946063234391,0.055546098473963794,0.06252314062892551,6.151198614355891,1302,1351,1176,0.9032258064516129,0.8704663212435233,0.8865435356200527,1.6011249397660152,1.4142135623730951,2.23606797749979,0.810374149659864,0.810374149659864,223,0.7243462714778234,0.8255989760930029,0.8773584905660378,0.7815126050420168,0.7235772357723578,1.2339230324349093,0.6816402188361783,0.552282813598731,0.9999765769564097,0.9840460941624773,0.9919473795659607,10.816653826391969,1.4142135623730951,0,0,True,True,1.0,1299,3.0,0.5,0.7216352745890617,0.807627593942793,0.821917808219178,0.7938257993384785,0.3259572982788086,neural,0008,flywing,"[512, 512]"
708,849,662,46,187,13,59,0.8258255705316956,2051,2364,1648,403,716,2051,2359,1688,0.8230131643100926,0.7155574395930479,0.7655328798185942,0.80351048269137,0.6971235194585449,0.7465458663646659,0.10812045566803642,0.05002586654313071,0.06104220997162557,4.733615220161204,1344,1443,1219,0.9069940476190477,0.8447678447678447,0.8747757445281664,1.571180886966297,1.4142135623730951,2.23606797749979,0.7694831829368335,0.7694831829368335,281,0.7022434523981792,0.8258255705316956,0.8503532434168273,0.7396648044692737,0.6905537459283387,1.2829501051751908,0.7317728370870067,0.5511772680881842,0.9994713494380215,0.9730810882489447,0.9860996846555139,14.142135623730951,2.0,0,0,True,True,1.0,1633,3.0,0.5,0.5738965468481183,0.7678522943252782,0.7820796460176991,0.7541333333333333,0.3252546787261963,neural,0009,flywing,"[512, 512]"
