n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,vertex_loc_error_mean_um,vertex_loc_error_median_um,vertex_loc_error_p95_um,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,pixel_size_um,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
1846,1957,1515,331,442,149,315,0.7910977310706769,5555,5440,2563,2992,2877,5007,5436,3311,0.6612742160974635,0.6090875643855777,0.6341089725174758,0.4613861386138614,0.47113970588235293,0.46621191450659394,0.22404896160706514,0.13258473370237941,0.042009389957364106,5.197262867958229,2883,3428,1246,0.4321886923343739,0.3634772462077013,0.3948661067976548,1.7161890027907465,2.0,3.0,0.6260032102728732,0.6260032102728732,466,1.1155228518139853,1.3,1.9500000000000002,0.6302987444502107,0.7910977310706769,0.7967394162503287,0.6621503496503497,0.4033210332103321,1.4569236042970375,0.8818634349053079,0.5750601693917295,0.849397702924909,0.8421231489105857,0.8457447834454568,51.088159097779204,9.433981132056603,0,0,True,True,1.0,7108,3.0,0.5,0.65,4.189449756871909,0.6291099047423948,0.6576017130620985,0.6029844885136462,13.563205003738403,neural,L0_1,hcec,"[2048, 2048]"
1701,1976,1489,212,487,100,278,0.8047063268122888,5503,5713,2589,2914,3124,4862,5709,3435,0.7064993829699712,0.6016815554387809,0.6498912118058839,0.47047065237143376,0.45317696481708386,0.46166191155492153,0.19612940601006926,0.1319883961009582,-0.0038938342527186985,3.433200403133303,2874,3729,1207,0.4199721642310369,0.32367927058192547,0.36559139784946243,1.7807235153398877,2.0,3.0,0.656172328086164,0.656172328086164,415,1.157470284970927,1.3,1.9500000000000002,0.6517311507334773,0.8047063268122888,0.8098993744900734,0.6805301645338209,0.47197758206565255,1.7209767703597665,1.0851565751019776,0.635820195257789,0.8010578583765112,0.79237151776739,0.7966910119322022,62.609903369994115,12.0,0,0,True,True,1.0,7152,3.0,0.5,0.65,4.004983375780284,0.6426592797783933,0.7022702702702702,0.5923764362575232,6.439894676208496,neural,L12_1,hcec,"[2048, 2048]"
2246,2509,2053,193,456,118,279,0.8104197349635629,7317,7300,3958,3359,3342,6455,7295,4999,0.7744384198295895,0.6852638793694311,0.7271272727272726,0.5409320759874265,0.5421917808219178,0.5415611958678251,0.21539651870188678,0.13751704929576197,-0.006307242806969475,9.942465724540924,3679,4782,1828,0.49687415058439793,0.3822668339606859,0.4321002245597447,1.7176845861303303,2.0,3.0,0.7324945295404814,0.7324945295404814,489,1.1164949809847147,1.3,1.9500000000000002,0.6998072411693774,0.8104197349635629,0.8635120925341746,0.7598075499629904,0.5133672819859961,1.6647413996315379,1.0249019433169801,0.6398394563145577,0.8458937225546631,0.846888654334892,0.8463908960595127,72.91776189653656,8.602325267042627,0,0,True,True,1.0,7839,3.0,0.5,0.65,4.646746380720288,0.7164133034956401,0.7689249627298327,0.6706154290667438,7.246322393417358,neural,L1_3,hcec,"[2048, 2048]"
886,1309,474,412,835,185,319,0.7296732895793852,2798,3487,337,2461,3150,2214,3480,567,0.25609756097560976,0.1629310344827586,0.19915700737618547,0.12044317369549679,0.09664468024089475,0.10723945902943517,0.23642556619102256,0.17875802315170297,0.02994703811579364,2.6865812224924808,1164,2112,260,0.22336769759450173,0.12310606060606061,0.15873015873015872,1.9112637716838636,2.0,3.0,0.2,0.2,208,1.2423214515945114,1.3,1.9500000000000002,0.3151390790529645,0.7296732895793852,0.4318906605922551,0.27542126670540384,0.12046962736089842,1.908149999394901,1.3991423361372508,0.5090076632576501,0.737990739416476,0.6847171291002371,0.7103565132069479,62.07253821135398,18.0,0,0,True,True,1.0,7066,3.0,0.5,0.65,3.2657707948237658,0.20063279359761774,0.2581417624521073,0.16407914764079148,6.440194845199585,neural,L1_5,hcec,"[2048, 2048]"
2354,2480,2184,170,296,140,223,0.7863871957470244,8138,7232,3654,4484,3578,6781,7221,5637,0.831293319569385,0.7806398005816368,0.8051706899014426,0.4490046694519538,0.505254424778761,0.47547169811320755,0.2301931105460283,0.1651533395032978,-0.050349109704275405,7.309910909188645,3632,4738,1546,0.42566079295154186,0.32629801604052344,0.3694145758661888,1.7984404722077731,2.0,3.0,0.797542043984476,0.797542043984476,313,1.1689863069350526,1.3,1.9500000000000002,0.7105790796489455,0.7863871957470244,0.9035995035167563,0.8241509433962264,0.48373235113566604,1.6156334992406425,0.9141218101449435,0.7015116890956989,0.8096239202802376,0.8462030262129715,0.827509436159978,42.43819034784589,6.324555320336759,0,0,True,True,1.0,8841,3.0,0.5,0.65,4.847739747259766,0.7885508766671661,0.8310170562223625,0.7502138579982891,6.792797088623047,neural,L20_2,hcec,"[2048, 2048]"
1282,1257,1184,98,73,55,62,0.8370534352779446,4822,3625,2082,2740,1543,3636,3623,3152,0.8668866886688669,0.8699972398564725,0.8684391789502686,0.43177104935711325,0.5743448275862069,0.49295607908133066,0.21911015417254295,0.15526149038261933,-0.05732678744357571,6.110591574855018,1842,2360,765,0.4153094462540717,0.3241525423728814,0.3641123274631128,1.903942311732882,2.0,3.0,0.8588235294117647,0.8588235294117647,108,1.2375625026263732,1.3,1.9500000000000002,0.7806784303813205,0.8370534352779446,0.9326506498621504,0.8738007380073801,0.6983277591973244,1.3086276400415162,0.7103788364059627,0.5982488036355535,0.7941756132035949,0.8691261344107721,0.829962190248327,45.5411901469428,8.06225774829855,0,0,True,True,1.0,4562,3.0,0.5,0.65,3.9549762601964176,0.8641975308641976,0.8702486424692769,0.8582299887260428,6.310034513473511,neural,L22_2,hcec,"[2048, 2048]"
1601,1726,1327,274,399,271,295,0.7478392255962343,5169,5001,1737,3432,3264,4547,4978,2841,0.6248075654277546,0.5707111289674568,0.5965354330708661,0.3360417875798027,0.3473305338932214,0.3415929203539823,0.23070934974443985,0.1576580573124933,0.004721038338065207,6.414212791279918,2625,3236,807,0.30742857142857144,0.24938195302843016,0.27537962804982086,1.7303147629854514,2.0,3.0,0.5600991325898389,0.5600991325898389,355,1.1247045959405435,1.3,1.9500000000000002,0.5965630612360703,0.7478392255962343,0.7977156597535318,0.6635,0.2801077337437476,1.7811093803443074,1.0166448958046463,0.7644644845396611,0.7336131357228957,0.7525090165186608,0.7429409465908774,35.4682957019364,10.295630140987,0,0,True,True,1.0,7724,3.0,0.5,0.65,4.604040870908648,0.5971700198982975,0.6252314814814814,0.571519255184088,6.577900648117065,neural,L24_2,hcec,"[2048, 2048]"
1373,1564,1006,367,558,271,359,0.7316319183301863,4295,4434,1040,3255,3394,3816,4428,1816,0.4758909853249476,0.4101174345076784,0.440562833575934,0.2421420256111758,0.23455119530897608,0.23828617252835377,0.2367494865727573,0.1597266640799328,0.010036261434074071,4.1781325211239935,2213,2833,470,0.2123813827383642,0.16590187080833038,0.186286167261197,1.9041093095755734,2.0,3.0,0.40638297872340423,0.40638297872340423,279,1.2376710512241227,1.3,1.9500000000000002,0.5015503498929639,0.7314068409312983,0.6857337419135172,0.5217616580310881,0.2111340206185567,1.981070162679731,1.2081249638767235,0.7729451988030073,0.7094260402791572,0.7148122761862131,0.7121089733019363,49.040799340956916,13.892443989449804,0,0,True,True,1.0,7853,3.0,0.5,0.65,3.6960728112608194,0.43576567317574516,0.46967599003046245,0.40642223819793916,8.123027086257935,neural,L2_1,hcec,"[2048, 2048]"
1105,1403,904,201,499,80,263,0.7978400561325869,3881,4001,1296,2585,2705,3093,3998,1768,0.5716133204009053,0.44222111055527763,0.4986602735862361,0.3339345529502705,0.32391902024493874,0.3288505455468155,0.20551639607023434,0.13838840790082962,-0.01246542173092003,1.428424769547137,1646,2560,631,0.38335358444714457,0.246484375,0.30004755111745124,1.8124091293033266,2.0,3.0,0.4706814580031696,0.4706814580031696,334,1.1780659340471624,1.3,1.9500000000000002,0.5751574248356128,0.7978400561325869,0.7208931419457735,0.5635910224438903,0.3600867678958785,1.718823439425756,1.1525316784211639,0.5662917610045921,0.7990557595581201,0.8076468571659037,0.8033283399055788,95.63472172804185,12.041594578792296,0,0,True,True,1.0,6324,3.0,0.5,0.65,4.521145342383534,0.49666570020295747,0.5719532554257095,0.4388931591083782,6.960949659347534,neural,L2_4,hcec,"[2048, 2048]"
1555,1631,1418,137,213,106,175,0.8098936122013995,5239,4709,2590,2649,2119,4408,4694,3573,0.8105716878402904,0.7611844908393695,0.7851021753460778,0.4943691544187822,0.5500106179655978,0.5207076799356655,0.1934654693605276,0.1266873092313841,-0.026910797662206578,5.129688755600806,2480,3056,1143,0.46088709677419354,0.37401832460732987,0.4129335260115607,1.7205662862421043,2.0,3.0,0.7839020122484689,0.7839020122484689,247,1.118368086057368,1.3,1.9500000000000002,0.7209222486513399,0.8098936122013995,0.8901443816698054,0.8020361990950227,0.5164207520228463,1.3725880657508054,0.7808599350451861,0.5917281307056192,0.8155543825419946,0.8439094267547937,0.8294896551555745,60.0,8.0,0,0,True,True,1.0,5365,3.0,0.5,0.65,4.170458204112947,0.7831641382456941,0.8129291972531376,0.7555017605633803,7.270596742630005,neural,L30_2,hcec,"[2048, 2048]"
