n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
1268,283,274,994,9,2,4,0.914323253082172,3697,780,732,2965,48,3696,780,734,0.1985930735930736,0.941025641025641,0.32797140303842715,0.1979983770624831,0.9384615384615385,0.32700469064105425,0.08244076790909864,0.0628527590307994,-0.0022777214334954114,1.4112834299913597,2423,498,483,0.199339661576558,0.9698795180722891,0.33070866141732286,0.6976576781110532,1.0,1.4142135623730951,0.937888198757764,0.937888198757764,30,0.3230490926428306,0.914323253082172,0.3533204384268214,0.21456538762725136,0.2088854247856586,8.030174615696868,0.08007855167623495,7.9500960640206335,0.2302969326419524,0.994795978710822,0.374009938966467,430.83755639451863,306.7523431043356,0,0,True,True,1.0,4046,3.0,0.5,0.48351151729002595,0.3061955965181772,0.18428351309707242,0.9046898638426626,2.8911285400390625,neural,1,alizarine,"[576, 768]"
1258,384,369,889,15,1,12,0.8689530446907183,3679,1075,1005,2674,70,3669,1075,1009,0.27500681384573455,0.9386046511627907,0.4253794266441821,0.2731720576243544,0.9348837209302325,0.42280185107278084,0.12346674552166352,0.0875622005699979,0.020057953885587055,1.9241097181352838,2394,692,658,0.27485380116959063,0.9508670520231214,0.4264419961114712,1.0109403406646669,1.0,2.23606797749979,0.9407294832826748,0.9407294832826748,39,0.39055258646878815,0.8689530446907183,0.44945188794153473,0.2898664571877455,0.27782101167315176,7.229800006984949,0.14736891989463138,7.082431087090317,0.31297047277250173,0.9902088772845953,0.4756154867765666,250.6671099286861,175.410946066658,0,0,True,True,1.0,3687,3.0,0.5,0.5286036259494722,0.40463247459229496,0.26241569589209074,0.8833849329205367,0.57590651512146,neural,2,alizarine,"[576, 768]"
1195,264,264,931,0,8,0,0.908000953368893,3365,728,703,2662,25,3301,728,708,0.2144804604665253,0.9725274725274725,0.35145197319434107,0.20891530460624072,0.9656593406593407,0.3435133154165649,0.1030299593890759,0.06736732251350398,-0.03816568279642915,0.8043003471260098,1833,465,441,0.24058919803600654,0.9483870967741935,0.3838120104438642,0.6933357725425,1.0,1.4142135623730951,0.9523809523809523,0.9523809523809523,21,0.32859801465303323,0.908000953368893,0.3618917066483893,0.22092050209205022,0.20578512396694215,7.5837441472088365,0.08487031174004384,7.4988738354687925,0.22344608459654464,1.0,0.3652732840617662,303.52759347380595,230.1573373511535,0,0,True,True,1.0,3639,3.0,0.5,0.5074660098180175,0.35802842455397643,0.2236494144314318,0.896969696969697,0.6388347148895264,neural,3,alizarine,"[576, 768]"
1021,275,272,749,3,6,0,0.8845864522880478,2856,761,714,2142,47,2792,761,724,0.2593123209169054,0.9513797634691196,0.40754292147481,0.25,0.938239159001314,0.3948023223666021,0.16932030493263497,0.11659829951393622,-0.11267096319502505,0.9060724244113162,1304,487,356,0.27300613496932513,0.731006160164271,0.39754327191513117,0.9592633841709143,1.0,2.0,0.9634831460674157,0.9634831460674157,13,0.3713078935530077,0.8845864522880478,0.41975308641975306,0.265625,0.25703200775945684,6.710578949073849,0.1786005298722464,6.531978419201602,0.2812910955901692,0.9991614490161002,0.4389935727787903,315.635866149587,224.38181735489079,0,0,True,True,1.0,2954,3.0,0.5,0.5126168471761048,0.40825190010857754,0.2727272727272727,0.8115107913669065,0.5992367267608643,neural,4,alizarine,"[576, 768]"
1217,332,321,896,11,0,8,0.9023862832937515,3564,923,866,2698,57,3561,923,867,0.2434709351305813,0.9393282773564464,0.38670829616413915,0.24298540965207632,0.9382448537378115,0.386004011589035,0.09588295885692141,0.07243074086398847,0.005471881926995808,1.5118141485889354,2331,592,570,0.24453024453024452,0.9628378378378378,0.39001026342798495,0.9441544816059018,1.0,2.0,0.9456140350877194,0.9456140350877194,31,0.3740038695123231,0.9023862832937515,0.4144609425435765,0.26140065146579805,0.25425101214574897,7.446826669182621,0.10913765071235204,7.337689018470269,0.2801682517427018,0.9916357337292749,0.43689885085777475,352.8172331391991,260.8926982496827,0,0,True,True,1.0,3693,3.0,0.5,0.48912186874076724,0.3762376237623763,0.23666560204407538,0.9170792079207921,0.5577659606933594,neural,5,alizarine,"[576, 768]"
1109,312,307,802,5,0,4,0.9176933235234435,3243,865,841,2402,24,3228,865,842,0.26084262701363076,0.9734104046242774,0.41143415587588567,0.2593277829170521,0.9722543352601156,0.4094449853943525,0.09184622335018446,0.06458177704226721,0.0033239974525841112,1.8339460121886586,2058,554,541,0.2628765792031098,0.9765342960288809,0.41424196018376724,0.7966293409047405,1.0,1.4142135623730951,0.9741219963031423,0.9741219963031423,14,0.3965261792001367,0.9176933235234435,0.43209007741027444,0.2755834829443447,0.2721575649059982,7.117651380200888,0.09358667317214864,7.02406470702874,0.29027848730445827,0.9966701982745573,0.4496090959002109,313.8295715830489,215.59313494947457,0,0,True,True,1.0,3247,3.0,0.5,0.6093746270053089,0.3938973647711511,0.2494729444834856,0.9354413702239789,0.5406544208526611,neural,6,alizarine,"[576, 768]"
1025,265,254,771,11,5,0,0.8600599248169105,2414,728,574,1840,154,2339,728,597,0.2552372808892689,0.820054945054945,0.3893055102706227,0.23777961888980945,0.7884615384615384,0.3653723742838956,0.18608621062501965,0.09379296323371078,-0.14176740387000525,0.9245190670688643,996,464,288,0.2891566265060241,0.6206896551724138,0.39452054794520547,0.7716464019328518,1.0,1.4142135623730951,0.9791666666666666,0.9791666666666666,6,0.3386902649666593,0.8600599248169105,0.3937984496124031,0.24517374517374518,0.19444444444444445,5.9126377644513655,0.29908119417728446,5.613556570274081,0.2508454052776916,0.9923641352979777,0.4004634385070757,382.1740441212616,262.612642488476,0,0,True,True,1.0,2782,3.0,0.5,0.4819248979911208,0.3994053518334985,0.2933042212518195,0.6257763975155279,0.6663568019866943,neural,7,alizarine,"[576, 768]"
1168,370,367,801,3,1,2,0.9107984810135609,3373,1030,1006,2367,24,3364,1030,1010,0.30023781212841855,0.9805825242718447,0.4597177969959035,0.29825081529795433,0.9766990291262136,0.45696116284351573,0.0976287063130305,0.07068481170170413,-0.02091542775997421,0.8568667439612986,2121,661,624,0.2942008486562942,0.9440242057488654,0.44859813084112143,0.8280047407681081,1.0,1.4142135623730951,0.9807692307692307,0.9807692307692307,12,0.43467235699866946,0.9107984810135609,0.47724317295188556,0.3134073441502989,0.3078231292517007,6.719145011307009,0.12028394552890057,6.598861065778109,0.3236594323873122,0.9989929065592433,0.4889168038721941,275.86228448267445,183.61372497719228,0,0,True,True,1.0,3207,3.0,0.5,0.5252707530744374,0.4404698344901228,0.28655783258075723,0.9515570934256056,0.6362819671630859,neural,8,alizarine,"[576, 768]"
1391,303,292,1099,11,0,6,0.9219608304133872,4075,836,783,3292,53,4068,836,783,0.19247787610619468,0.9366028708133971,0.31933115823817293,0.19214723926380367,0.9366028708133971,0.3188759926695174,0.08493818988478473,0.0653122495136568,0.0034150579688216258,2.0,2664,534,519,0.19481981981981983,0.9719101123595506,0.324577861163227,0.6803253983042109,1.0,1.4142135623730951,0.9383429672447013,0.9383429672447013,32,0.31784245865491034,0.9219608304133872,0.3447461629279811,0.20827389443651925,0.20398009950248755,8.088960946158705,0.07769276616097785,8.011268179997728,0.22917952643144612,0.9938872537921666,0.3724712564079201,344.4256088039912,269.0,0,0,True,True,1.0,4487,3.0,0.5,0.5050319931469858,0.3064516129032258,0.18457142857142858,0.9022346368715084,0.5769407749176025,neural,9,alizarine,"[576, 768]"
1228,414,411,817,3,5,1,0.8979232895812707,3580,1161,1138,2442,23,3544,1161,1139,0.3213882618510158,0.9810508182601206,0.4841657810839533,0.31787709497206706,0.9801894918173988,0.48006749630879564,0.10743772230887036,0.07960328248232687,-0.020475879551372023,1.0,2160,748,717,0.33194444444444443,0.9585561497326203,0.4931224209078405,0.9084937586655588,1.0,2.0,0.9748953974895398,0.9748953974895398,18,0.44950849210463123,0.8979232895812707,0.5006090133982948,0.3338748984565394,0.32955465587044536,6.728032026621688,0.13349450410969071,6.594537522511997,0.3407492464475384,0.9993121307760784,0.5082078497528562,285.79713084634,179.4196193873184,0,0,True,True,1.0,3303,3.0,0.5,0.5648390827700496,0.4728002005515167,0.3182585217684779,0.919103313840156,0.600989580154419,neural,10,alizarine,"[576, 768]"
