n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,vertex_loc_error_mean_um,vertex_loc_error_median_um,vertex_loc_error_p95_um,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,pixel_size_um,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
1673,1957,1419,254,538,144,224,0.8011480343196681,4860,5440,2494,2366,2946,4841,5436,3062,0.6325139434001239,0.5632818248712288,0.5958937433103045,0.5131687242798354,0.45845588235294116,0.4842718446601942,0.2015470478729431,0.12745640230016864,0.0652077860860442,3.322246573152618,3188,3428,1251,0.3924090338770389,0.36493582263710617,0.37817412333736394,1.8199615454784288,2.0,3.0,0.586730615507594,0.586730615507594,517,1.1829750045609788,1.3,1.9500000000000002,0.6263520995590133,0.8011480343196681,0.7818181818181819,0.6417910447761194,0.4257659073055774,2.143963302415837,1.1326035314405676,1.0113597709752695,0.8458098442335598,0.7996379510907213,0.822076097190302,75.0066663703967,15.556349186104045,0,0,True,True,1.0,6621,3.0,0.5,0.65,3.9200459360145032,0.591956993693787,0.6251091703056768,0.5621441193795406,11.35787558555603,classical,L0_1,hcec,"[2048, 2048]"
1740,1976,1635,105,341,34,160,0.8274984019370526,5051,5713,3374,1677,2339,5049,5709,4076,0.8072885719944544,0.7139604133823787,0.7577616657371259,0.6679865373193427,0.5905828811482584,0.6269044964697138,0.18535259154058575,0.12706749330594594,0.051702363794280615,5.697983515407984,3312,3729,1334,0.4027777777777778,0.35773665862161436,0.37892344837381053,1.872293701326093,2.0,3.0,0.7308845577211395,0.7308845577211395,359,1.2169909058619606,1.3,1.9500000000000002,0.7281807788843278,0.8274984019370526,0.879978471474704,0.7856799615569438,0.6058772687986171,1.372632198240002,0.8638372852617483,0.5087949129782536,0.8808128291333195,0.8413359299058134,0.860621914085196,73.08214556237385,10.295630140987,0,0,True,True,1.0,4821,3.0,0.5,0.65,3.7670979141257703,0.7513534416086621,0.7994239868339847,0.7087360933795368,10.11179518699646,classical,L12_1,hcec,"[2048, 2048]"
2352,2509,2266,86,243,92,126,0.8184546211318943,6869,7300,4866,2003,2434,6865,7295,6001,0.8741442097596503,0.8226182316655243,0.847598870056497,0.7084000582326394,0.6665753424657535,0.6868515773872539,0.19685672898038303,0.13117713487132004,0.050546120824906296,6.682614188110734,4518,4782,1919,0.42474546259406815,0.4012965286491008,0.4126881720430108,1.8361680725379337,2.0,3.0,0.8426263678999479,0.8426263678999479,302,1.193509247149657,1.3,1.9500000000000002,0.7630603462188325,0.8184546211318943,0.9323184529932113,0.8732177263969172,0.6149501661129568,1.3305441940358258,0.7965022983028227,0.534041895733003,0.855057933533091,0.8395149449551563,0.8472151574193639,82.85529554590944,7.0,0,0,True,True,1.0,5068,3.0,0.5,0.65,4.598731990903616,0.8391911051414074,0.8678808458095385,0.8123374747182895,10.576963424682617,classical,L1_3,hcec,"[2048, 2048]"
790,1309,543,247,766,143,228,0.74528570048434,2258,3487,479,1779,3008,2228,3480,699,0.3137342908438061,0.20086206896551725,0.2449194113524877,0.2121346324180691,0.13736736449670203,0.16675369886858138,0.20481396395618084,0.14265106135722,0.07277833987009065,2.7574783799291605,1469,2112,380,0.2586793737236215,0.17992424242424243,0.21223122032951688,1.8416165219073752,2.0,3.0,0.19473684210526315,0.19473684210526315,306,1.197050739239794,1.3,1.9500000000000002,0.3856027969156709,0.74528570048434,0.51738923296808,0.34897172236503854,0.16159380188157166,2.8868845629588327,1.7294125156926758,1.1574720472661568,0.7248987402018396,0.6213521198340409,0.6691432960383537,130.00384609695206,31.016124838541646,0,0,True,True,1.0,6106,3.0,0.5,0.65,3.1891049738042057,0.24847701679896625,0.3156660412757974,0.20487062404870623,10.273780822753906,classical,L1_5,hcec,"[2048, 2048]"
2429,2480,2356,73,124,48,101,0.834896767781148,7097,7232,5619,1478,1613,7096,7221,6555,0.9237598647125141,0.9077690070627337,0.915694628763009,0.7917429899957729,0.7769634955752213,0.7842836206294926,0.1938124260300825,0.1429499173626207,0.0581206984617407,9.57787772807366,4669,4738,1844,0.3949453844506318,0.38919375263824396,0.392048474540236,1.8904044695713542,2.0,3.0,0.8937093275488069,0.8937093275488069,196,1.2287629052213802,1.3,1.9500000000000002,0.801392049253365,0.834896767781148,0.9598696272153188,0.9228358793576185,0.7376991150442478,1.1442822080857584,0.6010778940621652,0.5432043140235931,0.898834088012798,0.913233169946248,0.9059764198556299,64.77653896280658,4.47213595499958,0,0,True,True,1.0,3484,3.0,0.5,0.65,4.5894911121577024,0.9087485515643106,0.9234618781277598,0.8944967208440262,10.041710615158081,classical,L20_2,hcec,"[2048, 2048]"
1271,1257,1218,53,39,21,27,0.8777818409296411,3693,3625,2990,703,635,3690,3623,3384,0.9170731707317074,0.934032569693624,0.9254751811841926,0.8096398591930679,0.8248275862068966,0.8171631593331512,0.1665831488418961,0.1232559235476586,0.05708391016722742,2.509462302021522,2423,2360,800,0.330169211721007,0.3389830508474576,0.33451808488396406,1.9887408411492942,2.23606797749979,3.0,0.915,0.915,68,1.2926815467470412,1.4534441853748634,1.9500000000000002,0.8458372486173282,0.8777818409296411,0.9636075949367089,0.9297709923664123,0.84122359796067,1.0301402486734363,0.49442788505090907,0.5357123636225273,0.8901587917355187,0.9204071187526787,0.9050302825073491,95.03683496413377,5.0,0,0,True,True,1.0,1498,3.0,0.5,0.65,3.474155768752098,0.9204927211646137,0.914349276974416,0.9267192784667418,9.676460266113281,classical,L22_2,hcec,"[2048, 2048]"
1640,1726,1524,116,202,138,159,0.780381034263751,4776,5001,2678,2098,2323,4770,4978,3795,0.7955974842767296,0.7623543591803937,0.7786212556421831,0.5607202680067002,0.5354929014197161,0.5478163035696022,0.22534366011618928,0.15355354633377444,0.07554487414472963,8.271554631539813,3137,3236,862,0.2747848262671342,0.26637824474660077,0.2705162403891417,1.8636417734011013,2.0,3.0,0.7412993039443155,0.7412993039443155,223,1.211367152710716,1.3,1.9500000000000002,0.7066551968021132,0.780381034263751,0.9055258467023173,0.8273615635179153,0.4489883770985794,1.5382181265018489,0.8230464388932028,0.715171687608646,0.7889962141961557,0.8075147618509934,0.7981480861289463,105.94810050208545,8.54400374531753,0,0,True,True,1.0,4962,3.0,0.5,0.65,3.7547463146038353,0.7778137477069171,0.7936577846289363,0.762589928057554,9.752918243408203,classical,L24_2,hcec,"[2048, 2048]"
1315,1564,1073,242,491,163,226,0.7579122387135749,3808,4434,1345,2463,3089,3789,4428,2100,0.5542359461599367,0.4742547425474255,0.511135450894487,0.35320378151260506,0.30333784393324315,0.3263770929386071,0.24817343976749,0.1512151470904441,0.08968274112297872,9.690656570848764,2494,2833,549,0.22012830793905372,0.1937875044122838,0.20611976722357797,1.9535735005778654,2.23606797749979,3.0,0.46083788706739526,0.46083788706739526,296,1.2698227753756126,1.4534441853748634,1.9500000000000002,0.5649460452515914,0.7579122387135749,0.7453977075373394,0.5941306755260244,0.2921903052064632,1.9243515046407846,1.181309909909702,0.7430415947310827,0.7529277764446232,0.7281396877797672,0.7403262974900396,77.46612162745726,16.1245154965971,0,0,True,True,1.0,6581,3.0,0.5,0.65,3.5037514120340347,0.5036487005505056,0.5406816932380428,0.4713635274382938,10.489875793457031,classical,L2_1,hcec,"[2048, 2048]"
1053,1403,906,147,497,42,213,0.8124599161012781,3033,4001,1410,1623,2591,3021,3998,1811,0.5994703740483284,0.45297648824412207,0.5160279242057273,0.4648862512363996,0.35241189702574355,0.4009098663633779,0.19058372082921723,0.12757500941038563,0.08350622643605955,8.891841679649163,1980,2560,716,0.3616161616161616,0.2796875,0.31541850220264317,1.8975758052080451,2.0,3.0,0.4553072625698324,0.4553072625698324,390,1.2334242733852294,1.3,1.9500000000000002,0.5994207524330276,0.8124599161012781,0.737785016286645,0.584516129032258,0.4018264840182648,1.5816165265151134,1.072572202579146,0.5090443239359674,0.8512735226891032,0.7913851862308173,0.8202376447748427,94.59386872308374,16.97056274847714,0,0,True,True,1.0,5248,3.0,0.5,0.65,3.398234129883349,0.5149264598805883,0.5964912280701754,0.45298488342300797,9.886003971099854,classical,L2_4,hcec,"[2048, 2048]"
1567,1631,1498,69,133,59,89,0.8427708257354558,4549,4709,3359,1190,1350,4547,4694,4014,0.8827798548493512,0.8551342138900724,0.8687371496591278,0.7384040448450209,0.7133149288596305,0.7256426874054872,0.1786851982410544,0.11915167752763119,0.053162758756290084,5.898098928426847,2983,3056,1176,0.3942339926248743,0.38481675392670156,0.3894684550422255,1.874454610325938,2.0,3.0,0.8579931972789115,0.8579931972789115,167,1.2183954967118598,1.3,1.9500000000000002,0.7895376466239605,0.8427708257354558,0.9368355222013759,0.8811764705882353,0.6796218487394958,1.1452203638908312,0.6160158861872398,0.5292044777035914,0.8773033677749634,0.8834948319253816,0.8803882143812037,81.00617260431454,5.830951894845301,0,0,True,True,1.0,2909,3.0,0.5,0.65,3.902707638218999,0.8629384736075312,0.8791961635076502,0.8472711267605634,9.886648654937744,classical,L30_2,hcec,"[2048, 2048]"
