n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,variant,image_id,dataset,n_vertex_merges,decode_s,proposal_s
609,534,376,125,33,0.23632183908045978,0.16359007001909612,0.42549668874172186,0.12622950819672132,1571,604,1050,93,0.05599300087489063,0.030476190476190476,0.34408602150537637,0.4375,0.4923793653630755,0.49022164276401564,0.8260246728435027,legacy,0001,haec,0,1.7890360355377197,2.1409926414489746
603,534,419,86,43,0.49235048678720444,0.4244604316546763,0.5860927152317881,0.22341057635175282,834,604,224,93,0.19558359621451105,0.13839285714285715,0.3333333333333333,0.6774193548387096,0.5298020419064301,0.5835654596100278,0.8351670056579023,outside1,0001,haec,0,1.5173287391662598,2.1409926414489746
598,534,425,80,41,0.5244913338357197,0.48132780082987553,0.5761589403973509,0.28462029355456286,723,604,136,93,0.24454148471615722,0.20588235294117646,0.3010752688172043,0.7142857142857143,0.5602242623733696,0.6011315417256011,0.8431755884102223,outside0.5,0001,haec,0,1.5198814868927002,2.1409926414489746
597,534,422,74,42,0.5172137710168135,0.5007751937984496,0.5347682119205298,0.3038487508440243,645,604,95,93,0.26595744680851063,0.2631578947368421,0.26881720430107525,0.64,0.5652921645845004,0.5952045133991537,0.8454788495929959,outside0,0001,haec,0,1.6245791912078857,2.1409926414489746
594,534,411,71,41,0.4982993197278911,0.5122377622377622,0.48509933774834435,0.29178470254957506,572,604,61,93,0.24675324675324672,0.3114754098360656,0.20430107526881722,0.7368421052631579,0.5420365002093975,0.5732217573221757,0.8371062341890961,inside0.5,0001,haec,0,1.4543225765228271,2.1409926414489746
592,534,398,59,39,0.44382022471910115,0.5107758620689655,0.3923841059602649,0.18421052631578946,464,604,24,93,0.05128205128205128,0.125,0.03225806451612903,1.0,0.5008694655042898,0.5467032967032966,0.8138162996103209,inside1,0001,haec,0,1.4256808757781982,2.1409926414489746
597,534,422,74,42,0.5172137710168135,0.5007751937984496,0.5347682119205298,0.3038487508440243,645,604,95,93,0.26595744680851063,0.2631578947368421,0.26881720430107525,0.64,0.5652921645845004,0.5952045133991537,0.8454788495929959,outside0_perm,0001,haec,0,1.462226390838623,2.1409926414489746
596,534,420,73,43,0.5128205128205129,0.4968944099378882,0.5298013245033113,0.3027027027027027,644,604,95,93,0.26595744680851063,0.2631578947368421,0.26881720430107525,0.64,0.5634399791313005,0.5915492957746479,0.8450845752822969,outside0_merge0.2,0001,haec,1,1.7435247898101807,2.1409926414489746
560,534,392,67,55,0.47460449625312234,0.47738693467336685,0.4718543046357616,0.2847173761339847,597,604,87,93,0.27777777777777773,0.28735632183908044,0.26881720430107525,0.52,0.5443501354946666,0.5584045584045584,0.8456187306320572,outside0_merge0.35,0001,haec,37,1.7377455234527588,2.1409926414489746
597,534,422,74,42,0.5172137710168135,0.5007751937984496,0.5347682119205298,0.3038487508440243,645,604,95,93,0.26595744680851063,0.2631578947368421,0.26881720430107525,0.64,0.5652921645845004,0.5952045133991537,0.8454788495929959,outside0_gap0.5,0001,haec,0,1.6579968929290771,2.1409926414489746
498,445,293,102,22,0.2285054818234276,0.16296296296296298,0.38223938223938225,0.12155844155844156,1215,518,822,96,0.07189542483660132,0.040145985401459854,0.34375,0.3333333333333333,0.47094824304953414,0.45076923076923076,0.8063637553252943,legacy,0002,haec,0,1.3529729843139648,1.8186297416687012
507,445,325,73,36,0.45833333333333337,0.416403785488959,0.5096525096525096,0.2676923076923077,634,518,137,96,0.22317596566523604,0.1897810218978102,0.2708333333333333,0.6153846153846154,0.5112172161662301,0.518341307814992,0.8203726679157269,outside1,0002,haec,0,1.3344123363494873,1.8186297416687012
505,445,330,67,37,0.4744525547445256,0.44982698961937717,0.5019305019305019,0.28779304769603875,578,518,94,96,0.25263157894736843,0.2553191489361702,0.25,0.5833333333333334,0.533922038576494,0.532258064516129,0.8250853133743514,outside0.5,0002,haec,0,1.31302809715271,1.8186297416687012
500,445,329,61,35,0.4714975845410628,0.47195357833655704,0.47104247104247104,0.2825531914893617,517,518,75,96,0.23391812865497078,0.26666666666666666,0.20833333333333334,0.55,0.535110153049386,0.5340909090909091,0.8252282394990231,outside0,0002,haec,0,1.29011869430542,1.8186297416687012
498,445,324,58,32,0.4473953013278856,0.4750542299349241,0.42277992277992277,0.25266903914590744,461,518,61,96,0.24203821656050956,0.3114754098360656,0.19791666666666666,0.5789473684210527,0.5132489567058313,0.5234248788368336,0.8145737477272301,inside0.5,0002,haec,0,1.2655000686645508,1.8186297416687012
