variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
inside0.5,637.525,578.0,458.0,66.25,32.8,0.499,0.526,0.477,0.31,538.075,581.375,70.175,95.8,0.258,0.314,0.224,0.626,0.578,0.604,0.853,0.0
inside1,633.3,578.0,440.25,57.425,31.35,0.41,0.503,0.348,0.162,405.85,581.375,21.8,95.8,0.051,0.138,0.032,0.538,0.533,0.571,0.826,0.0
legacy,656.0,578.0,440.95,140.25,26.75,0.244,0.169,0.443,0.141,1518.25,581.375,1003.475,95.8,0.066,0.036,0.387,0.317,0.553,0.558,0.857,0.0
outside0,641.0,578.0,467.45,72.575,33.2,0.521,0.516,0.528,0.321,605.45,581.375,92.775,95.8,0.262,0.274,0.258,0.633,0.601,0.623,0.863,0.0
outside0.5,644.75,578.0,469.925,77.5,32.8,0.521,0.487,0.562,0.304,681.475,581.375,131.825,95.8,0.243,0.215,0.287,0.629,0.596,0.625,0.863,0.0
outside0_gap0.5,641.0,578.0,467.45,72.575,33.2,0.521,0.516,0.528,0.321,605.45,581.375,92.775,95.8,0.262,0.274,0.258,0.633,0.601,0.623,0.863,0.0
outside0_merge0.2,639.4,578.0,467.8,71.575,33.2,0.524,0.52,0.529,0.323,603.375,581.375,92.375,95.8,0.263,0.276,0.258,0.635,0.602,0.625,0.863,1.6
outside0_merge0.35,618.8,578.0,454.925,66.75,40.1,0.506,0.516,0.499,0.316,576.625,581.375,87.35,95.8,0.267,0.293,0.255,0.627,0.595,0.612,0.864,22.2
outside0_perm,640.1,578.0,467.15,72.475,33.25,0.521,0.517,0.528,0.321,605.075,581.375,92.775,95.8,0.262,0.274,0.258,0.633,0.601,0.623,0.863,0.0
outside1,648.85,578.0,464.325,80.725,32.175,0.487,0.421,0.579,0.226,814.775,581.375,238.025,95.8,0.177,0.126,0.308,0.613,0.57,0.61,0.858,0.0
